Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Alberto Dossena,it ITA,DF,24,36,34,3097.0,34.4,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,2.2,2.2,2.1,4.3,9.0,89.0,2.0,0.09,0.12,0.2,0.09,0.2,0.07,0.06,0.13,0.07,0.13,Matches,2023-2024,Cagliari
Antoine Makoumbou,cg CGO,MF,25,35,35,2996.0,33.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.7,0.7,0.9,1.6,37.0,137.0,52.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024,Cagliari
Gabriele Zappa,it ITA,DF,23,41,26,2802.0,31.1,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,3.3,4.8,35.0,99.0,84.0,0.03,0.1,0.13,0.03,0.13,0.05,0.12,0.17,0.05,0.17,Matches,2023-2024,Cagliari
Simone Scuffet,it ITA,GK,27,31,31,2789.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Cagliari
Tommaso Augello,it ITA,DF,28,33,29,2538.0,28.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,2.0,2.5,62.0,96.0,99.0,0.04,0.04,0.07,0.04,0.07,0.02,0.07,0.09,0.02,0.09,Matches,2023-2024,Cagliari
Nahitan Nández,uy URU,"MF,DF",27,34,30,2398.0,26.6,2.0,3.0,5.0,1.0,1.0,1.0,7.0,0.0,3.7,2.9,2.5,5.5,57.0,76.0,89.0,0.08,0.11,0.19,0.04,0.15,0.14,0.1,0.24,0.11,0.21,Matches,2023-2024,Cagliari
Zito Luvumbo,ao ANG,"FW,MF",21,32,20,2099.0,23.3,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,4.0,4.0,3.1,7.1,85.0,21.0,181.0,0.17,0.26,0.43,0.17,0.43,0.18,0.14,0.33,0.18,0.33,Matches,2023-2024,Cagliari
Matteo Prati,it ITA,MF,19,26,19,1972.0,21.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,0.8,2.8,8.0,66.0,17.0,0.05,0.05,0.09,0.05,0.09,0.09,0.03,0.13,0.09,0.13,Matches,2023-2024,Cagliari
Alessandro Deiola,it ITA,MF,27,30,20,1777.0,19.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,2.5,2.5,0.9,3.4,9.0,64.0,21.0,0.05,0.0,0.05,0.05,0.05,0.14,0.05,0.19,0.14,0.19,Matches,2023-2024,Cagliari
Ibrahim Sulemana,gh GHA,MF,20,24,18,1582.0,17.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.8,0.8,0.1,0.9,15.0,27.0,14.0,0.11,0.0,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,Matches,2023-2024,Cagliari
Nicolas Viola,it ITA,"MF,FW",33,28,11,1288.0,14.3,6.0,3.0,9.0,6.0,0.0,1.0,3.0,0.0,3.4,2.6,3.9,6.5,22.0,57.0,68.0,0.42,0.21,0.63,0.42,0.63,0.25,0.29,0.54,0.19,0.49,Matches,2023-2024,Cagliari
Gaetano Oristanio,it ITA,"FW,MF",20,27,13,1263.0,14.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,1.1,2.8,25.0,26.0,76.0,0.14,0.07,0.21,0.14,0.21,0.14,0.09,0.23,0.14,0.23,Matches,2023-2024,Cagliari
Gianluca Lapadula,pe PER,FW,33,24,14,1250.0,13.9,4.0,1.0,5.0,3.0,1.0,1.0,3.0,0.0,4.8,4.1,1.1,5.1,8.0,4.0,63.0,0.29,0.07,0.36,0.22,0.29,0.36,0.08,0.44,0.3,0.38,Matches,2023-2024,Cagliari
Adam Obert,sk SVK,DF,20,20,12,1226.0,13.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.1,14.0,37.0,5.0,0.0,0.07,0.07,0.0,0.07,0.01,0.09,0.1,0.01,0.1,Matches,2023-2024,Cagliari
Yerry Mina,co COL,DF,28,14,14,1215.0,13.5,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,1.3,0.5,0.0,0.5,4.0,23.0,3.0,0.15,0.0,0.15,0.07,0.07,0.1,0.0,0.1,0.04,0.04,Matches,2023-2024,Cagliari
Andrea Petagna,it ITA,FW,28,20,15,1178.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.0,2.6,11.0,14.0,56.0,0.08,0.15,0.23,0.08,0.23,0.15,0.09,0.23,0.15,0.23,Matches,2023-2024,Cagliari
Mateusz Wieteska,pl POL,DF,26,21,12,1175.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.3,0.3,0.6,0.9,16.0,33.0,1.0,0.0,0.08,0.08,0.0,0.08,0.03,0.05,0.08,0.03,0.08,Matches,2023-2024,Cagliari
Paulo Azzi,br BRA,"DF,MF",29,28,11,1110.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,47.0,35.0,42.0,0.08,0.0,0.08,0.08,0.08,0.12,0.06,0.18,0.12,0.18,Matches,2023-2024,Cagliari
Pantelis Hatzidiakos,gr GRE,DF,26,15,15,1066.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2023-2024,Cagliari
Eldor Shomurodov,uz UZB,"FW,MF",28,24,11,1047.0,11.6,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.5,3.5,1.7,5.2,12.0,18.0,52.0,0.26,0.26,0.52,0.26,0.52,0.34,0.16,0.5,0.34,0.5,Matches,2023-2024,Cagliari
