Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Sebastiano Luperto,it ITA,DF,27,37,37,3322.0,36.9,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,2.2,2.2,1.3,3.4,22.0,96.0,11.0,0.03,0.11,0.14,0.03,0.14,0.06,0.04,0.1,0.06,0.1,Matches,2024-2025,Cagliari
Gabriele Zappa,it ITA,DF,24,40,38,3308.0,36.8,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.9,0.9,3.6,4.5,57.0,146.0,82.0,0.05,0.0,0.05,0.05,0.05,0.03,0.11,0.13,0.03,0.13,Matches,2024-2025,Cagliari
Roberto Piccoli,it ITA,FW,23,40,38,3250.0,36.1,11.0,2.0,13.0,10.0,1.0,1.0,6.0,0.0,12.7,12.0,0.9,12.9,30.0,37.0,165.0,0.3,0.06,0.36,0.28,0.33,0.37,0.03,0.39,0.34,0.37,Matches,2024-2025,Cagliari
Tommaso Augello,it ITA,DF,29,41,33,2968.0,33.0,0.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,4.6,4.9,58.0,118.0,113.0,0.0,0.24,0.24,0.0,0.24,0.01,0.15,0.16,0.01,0.16,Matches,2024-2025,Cagliari
Nadir Zortea,it ITA,"DF,MF",25,37,34,2818.0,31.3,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,3.1,3.1,2.4,5.5,69.0,63.0,144.0,0.19,0.06,0.26,0.19,0.26,0.1,0.08,0.18,0.1,0.18,Matches,2024-2025,Cagliari
Yerry Mina,co COL,DF,29,31,31,2569.0,28.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2.3,2.3,0.3,2.6,17.0,76.0,9.0,0.04,0.0,0.04,0.04,0.04,0.08,0.01,0.09,0.08,0.09,Matches,2024-2025,Cagliari
Michel Ndary Adopo,fr FRA,MF,24,38,28,2539.0,28.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,2.3,3.4,20.0,106.0,61.0,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.13,0.04,0.13,Matches,2024-2025,Cagliari
Antoine Makoumbou,cg CGO,MF,26,34,28,2240.0,24.9,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.3,0.3,0.9,1.3,11.0,92.0,14.0,0.0,0.12,0.12,0.0,0.12,0.01,0.04,0.05,0.01,0.05,Matches,2024-2025,Cagliari
Zito Luvumbo,ao ANG,"FW,MF",22,28,20,1703.0,18.9,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,3.1,5.2,70.0,31.0,125.0,0.11,0.11,0.21,0.11,0.21,0.12,0.17,0.29,0.12,0.29,Matches,2024-2025,Cagliari
Elia Caprile,it ITA,GK,22,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Cagliari
Alessandro Deiola,it ITA,MF,28,32,18,1572.0,17.5,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.7,1.7,0.6,2.4,11.0,40.0,36.0,0.11,0.06,0.17,0.11,0.17,0.11,0.04,0.15,0.11,0.15,Matches,2024-2025,Cagliari
Răzvan Marin,ro ROU,MF,28,35,15,1553.0,17.3,3.0,2.0,5.0,1.0,2.0,2.0,4.0,0.0,2.4,0.8,3.6,4.5,22.0,84.0,29.0,0.17,0.12,0.29,0.06,0.17,0.15,0.23,0.39,0.05,0.29,Matches,2024-2025,Cagliari
Simone Scuffet,it ITA,GK,28,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Cagliari
Nicolas Viola,it ITA,"FW,MF",34,28,18,1301.0,14.5,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,1.9,4.1,21.0,46.0,70.0,0.21,0.07,0.28,0.21,0.28,0.16,0.14,0.29,0.16,0.29,Matches,2024-2025,Cagliari
José Luis Palomino,ar ARG,DF,34,20,12,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.0,0.5,4.0,35.0,1.0,0.07,0.0,0.07,0.07,0.07,0.04,0.0,0.04,0.04,0.04,Matches,2024-2025,Cagliari
Adam Obert,sk SVK,DF,21,23,14,1175.0,13.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.4,1.3,12.0,50.0,19.0,0.08,0.08,0.15,0.08,0.15,0.07,0.03,0.11,0.07,0.11,Matches,2024-2025,Cagliari
Gianluca Gaetano,it ITA,"MF,FW",24,30,10,1133.0,12.6,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,4.9,4.9,2.2,7.1,11.0,41.0,82.0,0.16,0.32,0.48,0.16,0.48,0.43,0.2,0.63,0.43,0.63,Matches,2024-2025,Cagliari
Mattia Felici,it ITA,"MF,FW",23,22,10,1013.0,11.3,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.0,1.6,39.0,19.0,75.0,0.0,0.27,0.27,0.0,0.27,0.06,0.1,0.16,0.06,0.16,Matches,2024-2025,Cagliari
Alen Sherri,al ALB,GK,26,8,8,711.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Cagliari
Matteo Prati,it ITA,MF,20,14,9,684.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,2.0,23.0,7.0,0.13,0.0,0.13,0.13,0.13,0.02,0.11,0.12,0.02,0.12,Matches,2024-2025,Cagliari
Paulo Azzi,br BRA,DF,30,9,7,628.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.9,1.4,15.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3,Matches,2024-2025,Cagliari
Leonardo Pavoletti,it ITA,"FW,MF",35,28,2,524.0,5.8,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.7,2.7,1.0,3.7,1.0,17.0,26.0,0.52,0.0,0.52,0.52,0.52,0.53,0.2,0.74,0.53,0.74,Matches,2024-2025,Cagliari
Gianluca Lapadula,pe PER,"FW,MF",34,15,3,486.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,0.1,1.4,7.0,7.0,16.0,0.19,0.0,0.19,0.19,0.19,0.4,0.02,0.42,0.4,0.42,Matches,2024-2025,Cagliari
