Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jonny Castro,es ESP,DF,23,40,40,3553.0,39.5,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.8,1.8,1.6,3.4,96.0,162.0,131.0,0.05,0.03,0.08,0.05,0.08,0.05,0.05,0.1,0.05,0.1,Matches,2017-2018,Celta Vigo
Hugo Mallo,es ESP,DF,26,38,38,3359.0,37.3,0.0,6.0,6.0,0.0,0.0,0.0,12.0,0.0,1.6,1.6,5.3,6.9,80.0,159.0,182.0,0.0,0.16,0.16,0.0,0.16,0.05,0.16,0.21,0.05,0.21,Matches,2017-2018,Celta Vigo
Stanislav Lobotka,sk SVK,MF,22,41,36,3260.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,32.0,205.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,2017-2018,Celta Vigo
Maxi Gómez,uy URU,FW,20,39,36,3215.0,35.7,17.0,4.0,21.0,17.0,0.0,0.0,12.0,0.0,14.8,14.8,3.9,18.8,42.0,46.0,155.0,0.48,0.11,0.59,0.48,0.59,0.43,0.12,0.55,0.43,0.55,Matches,2017-2018,Celta Vigo
Iago Aspas,es ESP,FW,29,37,35,3090.0,34.3,23.0,5.0,28.0,20.0,3.0,4.0,9.0,0.0,17.3,15.0,9.5,24.5,115.0,126.0,294.0,0.67,0.15,0.82,0.58,0.73,0.53,0.29,0.82,0.46,0.75,Matches,2017-2018,Celta Vigo
Daniel Wass,dk DEN,"MF,DF",28,39,36,3073.0,34.1,4.0,8.0,12.0,4.0,0.0,0.0,3.0,0.0,3.7,3.7,6.4,10.1,63.0,139.0,200.0,0.12,0.23,0.35,0.12,0.35,0.11,0.2,0.31,0.11,0.31,Matches,2017-2018,Celta Vigo
Sergi Gómez,es ESP,DF,25,35,33,2860.0,31.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.8,2.4,13.0,102.0,8.0,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches,2017-2018,Celta Vigo
Pione Sisto,dk DEN,"FW,MF",22,36,33,2639.0,29.3,6.0,10.0,16.0,6.0,0.0,0.0,2.0,0.0,4.7,4.7,5.1,9.8,110.0,108.0,235.0,0.2,0.34,0.55,0.2,0.55,0.17,0.18,0.35,0.17,0.35,Matches,2017-2018,Celta Vigo
Gustavo Cabral,ar ARG,DF,31,28,22,2071.0,23.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,4.0,40.0,2.0,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.05,0.03,0.05,Matches,2017-2018,Celta Vigo
