Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Óscar Mingueza,es ESP,"DF,MF",24,41,34,3115.0,34.6,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,3.9,6.5,74.0,170.0,134.0,0.06,0.09,0.14,0.06,0.14,0.08,0.12,0.2,0.08,0.2,Matches,2023-2024,Celta Vigo
Unai Núñez,es ESP,DF,26,37,34,3045.0,33.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,0.8,2.2,10.0,106.0,2.0,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.07,0.05,0.07,Matches,2023-2024,Celta Vigo
Jørgen Strand Larsen,no NOR,FW,23,39,36,2878.0,32.0,13.0,3.0,16.0,13.0,0.0,0.0,6.0,0.0,14.5,14.5,2.5,17.0,33.0,25.0,183.0,0.41,0.09,0.5,0.41,0.5,0.46,0.08,0.54,0.46,0.54,Matches,2023-2024,Celta Vigo
Iago Aspas,es ESP,FW,35,36,31,2734.0,30.4,9.0,10.0,19.0,6.0,3.0,5.0,6.0,1.0,11.5,7.5,10.1,17.6,84.0,161.0,202.0,0.3,0.33,0.63,0.2,0.53,0.38,0.34,0.72,0.25,0.59,Matches,2023-2024,Celta Vigo
Fran Beltrán,es ESP,MF,24,37,31,2704.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.1,1.8,28.0,134.0,30.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,2023-2024,Celta Vigo
Carl Starfelt,se SWE,DF,28,30,29,2486.0,27.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.2,1.6,5.0,38.0,1.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.06,0.06,0.06,Matches,2023-2024,Celta Vigo
Vicente Guaita,es ESP,GK,36,27,26,2403.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Celta Vigo
Luca de la Torre,us USA,MF,25,35,24,2176.0,24.2,3.0,5.0,8.0,3.0,0.0,0.0,4.0,1.0,2.5,2.5,1.4,3.9,58.0,93.0,88.0,0.12,0.21,0.33,0.12,0.33,0.11,0.07,0.18,0.11,0.18,Matches,2023-2024,Celta Vigo
Jonathan Bamba,ci CIV,"MF,FW",27,28,25,2026.0,22.5,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,4.7,7.7,107.0,80.0,169.0,0.22,0.09,0.31,0.22,0.31,0.14,0.21,0.35,0.14,0.35,Matches,2023-2024,Celta Vigo
Manu Sánchez,es ESP,"DF,MF",22,28,21,1892.0,21.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.7,3.2,41.0,74.0,67.0,0.0,0.24,0.24,0.0,0.24,0.02,0.14,0.16,0.02,0.16,Matches,2023-2024,Celta Vigo
