Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
César Azpilicueta,es ESP,DF,27,52,52,4755.0,52.8,3.0,7.0,10.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,4.9,6.5,72.0,270.0,94.0,0.06,0.13,0.19,0.06,0.19,0.04,0.11,0.14,0.04,0.14,Matches,2017-2018,Chelsea
N'Golo Kanté,fr FRA,MF,26,48,47,4204.0,46.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,3.1,4.0,100.0,313.0,57.0,0.02,0.04,0.06,0.02,0.06,0.02,0.08,0.1,0.02,0.1,Matches,2017-2018,Chelsea
Thibaut Courtois,be BEL,GK,25,46,46,4170.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Chelsea
Marcos Alonso,es ESP,"DF,MF",26,46,46,4011.0,44.6,8.0,4.0,12.0,8.0,0.0,0.0,9.0,0.0,4.8,4.8,3.5,8.3,84.0,119.0,305.0,0.18,0.09,0.27,0.18,0.27,0.12,0.09,0.22,0.12,0.22,Matches,2017-2018,Chelsea
Antonio Rüdiger,de GER,DF,24,45,40,3788.0,42.1,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,2.2,2.2,0.9,3.1,46.0,145.0,9.0,0.07,0.05,0.12,0.07,0.12,0.07,0.03,0.1,0.07,0.1,Matches,2017-2018,Chelsea
Eden Hazard,be BEL,"FW,MF",26,51,42,3718.0,41.3,17.0,11.0,28.0,13.0,4.0,4.0,3.0,0.0,10.4,8.0,9.5,17.5,236.0,250.0,356.0,0.41,0.27,0.68,0.31,0.58,0.31,0.28,0.59,0.24,0.52,Matches,2017-2018,Chelsea
Cesc Fàbregas,es ESP,MF,30,49,40,3682.0,40.9,3.0,9.0,12.0,2.0,1.0,1.0,7.0,2.0,4.0,3.2,10.6,13.8,67.0,426.0,156.0,0.07,0.22,0.29,0.05,0.27,0.12,0.32,0.44,0.1,0.42,Matches,2017-2018,Chelsea
Gary Cahill,eng ENG,DF,31,43,38,3394.0,37.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.7,0.7,0.1,0.8,18.0,88.0,10.0,0.0,0.03,0.03,0.0,0.03,0.02,0.0,0.03,0.02,0.03,Matches,2017-2018,Chelsea
Andreas Christensen,dk DEN,DF,21,40,34,3110.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,23.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2017-2018,Chelsea
Tiemoué Bakayoko,fr FRA,MF,22,43,34,3076.0,34.2,3.0,3.0,6.0,3.0,0.0,0.0,7.0,1.0,3.9,3.9,1.4,5.3,45.0,142.0,64.0,0.09,0.09,0.18,0.09,0.18,0.14,0.05,0.19,0.14,0.19,Matches,2017-2018,Chelsea
Willian,br BRA,"MF,FW",28,55,33,3057.0,34.0,13.0,9.0,22.0,12.0,1.0,1.0,4.0,0.0,6.7,5.9,5.6,11.5,134.0,148.0,260.0,0.38,0.26,0.65,0.35,0.62,0.26,0.22,0.48,0.23,0.45,Matches,2017-2018,Chelsea
Victor Moses,ng NGA,DF,26,38,35,3028.0,33.6,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,3.1,3.1,2.7,5.9,104.0,71.0,218.0,0.12,0.09,0.21,0.12,0.21,0.12,0.1,0.22,0.12,0.22,Matches,2017-2018,Chelsea
Álvaro Morata,es ESP,FW,24,48,30,2795.0,31.1,15.0,6.0,21.0,15.0,0.0,0.0,11.0,1.0,17.1,17.1,3.2,20.3,61.0,53.0,264.0,0.48,0.19,0.68,0.48,0.68,0.63,0.12,0.75,0.63,0.75,Matches,2017-2018,Chelsea
Pedro,es ESP,"MF,FW",30,48,28,2508.0,27.9,7.0,5.0,12.0,7.0,0.0,0.0,3.0,2.0,4.0,4.0,2.8,6.8,81.0,71.0,171.0,0.25,0.18,0.43,0.25,0.43,0.19,0.13,0.32,0.19,0.32,Matches,2017-2018,Chelsea
