Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marc Cucurella,es ESP,DF,26-308,47,40,3684.0,40.9,7.0,3.0,10.0,7.0,0.0,0.0,11.0,1.0,3.8,3.8,2.4,6.2,43.0,144.0,153.0,0.17,0.07,0.24,0.17,0.24,0.1,0.06,0.16,0.1,0.16,Matches,2024-2025,Chelsea
Moisés Caicedo,ec ECU,"MF,DF",23-205,42,41,3609.0,40.1,1.0,3.0,4.0,1.0,0.0,0.0,13.0,0.0,0.8,0.8,3.2,4.0,44.0,226.0,39.0,0.02,0.07,0.1,0.02,0.1,0.02,0.08,0.1,0.02,0.1,Matches,2024-2025,Chelsea
Cole Palmer,eng ENG,"MF,FW",23-020,43,40,3544.0,39.4,15.0,9.0,24.0,11.0,4.0,5.0,7.0,0.0,18.4,14.4,12.1,26.6,136.0,232.0,210.0,0.38,0.23,0.61,0.28,0.51,0.48,0.32,0.8,0.38,0.69,Matches,2024-2025,Chelsea
Enzo Fernández,ar ARG,MF,24-129,43,37,3319.0,36.9,7.0,13.0,20.0,7.0,0.0,0.0,9.0,0.0,6.5,6.5,7.7,14.2,68.0,231.0,137.0,0.19,0.35,0.54,0.19,0.54,0.18,0.22,0.4,0.18,0.4,Matches,2024-2025,Chelsea
Levi Colwill,eng ENG,DF,22-089,37,35,3239.0,36.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,1.9,1.9,1.1,3.0,14.0,133.0,12.0,0.06,0.03,0.08,0.06,0.08,0.05,0.03,0.08,0.05,0.08,Matches,2024-2025,Chelsea
Robert Sánchez,es ESP,GK,27-189,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Chelsea
Pedro Neto,pt POR,FW,25-078,43,31,2730.0,30.3,6.0,6.0,12.0,6.0,0.0,0.0,8.0,0.0,3.8,3.8,8.2,12.0,140.0,67.0,283.0,0.2,0.2,0.4,0.2,0.4,0.13,0.29,0.42,0.13,0.42,Matches,2024-2025,Chelsea
Tosin Adarabioyo,eng ENG,DF,27-244,35,28,2534.0,28.2,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,1.4,1.4,0.6,2.0,7.0,81.0,1.0,0.14,0.04,0.18,0.14,0.18,0.06,0.02,0.08,0.06,0.08,Matches,2024-2025,Chelsea
Jadon Sancho,eng ENG,FW,25-062,40,26,2385.0,26.5,4.0,9.0,13.0,4.0,0.0,0.0,2.0,0.0,2.6,2.6,6.6,9.2,134.0,119.0,278.0,0.15,0.34,0.49,0.15,0.49,0.1,0.26,0.36,0.1,0.36,Matches,2024-2025,Chelsea
Nicolas Jackson,sn SEN,FW,23-340,32,29,2310.0,25.7,12.0,5.0,17.0,12.0,0.0,0.0,7.0,1.0,13.4,13.4,4.3,17.7,49.0,41.0,135.0,0.47,0.19,0.66,0.47,0.66,0.52,0.17,0.69,0.52,0.69,Matches,2024-2025,Chelsea
Malo Gusto,fr FRA,DF,22-007,39,24,2263.0,25.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.8,1.8,1.7,3.5,59.0,126.0,112.0,0.0,0.08,0.08,0.0,0.08,0.08,0.08,0.15,0.08,0.15,Matches,2024-2025,Chelsea
Noni Madueke,eng ENG,FW,23-077,38,29,2252.0,25.0,10.0,4.0,14.0,10.0,0.0,0.0,3.0,0.0,11.9,11.9,4.6,16.5,173.0,77.0,259.0,0.4,0.16,0.56,0.4,0.56,0.48,0.19,0.67,0.48,0.67,Matches,2024-2025,Chelsea
Christopher Nkunku,fr FRA,FW,27-193,40,20,1899.0,21.1,12.0,5.0,17.0,10.0,2.0,4.0,2.0,0.0,10.8,8.4,3.1,11.5,34.0,55.0,114.0,0.57,0.24,0.81,0.47,0.71,0.62,0.18,0.8,0.48,0.66,Matches,2024-2025,Chelsea
Filip Jørgensen,dk DEN,GK,23-040,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Chelsea
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",26-262,28,16,1478.0,16.4,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.3,3.3,2.5,5.8,33.0,106.0,73.0,0.24,0.06,0.3,0.24,0.3,0.23,0.18,0.41,0.23,0.41,Matches,2024-2025,Chelsea
Reece James,eng ENG,"DF,MF",25-169,26,18,1471.0,16.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,1.9,2.6,8.0,92.0,19.0,0.12,0.12,0.24,0.12,0.24,0.04,0.12,0.16,0.04,0.16,Matches,2024-2025,Chelsea
Benoît Badiashile,fr FRA,DF,24-061,17,15,1369.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.7,1.6,7.0,68.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.12,0.07,0.12,Matches,2024-2025,Chelsea
