Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Alessandro Bellemo,it ITA,MF,25,38,38,3375.0,37.5,5.0,0.0,5.0,4.0,1.0,1.0,7.0,0.0,2.5,1.7,1.4,3.1,26.0,149.0,42.0,0.13,0.0,0.13,0.11,0.11,0.07,0.04,0.11,0.05,0.09,Matches,2021-2022,Como
Luca Vignali,it ITA,DF,25,32,31,2663.0,29.6,3.0,3.0,6.0,3.0,0.0,0.0,6.0,1.0,2.5,2.5,1.8,4.3,32.0,116.0,99.0,0.1,0.1,0.2,0.1,0.2,0.08,0.06,0.15,0.08,0.15,Matches,2021-2022,Como
Tommaso Arrigoni,it ITA,MF,27,36,29,2595.0,28.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,3.9,4.7,9.0,138.0,55.0,0.03,0.1,0.14,0.03,0.14,0.03,0.14,0.17,0.03,0.17,Matches,2021-2022,Como
Matteo Solini,it ITA,DF,28,32,27,2432.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,2.3,2.3,0.2,2.5,3.0,31.0,1.0,0.04,0.0,0.04,0.04,0.04,0.09,0.01,0.1,0.09,0.1,Matches,2021-2022,Como
Alessio Iovine,it ITA,"MF,DF",30,31,25,2277.0,25.3,1.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,1.9,1.9,3.3,5.1,25.0,89.0,114.0,0.04,0.16,0.2,0.04,0.2,0.08,0.13,0.21,0.08,0.21,Matches,2021-2022,Como
Filippo Scaglia,it ITA,DF,29,25,24,2234.0,24.8,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,1.0,1.7,11.0,72.0,6.0,0.0,0.04,0.04,0.0,0.04,0.03,0.04,0.07,0.03,0.07,Matches,2021-2022,Como
Alberto Cerri,it ITA,FW,25,27,26,2083.0,23.1,10.0,6.0,16.0,5.0,5.0,5.0,3.0,1.0,10.4,6.4,3.4,9.8,35.0,73.0,148.0,0.43,0.26,0.69,0.22,0.48,0.45,0.15,0.6,0.28,0.43,Matches,2021-2022,Como
Nicholas Ioannou,cy CYP,DF,25,31,23,2080.0,23.1,1.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,0.3,0.3,3.0,3.3,44.0,62.0,75.0,0.04,0.09,0.13,0.04,0.13,0.01,0.13,0.15,0.01,0.15,Matches,2021-2022,Como
Antonino La Gumina,it ITA,FW,25,34,24,1993.0,22.1,9.0,3.0,12.0,8.0,1.0,2.0,3.0,0.0,8.5,6.8,2.1,8.9,41.0,30.0,102.0,0.41,0.14,0.54,0.36,0.5,0.38,0.09,0.48,0.31,0.4,Matches,2021-2022,Como
Vittorio Parigini,it ITA,"MF,FW",25,31,24,1988.0,22.1,2.0,3.0,5.0,2.0,0.0,0.0,11.0,2.0,3.7,3.7,3.2,6.9,111.0,48.0,143.0,0.09,0.14,0.23,0.09,0.23,0.17,0.15,0.31,0.17,0.31,Matches,2021-2022,Como
Stefano Gori,it ITA,GK,25,20,20,1784.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Como
Davide Facchin,it ITA,GK,34,20,19,1756.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Como
Ettore Gliozzi,it ITA,"FW,MF",25,36,20,1746.0,19.4,9.0,2.0,11.0,6.0,3.0,4.0,2.0,0.0,8.4,5.3,2.5,7.7,24.0,40.0,86.0,0.46,0.1,0.57,0.31,0.41,0.43,0.13,0.56,0.27,0.4,Matches,2021-2022,Como
Andrea Cagnano,it ITA,DF,23,26,18,1719.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,19.0,63.0,24.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06,Matches,2021-2022,Como
Davide Bertoncini,it ITA,DF,30,14,11,1051.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.2,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,2021-2022,Como
