Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marc Guéhi,eng ENG,DF,21,42,42,3762.0,41.8,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.5,2.5,1.3,3.8,17.0,111.0,7.0,0.1,0.02,0.12,0.1,0.12,0.07,0.04,0.11,0.07,0.11,Matches,2021-2022,Crystal Palace
Tyrick Mitchell,eng ENG,DF,21,41,39,3451.0,38.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.7,1.9,41.0,134.0,116.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.05,0.01,0.05,Matches,2021-2022,Crystal Palace
Joachim Andersen,dk DEN,DF,25,39,37,3366.0,37.4,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.7,2.4,14.0,100.0,4.0,0.0,0.08,0.08,0.0,0.08,0.02,0.05,0.07,0.02,0.07,Matches,2021-2022,Crystal Palace
Conor Gallagher,eng ENG,MF,21,39,37,3204.0,35.6,8.0,5.0,13.0,8.0,0.0,0.0,12.0,0.0,6.3,6.3,3.1,9.4,42.0,94.0,118.0,0.22,0.14,0.37,0.22,0.37,0.2,0.1,0.3,0.2,0.3,Matches,2021-2022,Crystal Palace
Wilfried Zaha,ci CIV,FW,28,37,35,3120.0,34.7,15.0,2.0,17.0,10.0,5.0,7.0,6.0,1.0,9.5,3.9,5.1,9.0,113.0,121.0,265.0,0.43,0.06,0.49,0.29,0.35,0.31,0.17,0.48,0.13,0.29,Matches,2021-2022,Crystal Palace
Joel Ward,eng ENG,DF,31,32,31,2842.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.5,0.8,27.0,119.0,37.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2021-2022,Crystal Palace
Vicente Guaita,es ESP,GK,34,30,30,2655.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Crystal Palace
Cheikhou Kouyaté,sn SEN,MF,31,31,27,2308.0,25.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.8,1.3,7.0,54.0,9.0,0.04,0.04,0.08,0.04,0.08,0.02,0.04,0.06,0.02,0.06,Matches,2021-2022,Crystal Palace
Jordan Ayew,gh GHA,FW,29,34,25,2208.0,24.5,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,3.1,3.1,2.8,5.9,98.0,51.0,151.0,0.12,0.12,0.24,0.12,0.24,0.14,0.12,0.26,0.14,0.26,Matches,2021-2022,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,FW",28,37,24,2195.0,24.4,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.4,3.4,1.6,4.9,31.0,70.0,60.0,0.16,0.04,0.21,0.16,0.21,0.16,0.08,0.24,0.16,0.24,Matches,2021-2022,Crystal Palace
Odsonne Édouard,fr FRA,FW,23,31,18,1630.0,18.1,6.0,3.0,9.0,5.0,1.0,1.0,4.0,0.0,6.4,5.6,1.9,7.5,42.0,42.0,109.0,0.33,0.17,0.5,0.28,0.44,0.37,0.11,0.48,0.32,0.43,Matches,2021-2022,Crystal Palace
Jean-Philippe Mateta,fr FRA,FW,24,28,19,1563.0,17.4,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,5.8,5.8,1.3,7.1,16.0,6.0,46.0,0.4,0.06,0.46,0.4,0.46,0.46,0.1,0.56,0.46,0.56,Matches,2021-2022,Crystal Palace
Nathaniel Clyne,eng ENG,DF,30,20,17,1554.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,14.0,36.0,25.0,0.0,0.06,0.06,0.0,0.06,0.01,0.03,0.04,0.01,0.04,Matches,2021-2022,Crystal Palace
James McArthur,sct SCO,MF,33,23,16,1538.0,17.1,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.7,29.0,84.0,22.0,0.0,0.18,0.18,0.0,0.18,0.02,0.09,0.11,0.02,0.11,Matches,2021-2022,Crystal Palace
Michael Olise,fr FRA,"FW,MF",19,31,16,1509.0,16.8,4.0,8.0,12.0,4.0,0.0,0.0,4.0,0.0,1.7,1.7,3.9,5.6,55.0,63.0,110.0,0.24,0.48,0.72,0.24,0.72,0.13,0.3,0.44,0.13,0.44,Matches,2021-2022,Crystal Palace
