Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Marc Guéhi,eng ENG,DF,22,40,40,3629.0,40.3,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,0.5,1.9,17.0,106.0,3.0,0.02,0.0,0.02,0.02,0.02,0.04,0.01,0.05,0.04,0.05,Matches,2022-2023,Crystal Palace
Tyrick Mitchell,eng ENG,DF,22,38,35,3037.0,33.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,1.2,1.8,23.0,106.0,90.0,0.0,0.06,0.06,0.0,0.06,0.02,0.04,0.05,0.02,0.05,Matches,2022-2023,Crystal Palace
Michael Olise,fr FRA,"FW,MF",20,40,34,2991.0,33.2,2.0,11.0,13.0,2.0,0.0,0.0,2.0,0.0,2.9,2.9,8.7,11.6,111.0,133.0,243.0,0.06,0.33,0.39,0.06,0.39,0.09,0.29,0.38,0.09,0.38,Matches,2022-2023,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",30,41,33,2896.0,32.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,3.2,3.2,3.2,6.4,83.0,63.0,174.0,0.12,0.09,0.22,0.12,0.22,0.1,0.11,0.21,0.1,0.21,Matches,2022-2023,Crystal Palace
Joachim Andersen,dk DEN,DF,26,33,33,2872.0,31.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,1.3,3.1,16.0,105.0,7.0,0.03,0.0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1,Matches,2022-2023,Crystal Palace
Cheick Doucouré,ml MLI,MF,22,35,35,2832.0,31.5,0.0,3.0,3.0,0.0,0.0,0.0,10.0,1.0,1.4,1.4,1.9,3.4,18.0,140.0,17.0,0.0,0.1,0.1,0.0,0.1,0.05,0.06,0.11,0.05,0.11,Matches,2022-2023,Crystal Palace
Eberechi Eze,eng ENG,"MF,FW",24,40,30,2679.0,29.8,10.0,4.0,14.0,9.0,1.0,1.0,3.0,0.0,7.3,6.5,4.3,10.8,69.0,131.0,129.0,0.34,0.13,0.47,0.3,0.44,0.25,0.15,0.39,0.22,0.37,Matches,2022-2023,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,FW",29,36,30,2588.0,28.8,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,3.2,3.2,1.4,4.6,32.0,98.0,67.0,0.1,0.07,0.17,0.1,0.17,0.11,0.05,0.17,0.11,0.17,Matches,2022-2023,Crystal Palace
Vicente Guaita,es ESP,GK,35,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Crystal Palace
