Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Gregor Kobel,ch SUI,GK,27-171,47,47,4215.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Dortmund
Serhou Guirassy,gn GUI,FW,29-075,45,42,3801.0,42.2,34.0,8.0,42.0,26.0,8.0,10.0,6.0,0.0,35.0,27.1,6.4,33.5,38.0,69.0,184.0,0.81,0.19,0.99,0.62,0.81,0.86,0.16,1.01,0.66,0.82,Matches,2024-2025,Dortmund
Pascal Groß,de GER,"MF,DF",33-345,45,40,3451.0,38.3,1.0,13.0,14.0,1.0,0.0,0.0,8.0,1.0,4.2,4.2,8.2,12.4,54.0,237.0,168.0,0.03,0.34,0.37,0.03,0.37,0.12,0.23,0.35,0.12,0.35,Matches,2024-2025,Dortmund
Julian Brandt,de GER,MF,29-024,45,41,3390.0,37.7,6.0,15.0,21.0,6.0,0.0,0.0,1.0,0.0,5.5,5.5,9.9,15.4,87.0,203.0,263.0,0.16,0.4,0.56,0.16,0.56,0.16,0.28,0.44,0.16,0.44,Matches,2024-2025,Dortmund
Julian Ryerson,no NOR,DF,27-190,42,39,3272.0,36.4,2.0,3.0,5.0,2.0,0.0,0.0,8.0,1.0,1.0,1.0,6.3,7.4,85.0,121.0,174.0,0.06,0.08,0.14,0.06,0.14,0.03,0.18,0.21,0.03,0.21,Matches,2024-2025,Dortmund
Nico Schlotterbeck,de GER,DF,25-176,37,37,3272.0,36.4,0.0,5.0,5.0,0.0,0.0,0.0,9.0,2.0,1.8,1.8,2.4,4.3,54.0,284.0,19.0,0.0,0.14,0.14,0.0,0.14,0.05,0.07,0.13,0.05,0.13,Matches,2024-2025,Dortmund
Emre Can,de GER,"DF,MF",31-134,45,35,3225.0,35.8,6.0,1.0,7.0,1.0,5.0,5.0,5.0,1.0,3.7,0.6,0.7,1.3,26.0,142.0,18.0,0.17,0.03,0.2,0.03,0.06,0.11,0.02,0.13,0.02,0.04,Matches,2024-2025,Dortmund
Ramy Bensebaini,dz ALG,DF,30-040,44,32,2887.0,32.1,3.0,7.0,10.0,3.0,0.0,0.0,11.0,0.0,2.6,2.6,4.5,7.0,42.0,182.0,82.0,0.09,0.22,0.31,0.09,0.31,0.08,0.15,0.23,0.08,0.23,Matches,2024-2025,Dortmund
Jamie Gittens,eng ENG,"FW,MF",20-291,48,34,2777.0,30.9,12.0,3.0,15.0,12.0,0.0,0.0,5.0,0.0,5.3,5.3,3.5,8.8,161.0,62.0,268.0,0.39,0.1,0.49,0.39,0.49,0.18,0.12,0.3,0.18,0.3,Matches,2024-2025,Dortmund
Waldemar Anton,de GER,DF,28-310,37,29,2632.0,29.2,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,1.7,1.7,1.3,3.0,35.0,144.0,29.0,0.1,0.07,0.17,0.1,0.17,0.06,0.05,0.11,0.06,0.11,Matches,2024-2025,Dortmund
Marcel Sabitzer,at AUT,MF,31-070,39,29,2570.0,28.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.1,3.1,2.3,5.4,30.0,136.0,101.0,0.04,0.0,0.04,0.04,0.04,0.11,0.09,0.2,0.11,0.2,Matches,2024-2025,Dortmund
