Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Kevin Trapp,de GER,GK,30,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Eint Frankfurt
André Silva,pt POR,FW,24,34,34,2940.0,32.7,29.0,9.0,38.0,22.0,7.0,7.0,1.0,0.0,25.6,20.1,4.7,24.8,46.0,67.0,255.0,0.89,0.28,1.16,0.67,0.95,0.83,0.15,0.99,0.65,0.81,Matches,2020-2021,Eint Frankfurt
Martin Hinteregger,at AUT,DF,27,31,31,2707.0,30.1,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.4,2.4,1.2,3.5,23.0,152.0,18.0,0.07,0.03,0.1,0.07,0.1,0.08,0.04,0.13,0.08,0.13,Matches,2020-2021,Eint Frankfurt
Filip Kostić,rs SRB,DF,27,30,29,2534.0,28.2,4.0,14.0,18.0,4.0,0.0,0.0,4.0,0.0,4.4,4.4,12.8,17.2,124.0,108.0,288.0,0.14,0.5,0.64,0.14,0.64,0.16,0.45,0.61,0.16,0.61,Matches,2020-2021,Eint Frankfurt
Daichi Kamada,jp JPN,MF,23,34,30,2504.0,27.8,5.0,12.0,17.0,5.0,0.0,0.0,3.0,0.0,5.6,5.6,7.5,13.1,63.0,124.0,210.0,0.18,0.43,0.61,0.18,0.61,0.21,0.29,0.5,0.21,0.5,Matches,2020-2021,Eint Frankfurt
Makoto Hasebe,jp JPN,"DF,MF",36,29,26,2288.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.3,0.4,28.0,167.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2020-2021,Eint Frankfurt
Obite N'Dicka,ci CIV,DF,20,25,25,2224.0,24.7,3.0,1.0,4.0,3.0,0.0,0.0,10.0,0.0,1.4,1.4,0.4,1.8,43.0,95.0,29.0,0.12,0.04,0.16,0.12,0.16,0.06,0.02,0.08,0.06,0.08,Matches,2020-2021,Eint Frankfurt
Djibril Sow,ch SUI,MF,23,29,25,2194.0,24.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,1.2,1.7,41.0,119.0,45.0,0.0,0.08,0.08,0.0,0.08,0.02,0.05,0.07,0.02,0.07,Matches,2020-2021,Eint Frankfurt
Sebastian Rode,de GER,MF,29,29,21,1786.0,19.8,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.1,0.1,1.1,1.2,36.0,112.0,34.0,0.05,0.0,0.05,0.05,0.05,0.0,0.06,0.07,0.0,0.07,Matches,2020-2021,Eint Frankfurt
