Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Leo Štulac,si SVN,MF,25,37,36,3139.0,34.9,3.0,7.0,10.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,6.3,8.9,56.0,281.0,41.0,0.09,0.2,0.29,0.09,0.29,0.07,0.18,0.26,0.07,0.26,Matches,2020-2021,Empoli
Alberto Brignoli,it ITA,GK,28,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Empoli
Nicolas Haas,ch SUI,MF,24,37,32,2804.0,31.2,4.0,4.0,8.0,4.0,0.0,0.0,9.0,0.0,4.3,4.3,4.2,8.4,62.0,170.0,170.0,0.13,0.13,0.26,0.13,0.26,0.15,0.14,0.29,0.15,0.29,Matches,2020-2021,Empoli
Simone Romagnoli,it ITA,DF,30,31,31,2749.0,30.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.1,1.1,0.9,2.0,28.0,150.0,6.0,0.03,0.03,0.07,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021,Empoli
Leonardo Mancuso,it ITA,FW,28,39,33,2744.0,30.5,23.0,4.0,27.0,21.0,2.0,4.0,7.0,0.0,16.3,13.0,5.1,18.1,62.0,67.0,235.0,0.75,0.13,0.89,0.69,0.82,0.55,0.17,0.73,0.44,0.61,Matches,2020-2021,Empoli
Dimitris Nikolaou,gr GRE,DF,21,29,27,2422.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,40.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,2020-2021,Empoli
Nedim Bajrami,al ALB,MF,21,39,28,2383.0,26.5,7.0,8.0,15.0,7.0,0.0,0.0,2.0,0.0,5.6,5.6,6.5,12.1,123.0,113.0,233.0,0.26,0.3,0.57,0.26,0.57,0.24,0.27,0.51,0.24,0.51,Matches,2020-2021,Empoli
Riccardo Fiamozzi,it ITA,DF,27,26,24,2131.0,23.7,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,2.6,2.8,73.0,157.0,126.0,0.0,0.13,0.13,0.0,0.13,0.01,0.11,0.12,0.01,0.12,Matches,2020-2021,Empoli
Andrea La Mantia,it ITA,FW,29,36,23,2059.0,22.9,11.0,3.0,14.0,11.0,0.0,0.0,3.0,0.0,13.7,13.7,3.1,16.9,11.0,41.0,131.0,0.48,0.13,0.61,0.48,0.61,0.61,0.14,0.75,0.61,0.75,Matches,2020-2021,Empoli
