Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Emmanuel Gyasi,gh GHA,"DF,FW",30,43,39,3522.0,39.1,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,3.9,3.9,0.7,4.6,22.0,53.0,108.0,0.05,0.03,0.08,0.05,0.08,0.11,0.02,0.13,0.11,0.13,Matches,2024-2025,Empoli
Giuseppe Pezzella,it ITA,"DF,FW",26,39,35,3130.0,34.8,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.6,0.6,4.6,5.2,77.0,80.0,143.0,0.0,0.09,0.09,0.0,0.09,0.02,0.14,0.16,0.02,0.16,Matches,2024-2025,Empoli
Devis Vásquez,co COL,GK,26,34,34,3090.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Empoli
Liberato Cacace,nz NZL,"MF,DF",23,39,30,2773.0,30.8,2.0,5.0,7.0,2.0,0.0,0.0,6.0,0.0,2.6,2.6,1.7,4.3,53.0,70.0,97.0,0.06,0.16,0.23,0.06,0.23,0.11,0.07,0.17,0.11,0.17,Matches,2024-2025,Empoli
Liam Henderson,sct SCO,MF,28,41,31,2762.0,30.7,0.0,6.0,6.0,0.0,0.0,0.0,11.0,0.0,0.7,0.7,3.9,4.5,18.0,108.0,54.0,0.0,0.2,0.2,0.0,0.2,0.03,0.15,0.17,0.03,0.17,Matches,2024-2025,Empoli
Mattia Viti,it ITA,DF,22,33,31,2735.0,30.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.0,17.0,86.0,10.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.03,Matches,2024-2025,Empoli
Saba Goglichidze,ge GEO,DF,20,36,29,2688.0,29.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.3,0.3,0.3,0.6,12.0,45.0,9.0,0.0,0.03,0.03,0.0,0.03,0.01,0.01,0.02,0.01,0.02,Matches,2024-2025,Empoli
Sebastiano Esposito,it ITA,"FW,MF",22,37,29,2616.0,29.1,10.0,1.0,11.0,9.0,1.0,2.0,2.0,0.0,5.7,4.2,2.1,6.3,31.0,93.0,106.0,0.34,0.03,0.38,0.31,0.34,0.22,0.08,0.3,0.16,0.24,Matches,2024-2025,Empoli
Ardian Ismajli,al ALB,DF,27,31,31,2616.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.4,3.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2024-2025,Empoli
Lorenzo Colombo,it ITA,"FW,MF",22,43,29,2572.0,28.6,7.0,2.0,9.0,6.0,1.0,1.0,5.0,1.0,5.9,5.1,2.9,8.0,27.0,48.0,116.0,0.24,0.07,0.31,0.21,0.28,0.24,0.12,0.35,0.21,0.32,Matches,2024-2025,Empoli
Alberto Grassi,it ITA,MF,29,31,28,2331.0,25.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.8,1.9,18.0,74.0,24.0,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,Matches,2024-2025,Empoli
Youssef Maleh,ma MAR,MF,25,24,18,1688.0,18.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,0.9,1.8,10.0,72.0,37.0,0.05,0.05,0.11,0.05,0.11,0.05,0.05,0.1,0.05,0.1,Matches,2024-2025,Empoli
Luca Marianucci,it ITA,DF,20,24,18,1595.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.2,0.8,12.0,28.0,3.0,0.0,0.11,0.11,0.0,0.11,0.05,0.02,0.07,0.05,0.07,Matches,2024-2025,Empoli
Jacopo Fazzini,it ITA,MF,21,22,18,1548.0,17.2,6.0,1.0,7.0,6.0,0.0,0.0,1.0,1.0,3.1,3.1,0.5,3.6,33.0,49.0,88.0,0.35,0.06,0.41,0.35,0.41,0.2,0.03,0.23,0.2,0.23,Matches,2024-2025,Empoli
Faustino Anjorin,eng ENG,MF,22,22,14,1114.0,12.4,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,1.7,2.5,28.0,55.0,35.0,0.16,0.24,0.4,0.16,0.4,0.07,0.13,0.21,0.07,0.21,Matches,2024-2025,Empoli
Mattia De Sciglio,it ITA,DF,31,19,10,1039.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.8,4.0,18.0,7.0,0.09,0.0,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches,2024-2025,Empoli
Ola Solbakken,no NOR,"MF,FW",25,25,11,968.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.4,1.2,18.0,20.0,32.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches,2024-2025,Empoli
