Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Diego López,es ESP,GK,38.0,40,40,3600.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Espanyol
Leandro Cabrera,uy URU,DF,29.0,39,37,3341.0,37.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2020-2021,Espanyol
Sergi Darder,es ESP,MF,26.0,41,35,3065.0,34.1,6.0,3.0,9.0,6.0,0.0,0.0,7.0,1.0,0.18,0.09,0.26,0.18,0.26,Matches,2020-2021,Espanyol
Adri Embarba,es ESP,MF,28.0,40,38,3062.0,34.0,9.0,14.0,23.0,7.0,2.0,2.0,11.0,0.0,0.26,0.41,0.68,0.21,0.62,Matches,2020-2021,Espanyol
Raúl de Tomás,es ESP,FW,25.0,38,33,3058.0,34.0,23.0,3.0,26.0,19.0,4.0,7.0,4.0,0.0,0.68,0.09,0.77,0.56,0.65,Matches,2020-2021,Espanyol
David López,es ESP,"MF,DF",30.0,38,37,3010.0,33.4,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021,Espanyol
Adrià Pedrosa,es ESP,DF,22.0,33,31,2693.0,29.9,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,0.03,0.13,0.17,0.03,0.17,Matches,2020-2021,Espanyol
Javi Puado,es ESP,"MF,FW",22.0,39,29,2584.0,28.7,13.0,8.0,21.0,12.0,1.0,1.0,2.0,0.0,0.45,0.28,0.73,0.42,0.7,Matches,2020-2021,Espanyol
Fernando Calero,es ESP,DF,24.0,31,26,2404.0,26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2020-2021,Espanyol
