Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Leandro Cabrera,uy URU,DF,30.0,40,40,3630.0,40.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.1,1.1,0.7,1.8,5.0,107.0,5.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches,2021-2022,Espanyol
Diego López,es ESP,GK,39.0,38,38,3387.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Espanyol
Sergi Darder,es ESP,MF,27.0,39,38,3360.0,37.3,3.0,9.0,12.0,3.0,0.0,0.0,5.0,0.0,2.6,2.6,3.9,6.5,94.0,221.0,65.0,0.08,0.24,0.32,0.08,0.32,0.07,0.11,0.19,0.07,0.19,Matches,2021-2022,Espanyol
Raúl de Tomás,es ESP,FW,26.0,36,35,3075.0,34.2,17.0,3.0,20.0,12.0,5.0,5.0,7.0,2.0,15.1,11.2,1.6,12.8,44.0,86.0,191.0,0.5,0.09,0.59,0.35,0.44,0.47,0.05,0.52,0.34,0.39,Matches,2021-2022,Espanyol
Sergi Gómez,es ESP,DF,29.0,35,34,2983.0,33.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,0.4,0.4,1.2,1.6,4.0,43.0,1.0,0.06,0.06,0.12,0.06,0.12,0.01,0.04,0.05,0.01,0.05,Matches,2021-2022,Espanyol
Adrià Pedrosa,es ESP,DF,23.0,33,33,2929.0,32.5,2.0,2.0,4.0,2.0,0.0,0.0,10.0,1.0,1.0,1.0,1.2,2.3,90.0,69.0,140.0,0.06,0.06,0.12,0.06,0.12,0.03,0.04,0.07,0.03,0.07,Matches,2021-2022,Espanyol
Javi Puado,es ESP,"MF,FW",23.0,33,28,2453.0,27.3,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,4.9,4.9,1.2,6.1,64.0,56.0,130.0,0.18,0.04,0.22,0.18,0.22,0.2,0.05,0.25,0.2,0.25,Matches,2021-2022,Espanyol
Adri Embarba,es ESP,"FW,MF",29.0,34,25,2118.0,23.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,2.8,2.8,2.5,5.3,75.0,54.0,134.0,0.0,0.08,0.08,0.0,0.08,0.13,0.12,0.24,0.13,0.24,Matches,2021-2022,Espanyol
Aleix Vidal,es ESP,"DF,MF",31.0,34,23,2082.0,23.1,2.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,0.7,0.7,2.3,3.0,44.0,78.0,120.0,0.09,0.0,0.09,0.09,0.09,0.03,0.11,0.14,0.03,0.14,Matches,2021-2022,Espanyol
Óscar Gil,es ESP,DF,24.0,24,21,1816.0,20.2,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,2.0,2.2,23.0,30.0,75.0,0.0,0.1,0.1,0.0,0.1,0.01,0.11,0.12,0.01,0.12,Matches,2021-2022,Espanyol
Keidi Bare,al ALB,MF,23.0,28,20,1712.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.3,0.3,0.5,0.8,20.0,67.0,15.0,0.05,0.05,0.11,0.05,0.11,0.02,0.03,0.05,0.02,0.05,Matches,2021-2022,Espanyol
Yangel Herrera,ve VEN,MF,23.0,23,19,1645.0,18.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,1.1,1.1,0.7,1.8,12.0,74.0,34.0,0.05,0.05,0.11,0.05,0.11,0.06,0.04,0.1,0.06,0.1,Matches,2021-2022,Espanyol
Manu Morlanes,es ESP,MF,22.0,30,13,1303.0,14.5,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,0.7,0.7,0.3,1.0,21.0,81.0,6.0,0.14,0.0,0.14,0.14,0.14,0.05,0.02,0.07,0.05,0.07,Matches,2021-2022,Espanyol
Fernando Calero,es ESP,DF,25.0,18,15,1262.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,2.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,2021-2022,Espanyol
Nico Ribaudo,es ESP,"MF,FW",20.0,33,9,1213.0,13.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,1.4,2.4,40.0,54.0,74.0,0.15,0.0,0.15,0.15,0.15,0.08,0.12,0.2,0.08,0.2,Matches,2021-2022,Espanyol
Óscar Melendo,es ESP,"MF,FW",23.0,24,16,1199.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.7,2.1,18.0,66.0,26.0,0.0,0.08,0.08,0.0,0.08,0.04,0.15,0.19,0.04,0.19,Matches,2021-2022,Espanyol
Tonny Vilhena,nl NED,"MF,FW",26.0,17,13,928.0,10.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.9,1.8,17.0,29.0,60.0,0.1,0.1,0.19,0.1,0.19,0.08,0.09,0.17,0.08,0.17,Matches,2021-2022,Espanyol
Loren Morón,es ESP,"FW,MF",27.0,25,7,838.0,9.3,4.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.7,0.7,0.7,1.4,5.0,5.0,19.0,0.43,0.11,0.54,0.32,0.43,0.11,0.12,0.23,0.11,0.23,Matches,2021-2022,Espanyol
David López,es ESP,"MF,DF",31.0,18,8,743.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,2.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.1,0.05,0.1,Matches,2021-2022,Espanyol
Wu Lei,cn CHN,"FW,MF",29.0,27,6,656.0,7.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,0.9,1.9,8.0,6.0,21.0,0.27,0.14,0.41,0.27,0.41,0.2,0.17,0.37,0.2,0.37,Matches,2021-2022,Espanyol
Landry Dimata,be BEL,"FW,MF",23.0,19,5,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.3,2.0,6.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.33,0.27,0.33,Matches,2021-2022,Espanyol
