Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jordan Pickford,eng ENG,GK,23,43,43,3870.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Michael Keane,eng ENG,DF,24,34,33,2920.0,32.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,0.5,1.7,12.0,100.0,4.0,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.05,0.04,0.05,Matches,2017-2018,Everton
Idrissa Gana Gueye,sn SEN,MF,27,35,34,2857.0,31.7,2.0,1.0,3.0,2.0,0.0,0.0,8.0,2.0,1.6,1.6,0.8,2.4,30.0,141.0,30.0,0.06,0.03,0.09,0.06,0.09,0.05,0.03,0.08,0.05,0.08,Matches,2017-2018,Everton
Gylfi Sigurðsson,is ISL,"MF,FW",27,32,29,2652.0,29.5,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,3.3,3.3,5.0,8.3,31.0,87.0,122.0,0.17,0.17,0.34,0.17,0.34,0.12,0.17,0.29,0.12,0.29,Matches,2017-2018,Everton
Wayne Rooney,eng ENG,"MF,FW",31,36,32,2645.0,29.4,11.0,2.0,13.0,8.0,3.0,6.0,6.0,0.0,9.2,4.4,2.4,6.8,31.0,133.0,112.0,0.37,0.07,0.44,0.27,0.34,0.33,0.09,0.41,0.16,0.24,Matches,2017-2018,Everton
Morgan Schneiderlin,fr FRA,MF,27,36,30,2603.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.5,0.5,0.3,0.8,17.0,137.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018,Everton
Ashley Williams,wls WAL,DF,32,30,26,2374.0,26.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,1.4,1.4,0.3,1.7,3.0,50.0,2.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,Matches,2017-2018,Everton
Phil Jagielka,eng ENG,DF,34,28,26,2335.0,25.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.7,1.3,6.0,54.0,3.0,0.0,0.04,0.04,0.0,0.04,0.02,0.03,0.05,0.02,0.05,Matches,2017-2018,Everton
Tom Davies,eng ENG,MF,19,39,25,2332.0,25.9,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,1.7,1.7,0.8,2.4,41.0,75.0,85.0,0.08,0.08,0.15,0.08,0.15,0.07,0.03,0.1,0.07,0.1,Matches,2017-2018,Everton
Dominic Calvert-Lewin,eng ENG,FW,20,40,22,2284.0,25.4,7.0,6.0,13.0,7.0,0.0,0.0,5.0,0.0,5.5,5.4,2.9,8.3,44.0,30.0,150.0,0.28,0.24,0.51,0.28,0.51,0.23,0.12,0.36,0.23,0.35,Matches,2017-2018,Everton
Leighton Baines,eng ENG,DF,32,25,25,2179.0,24.2,2.0,3.0,5.0,0.0,2.0,2.0,1.0,0.0,2.1,0.5,2.1,2.6,33.0,97.0,66.0,0.08,0.12,0.21,0.0,0.12,0.09,0.09,0.18,0.02,0.11,Matches,2017-2018,Everton
Cuco Martina,cw CUW,DF,27,25,24,2143.0,23.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.4,1.5,31.0,74.0,89.0,0.0,0.08,0.08,0.0,0.08,0.0,0.06,0.06,0.0,0.06,Matches,2017-2018,Everton
Jonjoe Kenny,eng ENG,DF,20,25,23,2109.0,23.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.5,1.7,20.0,68.0,61.0,0.0,0.04,0.04,0.0,0.04,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018,Everton
Mason Holgate,eng ENG,DF,20,21,19,1724.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.6,1.3,12.0,63.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2017-2018,Everton
Theo Walcott,eng ENG,FW,28,14,13,1152.0,12.8,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.5,2.5,2.4,4.8,35.0,33.0,99.0,0.23,0.23,0.47,0.23,0.47,0.19,0.18,0.38,0.19,0.38,Matches,2017-2018,Everton
Oumar Niasse,sn SEN,FW,27,25,10,1131.0,12.6,9.0,2.0,11.0,9.0,0.0,0.0,2.0,0.0,7.0,7.0,1.4,8.4,21.0,17.0,106.0,0.72,0.16,0.88,0.72,0.88,0.58,0.11,0.69,0.58,0.69,Matches,2017-2018,Everton
Séamus Coleman,ie IRL,DF,28,12,12,1035.0,11.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.7,34.0,44.0,44.0,0.0,0.09,0.09,0.0,0.09,0.09,0.06,0.15,0.09,0.15,Matches,2017-2018,Everton
Nikola Vlašić,hr CRO,"MF,FW",19,19,11,1017.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.4,2.7,35.0,33.0,79.0,0.18,0.09,0.27,0.18,0.27,0.12,0.13,0.26,0.12,0.26,Matches,2017-2018,Everton
Cenk Tosun,tr TUR,FW,26,14,12,986.0,11.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.8,2.8,1.4,4.2,9.0,9.0,69.0,0.46,0.0,0.46,0.46,0.46,0.25,0.13,0.38,0.25,0.38,Matches,2017-2018,Everton
Aaron Lennon,eng ENG,"FW,MF",30,18,11,946.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,19.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018,Everton
Yannick Bolasie,cd COD,FW,28,17,12,941.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.7,2.3,39.0,20.0,52.0,0.1,0.0,0.1,0.1,0.1,0.16,0.08,0.24,0.16,0.24,Matches,2017-2018,Everton
