Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jordan Pickford,eng ENG,GK,27,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Everton
Michael Keane,eng ENG,DF,28,38,36,3281.0,36.5,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,1.2,1.2,1.6,2.8,9.0,79.0,4.0,0.08,0.05,0.14,0.08,0.14,0.04,0.05,0.09,0.04,0.09,Matches,2021-2022,Everton
Séamus Coleman,ie IRL,DF,32,34,33,2969.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,0.8,2.0,40.0,96.0,77.0,0.03,0.0,0.03,0.03,0.03,0.04,0.03,0.07,0.04,0.07,Matches,2021-2022,Everton
Abdoulaye Doucouré,ml MLI,MF,28,34,31,2797.0,31.1,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,2.2,2.2,2.0,4.2,33.0,113.0,54.0,0.06,0.13,0.19,0.06,0.19,0.08,0.07,0.15,0.08,0.15,Matches,2021-2022,Everton
Richarlison,br BRA,FW,24,33,30,2745.0,30.5,11.0,5.0,16.0,8.0,3.0,3.0,9.0,0.0,9.2,6.8,3.6,10.4,44.0,42.0,146.0,0.36,0.16,0.52,0.26,0.43,0.33,0.13,0.46,0.24,0.37,Matches,2021-2022,Everton
Anthony Gordon,eng ENG,"MF,FW",20,40,30,2687.0,29.9,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,3.5,3.5,3.8,7.3,74.0,51.0,137.0,0.13,0.1,0.23,0.13,0.23,0.14,0.15,0.29,0.14,0.29,Matches,2021-2022,Everton
Demarai Gray,jm JAM,"MF,FW",25,39,30,2637.0,29.3,6.0,5.0,11.0,6.0,0.0,0.0,3.0,0.0,4.0,4.0,3.6,7.6,93.0,59.0,169.0,0.2,0.17,0.38,0.2,0.38,0.15,0.14,0.29,0.15,0.29,Matches,2021-2022,Everton
Mason Holgate,eng ENG,DF,24,29,27,2494.0,27.7,3.0,1.0,4.0,3.0,0.0,0.0,7.0,1.0,1.3,1.3,0.1,1.4,4.0,40.0,2.0,0.11,0.04,0.14,0.11,0.14,0.06,0.0,0.06,0.06,0.06,Matches,2021-2022,Everton
Allan,br BRA,MF,30,31,28,2481.0,27.6,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.2,0.2,0.8,1.1,26.0,130.0,18.0,0.0,0.11,0.11,0.0,0.11,0.01,0.03,0.04,0.01,0.04,Matches,2021-2022,Everton
Ben Godfrey,eng ENG,DF,23,27,27,2342.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.4,1.4,0.8,2.2,23.0,67.0,26.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.1,0.06,0.1,Matches,2021-2022,Everton
Alex Iwobi,ng NGA,"MF,DF",25,32,24,2236.0,24.8,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,2.6,4.9,44.0,103.0,104.0,0.12,0.12,0.24,0.12,0.24,0.1,0.12,0.22,0.1,0.22,Matches,2021-2022,Everton
Andros Townsend,eng ENG,"MF,FW",30,27,21,1814.0,20.2,7.0,4.0,11.0,6.0,1.0,1.0,3.0,0.0,2.2,1.5,3.1,4.5,41.0,50.0,100.0,0.35,0.2,0.55,0.3,0.5,0.14,0.19,0.33,0.09,0.28,Matches,2021-2022,Everton
Jonjoe Kenny,eng ENG,DF,24,21,16,1424.0,15.8,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.8,1.0,9.0,36.0,25.0,0.0,0.19,0.19,0.0,0.19,0.02,0.07,0.09,0.02,0.09,Matches,2021-2022,Everton
Dominic Calvert-Lewin,eng ENG,FW,24,18,15,1328.0,14.8,5.0,2.0,7.0,3.0,2.0,3.0,2.0,0.0,6.5,4.2,1.6,5.7,9.0,17.0,50.0,0.34,0.14,0.47,0.2,0.34,0.46,0.11,0.57,0.29,0.4,Matches,2021-2022,Everton
Vitaliy Mykolenko,ua UKR,DF,22,16,15,1306.0,14.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.2,8.0,27.0,27.0,0.07,0.0,0.07,0.07,0.07,0.04,0.06,0.11,0.04,0.11,Matches,2021-2022,Everton
Lucas Digne,fr FRA,DF,28,15,14,1276.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.8,25.0,49.0,47.0,0.07,0.0,0.07,0.07,0.07,0.03,0.11,0.14,0.03,0.14,Matches,2021-2022,Everton
Salomón Rondón,ve VEN,FW,31,23,11,1068.0,11.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,1.0,1.8,1.8,0.7,2.6,5.0,9.0,41.0,0.25,0.08,0.34,0.25,0.34,0.21,0.08,0.29,0.21,0.29,Matches,2021-2022,Everton
André Gomes,pt POR,MF,28,19,11,977.0,10.9,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,0.2,0.8,6.0,25.0,13.0,0.09,0.18,0.28,0.09,0.28,0.1,0.03,0.12,0.1,0.12,Matches,2021-2022,Everton
Yerry Mina,co COL,DF,26,14,11,923.0,10.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,1.0,20.0,2.0,0.1,0.0,0.1,0.1,0.1,0.03,0.0,0.03,0.03,0.03,Matches,2021-2022,Everton
Fabian Delph,eng ENG,MF,31,11,8,662.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2021-2022,Everton
