Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Nikola Milenković,rs SRB,DF,21,41,40,3618.0,40.2,5.0,0.0,5.0,5.0,0.0,0.0,10.0,0.0,2.6,2.6,0.3,2.9,44.0,144.0,7.0,0.12,0.0,0.12,0.12,0.12,0.07,0.01,0.08,0.07,0.08,Matches,2019-2020,Fiorentina
Erick Pulgar,cl CHI,MF,25,41,36,3310.0,36.8,7.0,8.0,15.0,0.0,7.0,8.0,10.0,0.0,7.6,1.3,7.1,8.4,19.0,159.0,55.0,0.19,0.22,0.41,0.0,0.22,0.23,0.22,0.45,0.04,0.26,Matches,2019-2020,Fiorentina
Pol Lirola,es ESP,DF,21,39,33,2928.0,32.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,3.2,4.7,98.0,104.0,169.0,0.03,0.06,0.09,0.03,0.09,0.05,0.11,0.16,0.05,0.16,Matches,2019-2020,Fiorentina
Germán Pezzella,ar ARG,DF,28,34,34,2899.0,32.2,3.0,1.0,4.0,3.0,0.0,0.0,14.0,1.0,3.1,3.1,0.8,3.9,7.0,55.0,5.0,0.09,0.03,0.12,0.09,0.12,0.1,0.03,0.13,0.1,0.13,Matches,2019-2020,Fiorentina
Bartłomiej Drągowski,pl POL,GK,21,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Fiorentina
Gaetano Castrovilli,it ITA,MF,22,35,33,2853.0,31.7,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,3.5,3.5,2.4,5.9,142.0,144.0,143.0,0.09,0.06,0.16,0.09,0.16,0.12,0.08,0.2,0.12,0.2,Matches,2019-2020,Fiorentina
Federico Chiesa,it ITA,"FW,DF",21,37,33,2809.0,31.2,11.0,6.0,17.0,10.0,1.0,2.0,7.0,0.0,12.2,10.6,5.4,16.0,108.0,96.0,186.0,0.35,0.19,0.54,0.32,0.51,0.42,0.19,0.6,0.36,0.55,Matches,2019-2020,Fiorentina
Dalbert Henrique,br BRA,"DF,MF",25,34,32,2745.0,30.5,0.0,6.0,6.0,0.0,0.0,0.0,10.0,1.0,0.8,0.8,3.4,4.2,63.0,104.0,159.0,0.0,0.2,0.2,0.0,0.2,0.03,0.12,0.15,0.03,0.15,Matches,2019-2020,Fiorentina
Martín Cáceres,uy URU,DF,32,30,28,2480.0,27.6,2.0,0.0,2.0,2.0,0.0,0.0,11.0,1.0,2.0,2.0,0.7,2.7,24.0,117.0,10.0,0.07,0.0,0.07,0.07,0.07,0.08,0.03,0.1,0.08,0.1,Matches,2019-2020,Fiorentina
