Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Luca Ranieri,it ITA,DF,26-033,46,43,3873.0,43.0,3.0,4.0,7.0,3.0,0.0,0.0,9.0,0.0,1.5,1.5,2.2,3.8,37.0,107.0,13.0,0.07,0.09,0.16,0.07,0.16,0.04,0.05,0.09,0.04,0.09,Matches,2024-2025,Fiorentina
Dodô,br BRA,DF,26-190,44,41,3750.0,41.7,0.0,6.0,6.0,0.0,0.0,0.0,11.0,0.0,1.5,1.5,5.7,7.3,176.0,149.0,230.0,0.0,0.14,0.14,0.0,0.14,0.04,0.14,0.18,0.04,0.18,Matches,2024-2025,Fiorentina
David de Gea,es ESP,GK,34-200,40,40,3630.0,40.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.0,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,Matches,2024-2025,Fiorentina
Moise Kean,it ITA,FW,25-087,42,37,3388.0,37.6,23.0,3.0,26.0,22.0,1.0,2.0,8.0,0.0,25.8,24.2,1.9,26.1,55.0,28.0,174.0,0.61,0.08,0.69,0.58,0.66,0.72,0.05,0.77,0.67,0.73,Matches,2024-2025,Fiorentina
Pietro Comuzzo,it ITA,DF,20-095,43,33,3041.0,33.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,0.7,1.8,15.0,84.0,12.0,0.03,0.0,0.03,0.03,0.03,0.03,0.02,0.06,0.03,0.06,Matches,2024-2025,Fiorentina
Robin Gosens,de GER,DF,30-325,41,34,3015.0,33.5,8.0,9.0,17.0,8.0,0.0,0.0,7.0,0.0,3.4,3.4,3.8,7.2,42.0,114.0,119.0,0.24,0.27,0.51,0.24,0.51,0.1,0.12,0.22,0.1,0.22,Matches,2024-2025,Fiorentina
Rolando Mandragora,it ITA,MF,27-331,40,33,2892.0,32.1,9.0,5.0,14.0,7.0,2.0,2.0,9.0,0.0,6.2,4.6,6.2,10.8,17.0,139.0,55.0,0.28,0.16,0.44,0.22,0.37,0.19,0.2,0.39,0.15,0.34,Matches,2024-2025,Fiorentina
Lucas Beltrán,ar ARG,"FW,MF",24-058,46,28,2606.0,29.0,6.0,4.0,10.0,4.0,2.0,3.0,6.0,0.0,6.5,4.1,4.1,8.2,33.0,81.0,127.0,0.21,0.14,0.35,0.14,0.28,0.23,0.15,0.38,0.15,0.29,Matches,2024-2025,Fiorentina
Danilo Cataldi,it ITA,MF,30-293,33,28,2156.0,24.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.2,1.2,1.0,2.3,20.0,104.0,23.0,0.13,0.0,0.13,0.13,0.13,0.06,0.05,0.1,0.06,0.1,Matches,2024-2025,Fiorentina
