Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Maximilian Eggestein,de GER,MF,28-169,36,36,3104.0,34.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.5,34.0,141.0,41.0,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11,Matches,2024-2025,Freiburg
Ritsu Doan,jp JPN,"FW,MF",26-344,36,35,3021.0,33.6,10.0,8.0,18.0,10.0,0.0,0.0,2.0,0.0,6.6,6.6,3.7,10.3,64.0,130.0,178.0,0.3,0.24,0.54,0.3,0.54,0.21,0.12,0.32,0.21,0.32,Matches,2024-2025,Freiburg
Philipp Lienhart,at AUT,DF,28-319,35,33,2966.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.8,1.2,44.0,138.0,9.0,0.03,0.0,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Freiburg
Matthias Ginter,de GER,DF,31-127,34,30,2741.0,30.5,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.8,2.8,0.7,3.5,11.0,113.0,16.0,0.1,0.03,0.13,0.1,0.13,0.1,0.02,0.12,0.1,0.12,Matches,2024-2025,Freiburg
Vincenzo Grifo,it ITA,"FW,MF",32-049,37,33,2650.0,29.4,10.0,12.0,22.0,9.0,1.0,4.0,2.0,0.0,7.9,5.6,6.9,12.5,58.0,128.0,147.0,0.34,0.41,0.75,0.31,0.71,0.29,0.26,0.55,0.21,0.46,Matches,2024-2025,Freiburg
Christian Günter,de GER,DF,32-087,32,30,2568.0,28.5,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.8,0.6,2.5,3.2,19.0,52.0,109.0,0.07,0.07,0.14,0.07,0.14,0.03,0.1,0.13,0.02,0.12,Matches,2024-2025,Freiburg
Patrick Osterhage,de GER,MF,25-114,33,30,2514.0,27.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.7,1.7,1.4,3.1,26.0,73.0,50.0,0.04,0.04,0.07,0.04,0.07,0.07,0.06,0.12,0.07,0.12,Matches,2024-2025,Freiburg
Noah Atubolu,de GER,GK,23-001,27,26,2352.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Freiburg
Lucas Höler,de GER,"FW,MF",30-320,34,23,2041.0,22.7,7.0,4.0,11.0,7.0,0.0,1.0,3.0,0.0,7.7,6.9,2.9,9.8,21.0,47.0,122.0,0.31,0.18,0.49,0.31,0.49,0.37,0.14,0.51,0.33,0.47,Matches,2024-2025,Freiburg
Lukas Kübler,de GER,DF,32-269,30,23,1940.0,21.6,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,2.7,2.7,0.8,3.5,24.0,78.0,49.0,0.23,0.05,0.28,0.23,0.28,0.13,0.04,0.17,0.13,0.17,Matches,2024-2025,Freiburg
Junior Adamu,at AUT,FW,23-354,27,20,1658.0,18.4,4.0,2.0,6.0,4.0,0.0,0.0,5.0,1.0,5.5,5.5,2.4,7.9,8.0,14.0,84.0,0.22,0.11,0.33,0.22,0.33,0.32,0.14,0.46,0.32,0.46,Matches,2024-2025,Freiburg
Max Rosenfelder,de GER,DF,22-105,28,15,1442.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.7,1.0,24.0,29.0,18.0,0.06,0.0,0.06,0.06,0.06,0.03,0.05,0.08,0.03,0.08,Matches,2024-2025,Freiburg
Eren Dinkçi,de GER,"MF,FW",23-164,24,14,1286.0,14.3,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,2.2,3.3,33.0,35.0,71.0,0.0,0.21,0.21,0.0,0.21,0.09,0.16,0.25,0.09,0.25,Matches,2024-2025,Freiburg
Florian Müller,de GER,GK,27-194,12,11,978.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Freiburg
Merlin Röhl,de GER,"MF,FW",22-325,20,11,973.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.7,2.5,20.0,22.0,60.0,0.0,0.09,0.09,0.0,0.09,0.07,0.16,0.23,0.07,0.23,Matches,2024-2025,Freiburg
Kiliann Sildillia,fr FRA,DF,23-010,22,9,875.0,9.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.5,0.5,0.7,1.1,11.0,29.0,34.0,0.21,0.0,0.21,0.21,0.21,0.05,0.07,0.13,0.05,0.13,Matches,2024-2025,Freiburg
Nicolas Höfler,de GER,MF,35-078,22,7,828.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,1.0,30.0,3.0,0.0,0.11,0.11,0.0,0.11,0.03,0.01,0.04,0.03,0.04,Matches,2024-2025,Freiburg
