Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Aleksandar Mitrović,rs SRB,FW,23,39,38,3377,37.5,11,3,14,10,1,2,7,0,14.1,13.3,3.2,16.5,28.0,62.0,244.0,0.29,0.08,0.37,0.27,0.35,0.39,0.09,0.47,0.36,0.45,Matches,2018-2019,Fulham
Sergio Rico,es ESP,GK,24,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Fulham
Denis Odoi,gh GHA,DF,30,34,31,2803,31.1,1,1,2,1,0,0,5,0,0.6,0.6,0.7,1.3,36.0,101.0,16.0,0.03,0.03,0.06,0.03,0.06,0.02,0.02,0.04,0.02,0.04,Matches,2018-2019,Fulham
Calum Chambers,eng ENG,"MF,DF",23,33,31,2768,30.8,2,0,2,2,0,0,9,0,2.3,2.3,0.9,3.2,20.0,158.0,28.0,0.07,0.0,0.07,0.07,0.07,0.08,0.03,0.11,0.08,0.11,Matches,2018-2019,Fulham
Ryan Sessegnon,eng ENG,"FW,DF",18,38,28,2498,27.8,2,6,8,2,0,0,1,0,4.0,4.0,3.8,7.8,57.0,57.0,193.0,0.07,0.22,0.29,0.07,0.29,0.16,0.15,0.31,0.16,0.31,Matches,2018-2019,Fulham
Maxime Le Marchand,fr FRA,DF,28,29,27,2452,27.2,0,1,1,0,0,0,5,0,0.3,0.3,0.7,1.0,16.0,77.0,15.0,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,Matches,2018-2019,Fulham
Joe Bryan,eng ENG,"DF,MF",24,29,28,2435,27.1,1,1,2,1,0,0,5,0,0.7,0.7,3.5,4.2,73.0,118.0,95.0,0.04,0.04,0.07,0.04,0.07,0.03,0.14,0.16,0.03,0.16,Matches,2018-2019,Fulham
Jean Seri,ci CIV,MF,27,34,29,2424,26.9,1,2,3,1,0,0,6,0,0.9,0.9,4.8,5.6,26.0,164.0,40.0,0.04,0.07,0.11,0.04,0.11,0.04,0.19,0.23,0.04,0.23,Matches,2018-2019,Fulham
Tom Cairney,sct SCO,"MF,FW",27,33,26,2367,26.3,1,1,2,1,0,0,0,0,1.1,1.1,2.6,3.7,60.0,169.0,106.0,0.04,0.04,0.08,0.04,0.08,0.05,0.11,0.15,0.05,0.15,Matches,2018-2019,Fulham
Tim Ream,us USA,DF,30,29,28,2266,25.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,13.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2018-2019,Fulham
Cyrus Christie,ie IRL,"DF,MF",25,31,21,2129,23.7,1,1,2,1,0,0,7,0,0.4,0.4,1.2,1.7,70.0,81.0,138.0,0.04,0.04,0.08,0.04,0.08,0.02,0.06,0.08,0.02,0.08,Matches,2018-2019,Fulham
Andre-Frank Zambo Anguissa,cm CMR,MF,22,25,19,1787,19.9,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,34.0,112.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019,Fulham
André Schürrle,de GER,"FW,MF",27,25,22,1721,19.1,6,0,6,6,0,0,2,0,3.6,3.6,1.9,5.6,46.0,57.0,136.0,0.31,0.0,0.31,0.31,0.31,0.2,0.11,0.31,0.2,0.31,Matches,2018-2019,Fulham
Ryan Babel,nl NED,"FW,MF",31,16,15,1251,13.9,5,3,8,5,0,0,3,0,5.7,5.7,2.2,7.9,42.0,40.0,109.0,0.36,0.22,0.58,0.36,0.58,0.41,0.16,0.57,0.41,0.57,Matches,2018-2019,Fulham
Alfie Mawson,eng ENG,DF,24,16,14,1205,13.4,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2018-2019,Fulham
