Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Tim Ream,us USA,DF,33,47,47,4160.0,46.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,1.6,3.0,53.0,305.0,6.0,0.02,0.04,0.06,0.02,0.06,0.03,0.04,0.07,0.03,0.07,Matches,2021-2022,Fulham
Aleksandar Mitrović,rs SRB,FW,26,46,45,3951.0,43.9,43.0,7.0,50.0,37.0,6.0,7.0,10.0,0.0,35.6,30.1,6.5,36.5,34.0,105.0,236.0,0.98,0.16,1.14,0.84,1.0,0.84,0.15,0.99,0.71,0.86,Matches,2021-2022,Fulham
Tosin Adarabioyo,eng ENG,DF,23,44,43,3932.0,43.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,2.3,2.3,1.2,3.5,25.0,152.0,1.0,0.05,0.05,0.09,0.05,0.09,0.06,0.03,0.08,0.06,0.08,Matches,2021-2022,Fulham
Harry Wilson,wls WAL,FW,24,43,41,3581.0,39.8,11.0,20.0,31.0,11.0,0.0,0.0,6.0,1.0,12.8,12.8,14.1,26.9,92.0,162.0,358.0,0.28,0.5,0.78,0.28,0.78,0.33,0.36,0.7,0.33,0.7,Matches,2021-2022,Fulham
Marek Rodák,sk SVK,GK,24,35,35,3180.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Fulham
Antonee Robinson,us USA,DF,23,37,33,3034.0,33.7,3.0,4.0,7.0,3.0,0.0,0.0,6.0,0.0,0.6,0.6,4.4,4.9,155.0,239.0,214.0,0.09,0.12,0.21,0.09,0.21,0.02,0.13,0.15,0.02,0.15,Matches,2021-2022,Fulham
Neeskens Kebano,cd COD,FW,29,44,34,3025.0,33.6,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,10.1,10.1,4.8,14.8,130.0,84.0,375.0,0.27,0.18,0.45,0.27,0.45,0.33,0.16,0.49,0.33,0.49,Matches,2021-2022,Fulham
Fabio Carvalho,pt POR,MF,18,38,35,3003.0,33.4,11.0,7.0,18.0,11.0,0.0,0.0,6.0,0.0,8.6,8.6,9.5,18.2,97.0,127.0,230.0,0.33,0.21,0.54,0.33,0.54,0.27,0.3,0.58,0.27,0.58,Matches,2021-2022,Fulham
Harrison Reed,eng ENG,MF,26,42,34,2893.0,32.1,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.9,1.9,3.3,5.2,32.0,145.0,85.0,0.0,0.06,0.06,0.0,0.06,0.06,0.11,0.17,0.06,0.17,Matches,2021-2022,Fulham
