Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Domenico Criscito,it ITA,DF,31,36,36,3160.0,35.1,2.0,4.0,6.0,1.0,1.0,1.0,12.0,1.0,1.8,1.1,4.8,5.9,72.0,181.0,67.0,0.06,0.11,0.17,0.03,0.14,0.05,0.14,0.2,0.03,0.17,Matches,2018-2019,Genoa
Christian Kouamé,ci CIV,FW,20,39,34,3156.0,35.1,4.0,5.0,9.0,4.0,0.0,0.0,4.0,0.0,8.0,8.0,5.3,13.2,74.0,67.0,271.0,0.11,0.14,0.26,0.11,0.26,0.23,0.16,0.39,0.23,0.39,Matches,2018-2019,Genoa
Davide Biraschi,it ITA,DF,24,36,34,3051.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,1.0,1.3,54.0,125.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2018-2019,Genoa
Ionuț Radu,ro ROU,GK,21,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Genoa
Darko Lazović,rs SRB,"DF,FW",27,34,31,2632.0,29.2,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,3.9,6.0,120.0,104.0,169.0,0.1,0.14,0.24,0.1,0.24,0.08,0.14,0.21,0.08,0.21,Matches,2018-2019,Genoa
Daniel Bessa,it ITA,MF,25,36,25,2521.0,28.0,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,3.6,3.6,2.7,6.3,81.0,122.0,142.0,0.04,0.11,0.14,0.04,0.14,0.13,0.1,0.23,0.13,0.23,Matches,2018-2019,Genoa
Cristian Romero,ar ARG,DF,20,27,27,2336.0,26.0,2.0,2.0,4.0,2.0,0.0,0.0,12.0,2.0,1.9,1.9,0.5,2.4,7.0,38.0,6.0,0.08,0.08,0.15,0.08,0.15,0.07,0.02,0.09,0.07,0.09,Matches,2018-2019,Genoa
Ervin Zukanović,ba BIH,DF,31,27,24,2170.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,1.5,0.4,1.9,11.0,58.0,13.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,2018-2019,Genoa
Krzysztof Piątek,pl POL,FW,23,21,20,1771.0,19.7,19.0,0.0,19.0,15.0,4.0,4.0,5.0,0.0,9.1,7.6,1.4,9.0,28.0,30.0,107.0,0.97,0.0,0.97,0.76,0.76,0.52,0.08,0.6,0.43,0.51,Matches,2018-2019,Genoa
Rômulo,it ITA,"MF,FW",31,19,19,1561.0,17.3,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.7,0.9,2.0,2.9,52.0,43.0,50.0,0.06,0.12,0.17,0.0,0.12,0.11,0.13,0.24,0.06,0.19,Matches,2018-2019,Genoa
Pedro Pereira,pt POR,"DF,FW",20,27,16,1442.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.3,1.4,44.0,53.0,86.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.09,0.01,0.09,Matches,2018-2019,Genoa
Miguel Veloso,pt POR,MF,32,22,14,1296.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,2.1,3.2,17.0,71.0,21.0,0.0,0.07,0.07,0.0,0.07,0.08,0.15,0.23,0.08,0.23,Matches,2018-2019,Genoa
Oscar Hiljemark,se SWE,MF,26,18,16,1286.0,14.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.6,15.0,49.0,41.0,0.07,0.0,0.07,0.07,0.07,0.07,0.05,0.12,0.07,0.12,Matches,2018-2019,Genoa
Ivan Radovanović,rs SRB,MF,29,16,15,1278.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,0.8,11.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2018-2019,Genoa
Goran Pandev,mk MKD,"FW,MF",35,28,13,1256.0,14.0,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,3.2,3.2,1.6,4.8,34.0,51.0,97.0,0.29,0.14,0.43,0.29,0.43,0.26,0.13,0.39,0.26,0.39,Matches,2018-2019,Genoa
Esteban Rolón,ar ARG,MF,23,20,11,1150.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.8,0.8,0.4,1.2,13.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,2018-2019,Genoa
Lukas Lerager,dk DEN,MF,25,14,13,1122.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.1,2.4,11.0,44.0,26.0,0.08,0.0,0.08,0.08,0.08,0.11,0.09,0.19,0.11,0.19,Matches,2018-2019,Genoa
