Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Mattia Perin,it ITA,GK,27,32,32,2879.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Genoa
Andrea Masiello,it ITA,DF,34,32,31,2665.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.4,0.9,9.0,99.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021,Genoa
Milan Badelj,hr CRO,MF,31,31,29,2453.0,27.3,1.0,5.0,6.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,2.7,3.5,23.0,171.0,25.0,0.04,0.18,0.22,0.04,0.22,0.03,0.1,0.13,0.03,0.13,Matches,2020-2021,Genoa
Ivan Radovanović,rs SRB,"DF,MF",31,35,25,2338.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,0.7,4.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021,Genoa
Edoardo Goldaniga,it ITA,DF,26,27,21,2067.0,23.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.5,0.5,0.8,1.3,21.0,68.0,41.0,0.0,0.09,0.09,0.0,0.09,0.02,0.04,0.06,0.02,0.06,Matches,2020-2021,Genoa
Davide Zappacosta,it ITA,DF,28,25,23,2045.0,22.7,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,1.4,3.9,88.0,38.0,166.0,0.18,0.09,0.26,0.18,0.26,0.11,0.06,0.17,0.11,0.17,Matches,2020-2021,Genoa
Miha Zajc,si SVN,MF,26,33,24,1970.0,21.9,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,2.1,3.9,42.0,96.0,42.0,0.05,0.14,0.18,0.05,0.18,0.08,0.1,0.19,0.08,0.19,Matches,2020-2021,Genoa
Domenico Criscito,it ITA,DF,33,24,21,1816.0,20.2,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.9,0.1,0.4,0.6,39.0,83.0,18.0,0.05,0.0,0.05,0.0,0.0,0.05,0.02,0.07,0.01,0.03,Matches,2020-2021,Genoa
Eldor Shomurodov,uz UZB,FW,25,32,17,1761.0,19.6,8.0,2.0,10.0,8.0,0.0,0.0,1.0,0.0,5.8,5.8,1.9,7.7,33.0,32.0,133.0,0.41,0.1,0.51,0.41,0.51,0.31,0.1,0.41,0.31,0.41,Matches,2020-2021,Genoa
