Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Djené,tg TOG,DF,25,36,36,3239.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.7,0.7,0.2,0.9,17.0,60.0,15.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018,Getafe
Vicente Guaita,es ESP,GK,30,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2017-2018,Getafe
Amath,sn SEN,"MF,FW",21,39,37,2965.0,32.9,3.0,3.0,6.0,3.0,0.0,0.0,9.0,0.0,4.4,4.4,2.7,7.2,66.0,66.0,158.0,0.09,0.09,0.18,0.09,0.18,0.14,0.09,0.23,0.14,0.23,Matches,2017-2018,Getafe
Vitorino Antunes,pt POR,DF,30,35,32,2889.0,32.1,0.0,2.0,2.0,0.0,0.0,1.0,14.0,0.0,1.7,0.9,3.4,4.3,45.0,116.0,65.0,0.0,0.06,0.06,0.0,0.06,0.05,0.11,0.16,0.03,0.14,Matches,2017-2018,Getafe
Damián Suárez,uy URU,DF,29,33,33,2877.0,32.0,1.0,4.0,5.0,1.0,0.0,0.0,14.0,1.0,0.6,0.6,3.2,3.8,38.0,152.0,60.0,0.03,0.13,0.16,0.03,0.16,0.02,0.1,0.12,0.02,0.12,Matches,2017-2018,Getafe
Jorge Molina,es ESP,FW,35,36,31,2786.0,31.0,7.0,4.0,11.0,4.0,3.0,6.0,10.0,0.0,14.7,9.9,3.1,13.1,35.0,72.0,234.0,0.23,0.13,0.36,0.13,0.26,0.47,0.1,0.57,0.32,0.42,Matches,2017-2018,Getafe
Francisco Portillo,es ESP,"MF,FW",27,35,30,2592.0,28.8,2.0,3.0,5.0,1.0,1.0,2.0,7.0,0.0,3.1,1.5,3.5,5.0,23.0,158.0,115.0,0.07,0.1,0.17,0.03,0.14,0.11,0.13,0.24,0.05,0.18,Matches,2017-2018,Getafe
Fayçal Fajr,ma MAR,"MF,FW",28,33,28,2565.0,28.5,1.0,4.0,5.0,1.0,0.0,1.0,8.0,0.0,1.5,0.7,2.9,3.6,24.0,89.0,47.0,0.04,0.14,0.18,0.04,0.18,0.06,0.11,0.17,0.03,0.14,Matches,2017-2018,Getafe
Ángel Rodríguez,es ESP,FW,30,34,26,2325.0,25.8,13.0,2.0,15.0,13.0,0.0,1.0,6.0,0.0,11.0,10.3,3.7,14.0,39.0,33.0,150.0,0.5,0.08,0.58,0.5,0.58,0.43,0.15,0.58,0.4,0.55,Matches,2017-2018,Getafe
Mauro Arambarri,uy URU,MF,21,29,28,2272.0,25.2,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,1.6,1.6,1.9,3.6,12.0,76.0,15.0,0.04,0.04,0.08,0.04,0.08,0.07,0.08,0.15,0.07,0.15,Matches,2017-2018,Getafe
Cala,es ESP,DF,27,22,22,1935.0,21.5,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,1.6,1.6,0.7,2.3,2.0,42.0,6.0,0.09,0.09,0.19,0.09,0.19,0.08,0.04,0.12,0.08,0.12,Matches,2017-2018,Getafe
