Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Damián Suárez,uy URU,DF,30,42,41,3710.0,41.2,0.0,3.0,3.0,0.0,0.0,0.0,14.0,0.0,0.5,0.5,4.9,5.4,45.0,153.0,74.0,0.0,0.07,0.07,0.0,0.07,0.01,0.14,0.15,0.01,0.15,Matches,2018-2019,Getafe
Nemanja Maksimović,rs SRB,MF,23,40,39,3524.0,39.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.6,2.6,0.5,3.1,22.0,83.0,28.0,0.03,0.03,0.05,0.03,0.05,0.07,0.01,0.09,0.07,0.09,Matches,2018-2019,Getafe
David Soria,es ESP,GK,25,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Getafe
Djené,tg TOG,DF,26,38,37,3251.0,36.1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.7,0.7,0.2,0.9,17.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2018-2019,Getafe
Leandro Cabrera,uy URU,DF,27,36,35,3127.0,34.7,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,2.3,2.3,0.8,3.1,19.0,96.0,13.0,0.06,0.03,0.09,0.06,0.09,0.07,0.03,0.1,0.07,0.1,Matches,2018-2019,Getafe
Mauro Arambarri,uy URU,MF,22,36,34,2890.0,32.1,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,1.3,1.3,1.5,2.8,16.0,96.0,24.0,0.03,0.06,0.09,0.03,0.09,0.05,0.05,0.1,0.05,0.1,Matches,2018-2019,Getafe
Jorge Molina,es ESP,FW,36,41,29,2782.0,30.9,16.0,5.0,21.0,14.0,2.0,2.0,3.0,0.0,11.5,9.9,6.6,16.5,35.0,84.0,193.0,0.52,0.16,0.68,0.45,0.61,0.39,0.23,0.61,0.34,0.56,Matches,2018-2019,Getafe
Jaime Mata,es ESP,"FW,MF",29,38,30,2711.0,30.1,16.0,6.0,22.0,11.0,5.0,5.0,12.0,0.0,12.4,9.3,2.5,11.8,36.0,47.0,214.0,0.53,0.2,0.73,0.37,0.56,0.46,0.09,0.55,0.34,0.44,Matches,2018-2019,Getafe
Vitorino Antunes,pt POR,"DF,MF",31,31,27,2355.0,26.2,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,3.1,4.1,45.0,99.0,54.0,0.04,0.15,0.19,0.04,0.19,0.04,0.13,0.17,0.04,0.17,Matches,2018-2019,Getafe
Francisco Portillo,es ESP,MF,28,37,23,2344.0,26.0,2.0,5.0,7.0,2.0,0.0,0.0,4.0,1.0,1.9,1.9,2.5,4.4,34.0,134.0,97.0,0.08,0.19,0.27,0.08,0.27,0.08,0.11,0.2,0.08,0.2,Matches,2018-2019,Getafe
Bruno González,es ESP,DF,28,29,23,2164.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.7,0.7,0.3,1.0,4.0,29.0,1.0,0.0,0.04,0.04,0.0,0.04,0.04,0.01,0.05,0.04,0.05,Matches,2018-2019,Getafe
Ángel Rodríguez,es ESP,FW,31,42,23,2095.0,23.3,13.0,4.0,17.0,11.0,2.0,2.0,4.0,0.0,8.1,8.1,3.8,12.0,42.0,37.0,140.0,0.56,0.17,0.73,0.47,0.64,0.4,0.19,0.59,0.4,0.59,Matches,2018-2019,Getafe
Dimitri Foulquier,fr FRA,"MF,DF",25,29,26,2082.0,23.1,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,1.1,1.1,1.7,2.8,30.0,39.0,55.0,0.13,0.09,0.22,0.13,0.22,0.05,0.09,0.14,0.05,0.14,Matches,2018-2019,Getafe
Mathías Olivera,uy URU,"DF,MF",20,14,12,1007.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.9,1.3,27.0,36.0,41.0,0.0,0.09,0.09,0.0,0.09,0.04,0.08,0.12,0.04,0.12,Matches,2018-2019,Getafe
Amath,sn SEN,MF,22,15,13,1002.0,11.1,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,1.5,2.7,30.0,30.0,72.0,0.09,0.18,0.27,0.09,0.27,0.11,0.14,0.25,0.11,0.25,Matches,2018-2019,Getafe
Sebastián Cristóforo,uy URU,MF,24,20,8,794.0,8.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,4.0,25.0,11.0,0.0,0.23,0.23,0.0,0.23,0.01,0.09,0.1,0.01,0.1,Matches,2018-2019,Getafe
Mathieu Flamini,fr FRA,MF,34,13,7,644.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2018-2019,Getafe
Leandro Chichizola,ar ARG,GK,28,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Getafe
Ignasi Miquel,es ESP,DF,25,10,7,586.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Getafe
Hugo Duro,es ESP,"MF,FW",18,14,6,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,3.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,Matches,2018-2019,Getafe
Gaku Shibasaki,jp JPN,"MF,FW",26,9,6,501.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,7.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2018-2019,Getafe
Samuel Sáiz,es ESP,MF,27,12,4,476.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.4,13.0,13.0,25.0,0.19,0.0,0.19,0.19,0.19,0.09,0.04,0.13,0.09,0.13,Matches,2018-2019,Getafe
Robert Ibáñez,es ESP,MF,25,11,3,336.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,0.0,9.0,0.27,0.0,0.27,0.27,0.27,0.2,0.0,0.2,0.2,0.2,Matches,2018-2019,Getafe
Iván Alejo,es ESP,MF,23,7,5,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6,0.6,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.35,0.36,0.02,0.36,Matches,2018-2019,Getafe
Sergi Guardiola,es ESP,"MF,FW",27,5,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,2018-2019,Getafe
Markel Bergara,es ESP,MF,32,3,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Getafe
Miguel Ángel Rubio,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Getafe
Rubén Yáñez,es ESP,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Getafe
