Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Bernardo Espinosa,co COL,DF,29,37,35,3146.0,35.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,2.0,2.1,2.1,1.2,3.3,0.0,49.0,6.0,0.03,0.06,0.09,0.03,0.09,0.07,0.04,0.11,0.07,0.11,Matches,2018-2019,Girona
Juanpe,es ESP,DF,27,36,33,2992.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.7,1.7,0.2,1.9,18.0,91.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019,Girona
Portu,es ESP,"FW,MF",26,37,34,2948.0,32.8,10.0,2.0,12.0,9.0,1.0,1.0,3.0,0.0,7.9,7.1,4.2,11.4,98.0,85.0,269.0,0.31,0.06,0.37,0.27,0.34,0.25,0.14,0.39,0.23,0.36,Matches,2018-2019,Girona
Pere Pons,es ESP,MF,25,36,33,2873.0,31.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,2.0,3.6,46.0,117.0,57.0,0.03,0.06,0.09,0.03,0.09,0.05,0.06,0.12,0.05,0.12,Matches,2018-2019,Girona
Cristhian Stuani,uy URU,FW,31,34,32,2868.0,31.9,20.0,0.0,20.0,15.0,5.0,5.0,10.0,0.0,14.1,10.4,1.0,11.4,12.0,30.0,129.0,0.63,0.0,0.63,0.47,0.47,0.47,0.03,0.5,0.34,0.38,Matches,2018-2019,Girona
Yassine Bounou,ma MAR,GK,27,32,32,2861.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Girona
Borja García,es ESP,"MF,FW",27,37,31,2749.0,30.5,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,4.8,6.8,59.0,148.0,169.0,0.03,0.13,0.16,0.03,0.16,0.07,0.16,0.23,0.07,0.23,Matches,2018-2019,Girona
Álex Granell,es ESP,"MF,DF",29,37,30,2744.0,30.5,2.0,4.0,6.0,1.0,1.0,1.0,5.0,0.0,1.2,1.2,6.0,7.2,46.0,182.0,80.0,0.07,0.13,0.2,0.03,0.16,0.05,0.22,0.27,0.05,0.27,Matches,2018-2019,Girona
Pedro Porro,es ESP,DF,18,34,27,2391.0,26.6,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,1.6,1.6,2.9,4.5,82.0,109.0,145.0,0.04,0.15,0.19,0.04,0.19,0.07,0.12,0.18,0.07,0.18,Matches,2018-2019,Girona
Pedro Alcalá,es ESP,DF,29,29,24,2183.0,24.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,1.0,1.0,0.6,1.6,13.0,47.0,3.0,0.08,0.04,0.12,0.08,0.12,0.05,0.03,0.08,0.05,0.08,Matches,2018-2019,Girona
Jonás Ramalho,es ESP,DF,25,27,23,2069.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.1,0.9,30.0,50.0,36.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches,2018-2019,Girona
Douglas Luiz,br BRA,MF,20,29,21,1961.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.6,1.6,0.5,2.1,29.0,90.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches,2018-2019,Girona
Aleix García,es ESP,MF,21,34,23,1933.0,21.5,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,2.1,3.6,28.0,132.0,65.0,0.09,0.19,0.28,0.09,0.28,0.08,0.12,0.2,0.08,0.2,Matches,2018-2019,Girona
Marc Muniesa,es ESP,"DF,MF",26,24,20,1811.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.5,0.9,11.0,62.0,25.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019,Girona
Valery Fernández,es ESP,"DF,FW",18,22,14,1280.0,14.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,29.0,17.0,46.0,0.07,0.07,0.14,0.07,0.14,0.01,0.08,0.09,0.01,0.09,Matches,2018-2019,Girona
Anthony Lozano,hn HON,"FW,MF",25,26,13,1181.0,13.1,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,2.3,2.3,0.4,2.7,21.0,11.0,50.0,0.15,0.0,0.15,0.15,0.15,0.29,0.05,0.33,0.29,0.33,Matches,2018-2019,Girona
Gorka Iraizoz,es ESP,GK,37,13,12,1099.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Girona
Raúl García,es ESP,DF,29,12,12,1030.0,11.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.8,27.0,28.0,41.0,0.0,0.17,0.17,0.0,0.17,0.04,0.04,0.08,0.04,0.08,Matches,2018-2019,Girona
Seydou Doumbia,ci CIV,FW,30,22,9,872.0,9.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,0.0,2.7,9.0,5.0,27.0,0.31,0.0,0.31,0.31,0.31,0.45,0.0,0.45,0.45,0.45,Matches,2018-2019,Girona
