Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Cristhian Stuani,uy URU,FW,32,36,36,3191.0,35.5,29.0,2.0,31.0,18.0,11.0,12.0,8.0,1.0,0.82,0.06,0.87,0.51,0.56,Matches,2019-2020,Girona
Álex Granell,es ESP,MF,30,39,37,3166.0,35.2,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,0.06,0.03,0.09,0.06,0.09,Matches,2019-2020,Girona
Juanpe,es ESP,DF,28,33,32,2880.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches,2019-2020,Girona
Borja García,es ESP,"MF,FW",28,37,32,2802.0,31.1,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches,2019-2020,Girona
Gerard Gumbau,es ESP,MF,24,39,32,2760.0,30.7,1.0,1.0,2.0,1.0,0.0,0.0,14.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,2019-2020,Girona
Pablo Maffeo,es ESP,DF,22,32,30,2563.0,28.5,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2019-2020,Girona
Johan Mojica,co COL,DF,26,33,29,2561.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Pedro Alcalá,es ESP,DF,30,29,27,2447.0,27.2,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2019-2020,Girona
Aday,es ESP,"MF,DF",31,30,24,2100.0,23.3,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.09,0.09,0.17,0.09,0.17,Matches,2019-2020,Girona
Juan Carlos,es ESP,GK,31,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Asier Riesgo,es ESP,GK,35,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Jairo Izquierdo,es ESP,"MF,FW",25,34,20,1859.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2019-2020,Girona
Samuel Sáiz,es ESP,MF,28,30,18,1646.0,18.3,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,2019-2020,Girona
Ignasi Miquel,es ESP,DF,26,18,18,1531.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Álex Gallar,es ESP,"MF,FW",27,33,17,1513.0,16.8,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,2019-2020,Girona
Jonás Ramalho,es ESP,DF,26,18,13,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Marc Gual,es ESP,"MF,FW",23,20,14,1255.0,13.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.29,0.14,0.43,0.29,0.43,Matches,2019-2020,Girona
Pape Maly Diamanka,sn SEN,MF,29,24,13,1093.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Brian Oliván,es ESP,DF,25,11,8,768.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Jordi Calavera,es ESP,"DF,MF",23,10,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Brandon,es ESP,"MF,FW",24,10,6,613.0,6.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches,2019-2020,Girona
Jozabed,es ESP,MF,28,13,6,579.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,2019-2020,Girona
Cristian Rivera,es ESP,MF,22,8,5,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Jonathan Soriano,es ESP,FW,33,16,1,329.0,3.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.27,0.27,0.55,0.27,0.55,Matches,2019-2020,Girona
Valery Fernández,es ESP,"MF,DF",19,8,3,324.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Joaquín Zeballos,uy URU,FW,22,4,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Sebas Coris,es ESP,"DF,FW",26,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Ibrahima Kebe,ml MLI,MF,18,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
Pau Victor Delgado,es ESP,FW,17,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Girona
