Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Matthias Ginter,de GER,DF,23,37,37,3330.0,37.0,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,3.8,3.8,1.0,4.8,32.0,138.0,16.0,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,Matches,2017-2018,Gladbach
Thorgan Hazard,be BEL,"MF,FW",24,37,36,3203.0,35.6,11.0,6.0,17.0,6.0,5.0,6.0,1.0,0.0,14.0,9.3,6.6,15.8,138.0,124.0,315.0,0.31,0.17,0.48,0.17,0.34,0.43,0.2,0.63,0.28,0.48,Matches,2017-2018,Gladbach
Nico Elvedi,ch SUI,DF,20,36,36,3180.0,35.3,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,1.8,3.4,58.0,139.0,108.0,0.06,0.06,0.11,0.06,0.11,0.05,0.06,0.11,0.05,0.11,Matches,2017-2018,Gladbach
Jannik Vestergaard,dk DEN,DF,24,34,34,3060.0,34.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,0.9,2.9,10.0,114.0,3.0,0.09,0.0,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,Matches,2017-2018,Gladbach
Lars Stindl,de GER,"FW,MF",28,34,34,2997.0,33.3,6.0,3.0,9.0,6.0,0.0,0.0,5.0,0.0,6.3,6.3,6.1,12.4,39.0,187.0,202.0,0.18,0.09,0.27,0.18,0.27,0.21,0.2,0.41,0.21,0.41,Matches,2017-2018,Gladbach
Yann Sommer,ch SUI,GK,28,33,33,2895.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Gladbach
Oscar Wendt,se SWE,DF,31,31,31,2727.0,30.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,2.0,3.6,26.0,91.0,96.0,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,Matches,2017-2018,Gladbach
Denis Zakaria,ch SUI,MF,20,33,32,2541.0,28.2,2.0,1.0,3.0,2.0,0.0,0.0,12.0,0.0,1.5,1.5,0.6,2.1,31.0,74.0,31.0,0.07,0.04,0.11,0.07,0.11,0.06,0.02,0.08,0.06,0.08,Matches,2017-2018,Gladbach
Raffael,br BRA,FW,32,29,25,2251.0,25.0,10.0,2.0,12.0,9.0,1.0,1.0,0.0,0.0,6.7,5.9,3.9,9.8,51.0,98.0,136.0,0.4,0.08,0.48,0.36,0.44,0.29,0.17,0.46,0.26,0.42,Matches,2017-2018,Gladbach
