Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Julian Weigl,de GER,MF,29-260,35,35,3061.0,34.0,0.0,2.0,2.0,0.0,0.0,1.0,9.0,0.0,0.7,0.7,1.1,1.9,11.0,122.0,9.0,0.0,0.06,0.06,0.0,0.06,0.02,0.03,0.06,0.02,0.06,Matches,2024-2025,Gladbach
Ko Itakura,jp JPN,DF,28-119,33,33,2970.0,33.0,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,1.6,1.6,0.8,2.5,23.0,69.0,5.0,0.12,0.0,0.12,0.12,0.12,0.05,0.03,0.08,0.05,0.08,Matches,2024-2025,Gladbach
Tim Kleindienst,de GER,FW,29-268,33,33,2917.0,32.4,16.0,8.0,24.0,15.0,1.0,2.0,5.0,1.0,13.6,11.9,6.2,18.0,45.0,63.0,145.0,0.49,0.25,0.74,0.46,0.71,0.45,0.2,0.65,0.39,0.59,Matches,2024-2025,Gladbach
Joe Scally,us USA,DF,22-146,34,32,2752.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.1,1.5,52.0,68.0,69.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,2024-2025,Gladbach
Robin Hack,de GER,"FW,MF",26-272,34,27,2194.0,24.4,4.0,7.0,11.0,4.0,0.0,0.0,4.0,0.0,5.4,5.4,3.6,9.0,51.0,95.0,141.0,0.16,0.29,0.45,0.16,0.45,0.22,0.15,0.38,0.22,0.38,Matches,2024-2025,Gladbach
Nico Elvedi,ch SUI,DF,28-238,25,25,2135.0,23.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.4,2.5,20.0,55.0,5.0,0.04,0.04,0.08,0.04,0.08,0.09,0.02,0.1,0.09,0.1,Matches,2024-2025,Gladbach
Alassane Pléa,fr FRA,"MF,FW",32-077,32,25,1986.0,22.1,12.0,5.0,17.0,11.0,1.0,1.0,3.0,0.0,7.4,6.6,3.1,9.8,51.0,116.0,141.0,0.54,0.23,0.77,0.5,0.73,0.35,0.15,0.5,0.31,0.46,Matches,2024-2025,Gladbach
Lukas Ullrich,de GER,DF,21-071,27,25,1971.0,21.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.8,2.7,31.0,39.0,71.0,0.05,0.09,0.14,0.05,0.14,0.04,0.09,0.13,0.04,0.13,Matches,2024-2025,Gladbach
Rocco Reitz,de GER,MF,22-362,28,22,1901.0,21.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,2.1,3.8,18.0,91.0,30.0,0.09,0.09,0.19,0.09,0.19,0.08,0.1,0.19,0.08,0.19,Matches,2024-2025,Gladbach
