Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Patrick Mainka,de GER,DF,27,36,36,3232.0,35.9,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,0.11,0.03,0.14,0.11,0.14,Matches,2022-2023,Heidenheim
Jonas Föhrenbach,de GER,DF,26,35,35,3142.0,34.9,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2022-2023,Heidenheim
Kevin Müller,de GER,GK,31,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Tim Kleindienst,de GER,FW,26,34,34,2970.0,33.0,25.0,7.0,32.0,25.0,0.0,1.0,9.0,0.0,0.76,0.21,0.97,0.76,0.97,Matches,2022-2023,Heidenheim
Jan-Niklas Beste,de GER,MF,23,36,36,2910.0,32.3,12.0,13.0,25.0,9.0,3.0,3.0,4.0,0.0,0.37,0.4,0.77,0.28,0.68,Matches,2022-2023,Heidenheim
Marnon Busch,de GER,DF,27,32,32,2811.0,31.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.06,0.1,0.16,0.06,0.16,Matches,2022-2023,Heidenheim
Lennard Maloney,us USA,"MF,DF",22,34,32,2719.0,30.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2022-2023,Heidenheim
Tim Siersleben,de GER,DF,22,30,29,2453.0,27.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2022-2023,Heidenheim
Denis Thomalla,de GER,MF,29,32,29,2285.0,25.4,8.0,5.0,13.0,8.0,0.0,0.0,0.0,1.0,0.32,0.2,0.51,0.32,0.51,Matches,2022-2023,Heidenheim
Jan Schöppner,de GER,MF,23,28,26,2213.0,24.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,2022-2023,Heidenheim
Kevin Sessa,de GER,MF,22,34,15,1728.0,19.2,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches,2022-2023,Heidenheim
Adrian Beck,de GER,MF,25,20,15,1262.0,14.0,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.29,0.14,0.43,0.29,0.43,Matches,2022-2023,Heidenheim
Florian Pick,de GER,MF,26,24,17,1207.0,13.4,3.0,7.0,10.0,3.0,0.0,0.0,4.0,0.0,0.22,0.52,0.75,0.22,0.75,Matches,2022-2023,Heidenheim
Stefan Schimmer,de GER,FW,28,34,3,803.0,8.9,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.34,0.22,0.56,0.34,0.56,Matches,2022-2023,Heidenheim
Christian Kühlwetter,de GER,MF,26,26,6,678.0,7.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.27,0.13,0.27,Matches,2022-2023,Heidenheim
Norman Theuerkauf,de GER,"MF,DF",35,22,5,651.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Dženis Burnić,ba BIH,MF,24,21,4,561.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.16,0.16,0.0,0.16,Matches,2022-2023,Heidenheim
Andreas Geipl,de GER,MF,30,15,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Marvin-Lee Rittmüller,de GER,DF,23,15,1,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,2022-2023,Heidenheim
Vitus Eicher,de GER,GK,31,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Thomas Keller,de GER,"DF,MF",22,8,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Elidon Qenaj,de GER,FW,19,3,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Tim Köther,de GER,DF,21,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Melvin Ramusović,de GER,MF,21,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Heidenheim
Christopher Negele,de GER,FW,17,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Heidenheim
Paul Tschernuth,at AUT,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Heidenheim
Mert Arslan,de GER,DF,18,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Heidenheim
Merveille Biankadi,cd COD,"FW,MF",27,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Heidenheim
