Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Patrick Mainka,de GER,DF,28,36,36,3240.0,36.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.2,3.2,0.1,3.2,33.0,122.0,6.0,0.06,0.0,0.06,0.06,0.06,0.09,0.0,0.09,0.09,0.09,Matches,2023-2024,Heidenheim
Kevin Müller,de GER,GK,32,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Heidenheim
Tim Kleindienst,de GER,FW,27,35,35,2974.0,33.0,14.0,3.0,17.0,12.0,2.0,2.0,6.0,0.0,13.9,12.3,3.3,15.6,40.0,73.0,178.0,0.42,0.09,0.51,0.36,0.45,0.44,0.1,0.54,0.39,0.49,Matches,2023-2024,Heidenheim
Jonas Föhrenbach,de GER,DF,27,35,34,2923.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.8,1.3,44.0,96.0,69.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches,2023-2024,Heidenheim
Eren Dinkçi,de GER,"FW,MF",21,34,34,2710.0,30.1,11.0,6.0,17.0,11.0,0.0,0.0,8.0,0.0,4.3,4.3,3.7,8.0,85.0,89.0,143.0,0.37,0.2,0.56,0.37,0.56,0.15,0.13,0.27,0.15,0.27,Matches,2023-2024,Heidenheim
Jan-Niklas Beste,de GER,"FW,MF",24,32,32,2663.0,29.6,8.0,12.0,20.0,8.0,0.0,1.0,4.0,0.0,4.3,3.5,5.7,9.2,80.0,57.0,136.0,0.27,0.41,0.68,0.27,0.68,0.15,0.2,0.35,0.12,0.32,Matches,2023-2024,Heidenheim
Omar Traoré,de GER,DF,25,32,30,2562.0,28.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.3,1.6,61.0,78.0,91.0,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06,Matches,2023-2024,Heidenheim
Lennard Maloney,us USA,MF,23,31,29,2419.0,26.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,1.1,1.8,3.0,62.0,17.0,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.07,0.03,0.07,Matches,2023-2024,Heidenheim
Benedikt Gimber,de GER,DF,26,25,24,2066.0,23.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.4,1.4,1.1,2.5,3.0,25.0,6.0,0.04,0.04,0.09,0.04,0.09,0.06,0.05,0.11,0.06,0.11,Matches,2023-2024,Heidenheim
Jan Schöppner,de GER,MF,24,27,23,2043.0,22.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.5,2.6,16.0,72.0,32.0,0.09,0.09,0.18,0.09,0.18,0.05,0.07,0.12,0.05,0.12,Matches,2023-2024,Heidenheim
Marvin Pieringer,de GER,"MF,FW",23,33,20,1643.0,18.3,5.0,3.0,8.0,5.0,0.0,0.0,5.0,0.0,2.3,2.3,2.1,4.4,28.0,41.0,72.0,0.27,0.16,0.44,0.27,0.44,0.14,0.13,0.26,0.14,0.26,Matches,2023-2024,Heidenheim
Norman Theuerkauf,de GER,"MF,DF",36,26,14,1304.0,14.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.8,1.2,15.0,46.0,17.0,0.0,0.14,0.14,0.0,0.14,0.03,0.06,0.09,0.03,0.09,Matches,2023-2024,Heidenheim
Kevin Sessa,de GER,"MF,FW",23,32,8,1131.0,12.6,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.9,2.9,1.3,4.2,29.0,51.0,48.0,0.24,0.0,0.24,0.24,0.24,0.25,0.12,0.37,0.25,0.37,Matches,2023-2024,Heidenheim
Adrian Beck,de GER,"MF,FW",26,25,12,1071.0,11.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.7,1.7,0.8,2.5,17.0,29.0,43.0,0.25,0.08,0.34,0.25,0.34,0.16,0.07,0.23,0.16,0.23,Matches,2023-2024,Heidenheim
Tim Siersleben,de GER,DF,23,16,12,1045.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,12.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,2023-2024,Heidenheim
Nikola Dovedan,at AUT,"MF,FW",29,22,5,686.0,7.6,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.9,1.9,0.6,2.6,12.0,22.0,25.0,0.39,0.13,0.52,0.39,0.52,0.26,0.09,0.35,0.26,0.35,Matches,2023-2024,Heidenheim
Marnon Busch,de GER,DF,28,17,6,685.0,7.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,15.0,34.0,27.0,0.0,0.26,0.26,0.0,0.26,0.02,0.04,0.06,0.02,0.06,Matches,2023-2024,Heidenheim
Denis Thomalla,de GER,"MF,FW",30,23,4,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,3.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.13,0.06,0.13,Matches,2023-2024,Heidenheim
Florian Pick,de GER,"MF,FW",27,24,2,447.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.8,1.1,12.0,12.0,34.0,0.0,0.2,0.2,0.0,0.2,0.08,0.21,0.29,0.08,0.29,Matches,2023-2024,Heidenheim
Stefan Schimmer,de GER,"MF,FW",29,17,0,166.0,1.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.9,1.5,1.0,2.0,12.0,0.54,0.54,1.08,0.54,1.08,0.34,0.51,0.85,0.34,0.85,Matches,2023-2024,Heidenheim
Vitus Eicher,de GER,GK,32,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2023-2024,Heidenheim
Christian Kühlwetter,de GER,MF,27,2,0,53.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,0.0,0.0,0.0,1.7,1.7,0.0,1.7,0.0,6.85,6.85,0.0,6.85,Matches,2023-2024,Heidenheim
Thomas Keller,de GER,"MF,FW",23,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Heidenheim
Frank Feller,de GER,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Heidenheim
Seedy Jarju,gm GAM,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Heidenheim
Luka Janes,de GER,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023-2024,Heidenheim
