Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Patrick Mainka,de GER,DF,30-201,42,42,3793.0,42.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,0.4,2.9,29.0,131.0,16.0,0.05,0.02,0.07,0.05,0.07,0.06,0.01,0.07,0.06,0.07,Matches,2024-2025,Heidenheim
Kevin Müller,de GER,GK,34-072,39,39,3479.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Heidenheim
Omar Traoré,de GER,DF,27-111,40,34,3152.0,35.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,2.2,2.8,124.0,133.0,146.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,Matches,2024-2025,Heidenheim
Jan Schöppner,de GER,MF,25-348,41,33,2990.0,33.2,5.0,3.0,8.0,5.0,0.0,0.0,11.0,0.0,4.3,4.3,3.6,7.8,44.0,127.0,53.0,0.15,0.09,0.24,0.15,0.24,0.13,0.11,0.24,0.13,0.24,Matches,2024-2025,Heidenheim
Benedikt Gimber,de GER,DF,28-096,36,35,2939.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.9,0.9,0.3,1.3,7.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,2024-2025,Heidenheim
Marvin Pieringer,de GER,"FW,MF",25-234,37,28,2473.0,27.5,7.0,5.0,12.0,4.0,3.0,3.0,7.0,0.0,9.4,7.1,4.1,11.2,26.0,60.0,127.0,0.25,0.18,0.44,0.15,0.33,0.36,0.16,0.52,0.27,0.43,Matches,2024-2025,Heidenheim
Paul Wanner,de GER,"MF,FW",19-154,38,26,2312.0,25.7,5.0,2.0,7.0,4.0,1.0,2.0,4.0,0.0,5.9,4.2,1.5,5.6,33.0,91.0,89.0,0.19,0.08,0.27,0.16,0.23,0.24,0.06,0.3,0.17,0.23,Matches,2024-2025,Heidenheim
Adrian Beck,de GER,"MF,FW",27-351,41,24,2168.0,24.1,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,4.1,4.1,2.4,6.5,46.0,103.0,103.0,0.21,0.08,0.29,0.21,0.29,0.18,0.11,0.29,0.18,0.29,Matches,2024-2025,Heidenheim
Jonas Föhrenbach,de GER,DF,29-120,32,24,2064.0,22.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.7,42.0,63.0,63.0,0.0,0.04,0.04,0.0,0.04,0.01,0.06,0.08,0.01,0.08,Matches,2024-2025,Heidenheim
