Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Lorenzo Montipò,it ITA,GK,26,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Hellas Verona
Adrien Tameze,cm CMR,MF,28,38,36,3101.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.9,1.8,32.0,103.0,58.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,2022-2023,Hellas Verona
Isak Hien,se SWE,DF,23,32,28,2607.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.3,0.3,0.1,0.4,17.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2022-2023,Hellas Verona
Darko Lazović,rs SRB,"MF,DF",31,31,28,2332.0,25.9,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,3.6,3.6,6.4,10.0,72.0,81.0,167.0,0.15,0.19,0.35,0.15,0.35,0.14,0.26,0.4,0.14,0.4,Matches,2022-2023,Hellas Verona
Fabio Depaoli,it ITA,DF,25,31,24,2173.0,24.1,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.7,1.7,1.2,2.9,28.0,66.0,76.0,0.08,0.08,0.17,0.08,0.17,0.07,0.05,0.12,0.07,0.12,Matches,2022-2023,Hellas Verona
Paweł Dawidowicz,pl POL,DF,27,24,21,1722.0,19.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.1,1.1,0.8,1.9,20.0,60.0,17.0,0.05,0.05,0.1,0.05,0.1,0.06,0.04,0.11,0.06,0.11,Matches,2022-2023,Hellas Verona
Kevin Lasagna,it ITA,"FW,MF",29,27,18,1642.0,18.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,6.0,6.0,1.7,7.7,36.0,19.0,105.0,0.11,0.11,0.22,0.11,0.22,0.35,0.09,0.44,0.35,0.44,Matches,2022-2023,Hellas Verona
Davide Faraoni,it ITA,DF,30,24,20,1553.0,17.3,2.0,3.0,5.0,2.0,0.0,0.0,8.0,1.0,2.7,2.7,1.0,3.7,11.0,54.0,33.0,0.12,0.17,0.29,0.12,0.29,0.17,0.06,0.23,0.17,0.23,Matches,2022-2023,Hellas Verona
Giangiacomo Magnani,it ITA,DF,26,25,19,1553.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,0.2,0.7,5.0,32.0,5.0,0.0,0.06,0.06,0.0,0.06,0.03,0.01,0.04,0.03,0.04,Matches,2022-2023,Hellas Verona
