Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Oliver Baumann,de GER,GK,32,37,37,3360.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Hoffenheim
Christoph Baumgartner,at AUT,"MF,FW",22,36,36,2805.0,31.2,7.0,3.0,10.0,7.0,0.0,0.0,7.0,0.0,7.1,7.1,4.3,11.4,76.0,100.0,145.0,0.22,0.1,0.32,0.22,0.32,0.25,0.15,0.4,0.25,0.4,Matches,2022-2023,Hoffenheim
Angeliño,es ESP,DF,25,35,32,2797.0,31.1,1.0,9.0,10.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,7.2,8.3,24.0,108.0,120.0,0.03,0.29,0.32,0.03,0.32,0.04,0.25,0.28,0.04,0.28,Matches,2022-2023,Hoffenheim
Ozan Kabak,tr TUR,DF,22,33,30,2579.0,28.7,4.0,3.0,7.0,4.0,0.0,0.0,12.0,2.0,1.3,1.3,1.3,2.6,23.0,76.0,13.0,0.14,0.1,0.24,0.14,0.24,0.05,0.05,0.1,0.05,0.1,Matches,2022-2023,Hoffenheim
Andrej Kramarić,hr CRO,"MF,FW",31,34,28,2527.0,28.1,12.0,4.0,16.0,8.0,4.0,6.0,3.0,0.0,13.2,8.5,2.2,10.7,49.0,100.0,191.0,0.43,0.14,0.57,0.28,0.43,0.5,0.08,0.58,0.32,0.4,Matches,2022-2023,Hoffenheim
Kevin Akpoguma,ng NGA,DF,27,30,22,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.6,0.6,0.5,1.2,17.0,85.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,2022-2023,Hoffenheim
Dennis Geiger,de GER,MF,24,28,28,2017.0,22.4,1.0,4.0,5.0,1.0,0.0,0.0,9.0,0.0,0.2,0.2,2.7,2.9,21.0,99.0,22.0,0.04,0.18,0.22,0.04,0.22,0.01,0.12,0.13,0.01,0.13,Matches,2022-2023,Hoffenheim
Kevin Vogt,de GER,DF,30,24,24,1985.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.4,0.4,16.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2022-2023,Hoffenheim
Pavel Kadeřábek,cz CZE,DF,30,28,18,1822.0,20.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.7,3.1,30.0,61.0,114.0,0.1,0.05,0.15,0.1,0.15,0.07,0.09,0.17,0.07,0.17,Matches,2022-2023,Hoffenheim
Grischa Prömel,de GER,MF,27,20,19,1664.0,18.5,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,1.1,3.6,19.0,39.0,46.0,0.11,0.05,0.16,0.11,0.16,0.16,0.07,0.22,0.16,0.22,Matches,2022-2023,Hoffenheim
Robert Skov,dk DEN,DF,26,25,18,1522.0,16.9,3.0,4.0,7.0,1.0,2.0,2.0,1.0,0.0,3.4,1.8,1.8,3.6,43.0,49.0,97.0,0.18,0.24,0.41,0.06,0.3,0.23,0.12,0.34,0.12,0.24,Matches,2022-2023,Hoffenheim
Ihlas Bebou,tg TOG,"FW,DF",28,20,18,1494.0,16.6,7.0,0.0,7.0,6.0,1.0,1.0,2.0,0.0,4.6,3.8,1.0,4.8,27.0,23.0,116.0,0.42,0.0,0.42,0.36,0.36,0.29,0.06,0.36,0.24,0.31,Matches,2022-2023,Hoffenheim
Stanley N'Soki,fr FRA,DF,23,21,16,1461.0,16.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.5,0.5,0.3,0.8,17.0,64.0,10.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,Matches,2022-2023,Hoffenheim
John Brooks,us USA,DF,29,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.0,0.4,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2022-2023,Hoffenheim
Georginio Rutter,fr FRA,FW,20,17,12,1156.0,12.8,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,2.3,5.4,32.0,25.0,75.0,0.16,0.23,0.39,0.16,0.39,0.27,0.21,0.48,0.27,0.48,Matches,2022-2023,Hoffenheim
Moanes Dabbur,il ISR,FW,30,24,10,1133.0,12.6,8.0,2.0,10.0,8.0,0.0,0.0,3.0,1.0,3.5,3.5,2.2,5.7,10.0,33.0,61.0,0.64,0.16,0.79,0.64,0.79,0.34,0.21,0.55,0.34,0.55,Matches,2022-2023,Hoffenheim
