Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Kenneth Kronholm,de GER,GK,31,35,35,3180.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
Dominik Schmidt,de GER,DF,30,34,34,3071.0,34.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.03,0.0,0.03,0.03,0.03,Matches,2017-2018,Holstein Kiel
Rafael Czichos,de GER,DF,27,33,33,2977.0,33.1,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,0.09,0.06,0.15,0.09,0.15,Matches,2017-2018,Holstein Kiel
Dominick Drexler,de GER,MF,27,33,33,2923.0,32.5,14.0,7.0,21.0,9.0,5.0,6.0,6.0,0.0,0.43,0.22,0.65,0.28,0.49,Matches,2017-2018,Holstein Kiel
Kingsley Schindler,gh GHA,MF,24,35,33,2888.0,32.1,13.0,3.0,16.0,7.0,6.0,6.0,3.0,0.0,0.41,0.09,0.5,0.22,0.31,Matches,2017-2018,Holstein Kiel
Marvin Ducksch,de GER,FW,23,35,34,2846.0,31.6,19.0,7.0,26.0,18.0,1.0,2.0,4.0,0.0,0.6,0.22,0.82,0.57,0.79,Matches,2017-2018,Holstein Kiel
Patrick Herrmann,de GER,DF,29,31,30,2700.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.07,0.07,0.0,0.07,Matches,2017-2018,Holstein Kiel
Alexander Mühling,de GER,MF,24,34,30,2597.0,28.9,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,2017-2018,Holstein Kiel
David Kinsombi,,"MF,DF",21,33,26,2453.0,27.3,5.0,1.0,6.0,5.0,0.0,0.0,4.0,1.0,0.18,0.04,0.22,0.18,0.22,Matches,2017-2018,Holstein Kiel
Johannes van den Bergh,de GER,DF,30,24,24,2183.0,24.3,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2017-2018,Holstein Kiel
Steven Lewerenz,de GER,MF,26,32,25,2048.0,22.8,8.0,7.0,15.0,8.0,0.0,0.0,2.0,0.0,0.35,0.31,0.66,0.35,0.66,Matches,2017-2018,Holstein Kiel
Dominic Peitz,de GER,MF,32,32,16,1681.0,18.7,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.05,0.11,0.16,0.05,0.16,Matches,2017-2018,Holstein Kiel
Aaron Seydel,de GER,"MF,FW",21,26,8,929.0,10.3,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.19,0.29,0.48,0.19,0.48,Matches,2017-2018,Holstein Kiel
Tom Weilandt,de GER,MF,25,18,9,879.0,9.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.1,0.2,0.31,0.1,0.31,Matches,2017-2018,Holstein Kiel
Christopher Lenz,de GER,DF,22,12,9,824.0,9.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,2017-2018,Holstein Kiel
Sebastian Heidinger,de GER,DF,31,13,9,822.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2017-2018,Holstein Kiel
Niklas Hoheneder,at AUT,DF,30,8,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
Atakan Karazor,,MF,20,4,2,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
Amara Conde,de GER,MF,20,8,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
Arne Sicker,de GER,MF,20,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches,2017-2018,Holstein Kiel
Luca Dürholtz,de GER,MF,23,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
Lukas Kruse,de GER,GK,34,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
Manuel Janzer,de GER,MF,25,6,0,81.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,1.11,Matches,2017-2018,Holstein Kiel
Tim Siedschlag,de GER,MF,29,4,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Holstein Kiel
