Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Samir Handanović,si SVN,GK,36,47,47,4170.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Inter
Nicolò Barella,it ITA,MF,23,46,41,3733.0,41.5,3.0,10.0,13.0,3.0,0.0,0.0,7.0,0.0,2.6,2.6,6.1,8.7,109.0,313.0,181.0,0.07,0.24,0.31,0.07,0.31,0.07,0.16,0.23,0.07,0.23,Matches,2020-2021,Inter
Stefan de Vrij,nl NED,DF,28,42,39,3604.0,40.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.5,1.8,23.0,119.0,2.0,0.02,0.0,0.02,0.02,0.02,0.04,0.01,0.05,0.04,0.05,Matches,2020-2021,Inter
Romelu Lukaku,be BEL,FW,27,44,39,3561.0,39.6,30.0,11.0,41.0,23.0,7.0,7.0,7.0,0.0,26.2,21.5,7.6,29.1,85.0,93.0,339.0,0.76,0.28,1.04,0.58,0.86,0.71,0.21,0.91,0.58,0.79,Matches,2020-2021,Inter
Alessandro Bastoni,it ITA,DF,21,41,40,3482.0,38.7,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,2.4,3.5,86.0,179.0,71.0,0.0,0.1,0.1,0.0,0.1,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021,Inter
Milan Škriniar,sk SVK,DF,25,39,38,3377.0,37.5,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,0.5,2.9,50.0,166.0,46.0,0.08,0.0,0.08,0.08,0.08,0.07,0.02,0.08,0.07,0.08,Matches,2020-2021,Inter
Marcelo Brozović,hr CRO,MF,27,42,36,3241.0,36.0,2.0,7.0,9.0,2.0,0.0,0.0,13.0,1.0,1.2,1.2,5.0,6.2,39.0,273.0,38.0,0.06,0.19,0.25,0.06,0.25,0.04,0.15,0.19,0.04,0.19,Matches,2020-2021,Inter
Lautaro Martínez,ar ARG,FW,22,48,38,3238.0,36.0,19.0,7.0,26.0,17.0,2.0,2.0,6.0,0.0,17.5,16.0,6.0,22.0,53.0,70.0,218.0,0.53,0.19,0.72,0.47,0.67,0.53,0.18,0.71,0.48,0.67,Matches,2020-2021,Inter
Achraf Hakimi,ma MAR,"DF,MF",21,45,34,3210.0,35.7,7.0,9.0,16.0,7.0,0.0,0.0,9.0,0.0,4.7,4.7,6.7,11.5,124.0,109.0,352.0,0.2,0.25,0.45,0.2,0.45,0.14,0.2,0.34,0.14,0.34,Matches,2020-2021,Inter
