Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Bartosz Białkowski,pl POL,GK,30,46,46,4140.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Ipswich Town
Jonas Knudsen,dk DEN,DF,24,44,44,3960.0,44.0,1.0,7.0,8.0,1.0,0.0,0.0,10.0,0.0,0.02,0.16,0.18,0.02,0.18,Matches,2017-2018,Ipswich Town
Martyn Waghorn,eng ENG,"FW,MF",27,46,39,3514.0,39.0,16.0,11.0,27.0,15.0,1.0,1.0,11.0,0.0,0.41,0.28,0.69,0.38,0.67,Matches,2017-2018,Ipswich Town
Luke Chambers,eng ENG,DF,31,39,39,3443.0,38.3,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2017-2018,Ipswich Town
Cole Skuse,eng ENG,"DF,MF",31,40,40,3396.0,37.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,2017-2018,Ipswich Town
Jordan Spence,eng ENG,DF,27,40,37,3372.0,37.5,4.0,4.0,8.0,4.0,0.0,0.0,5.0,1.0,0.11,0.11,0.21,0.11,0.21,Matches,2017-2018,Ipswich Town
Callum Connolly,eng ENG,"DF,MF",19,35,30,2635.0,29.3,4.0,1.0,5.0,4.0,0.0,0.0,10.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches,2017-2018,Ipswich Town
Joe Garner,eng ENG,"FW,MF",29,32,29,2567.0,28.5,10.0,2.0,12.0,10.0,0.0,0.0,8.0,0.0,0.35,0.07,0.42,0.35,0.42,Matches,2017-2018,Ipswich Town
Bersant Celina,xk KVX,"FW,MF",20,38,26,2374.0,26.4,8.0,0.0,8.0,8.0,0.0,0.0,3.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,2017-2018,Ipswich Town
Adam Webster,eng ENG,DF,22,29,26,2333.0,25.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2017-2018,Ipswich Town
Grant Ward,eng ENG,MF,22,37,25,2219.0,24.7,2.0,5.0,7.0,2.0,0.0,0.0,3.0,1.0,0.08,0.2,0.28,0.08,0.28,Matches,2017-2018,Ipswich Town
Dominic Iorfa,eng ENG,DF,22,25,22,1907.0,21.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,2017-2018,Ipswich Town
Freddie Sears,eng ENG,"FW,MF",27,37,16,1823.0,20.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2017-2018,Ipswich Town
David McGoldrick,ie IRL,"FW,MF",29,24,20,1790.0,19.9,8.0,4.0,12.0,8.0,0.0,1.0,2.0,0.0,0.4,0.2,0.6,0.4,0.6,Matches,2017-2018,Ipswich Town
Cameron Carter-Vickers,us USA,DF,19,17,17,1530.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2017-2018,Ipswich Town
Myles Kenlock,eng ENG,"DF,MF",20,18,17,1481.0,16.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2017-2018,Ipswich Town
