Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Janoi Donacien,lc LCA,DF,27,47,42,3942.0,43.8,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2021-2022,Ipswich Town
Christian Walton,eng ENG,GK,25,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Ipswich Town
Sam Morsy,eg EGY,MF,29,37,35,3149.0,35.0,3.0,5.0,8.0,3.0,0.0,0.0,14.0,0.0,0.09,0.14,0.23,0.09,0.23,Matches,2021-2022,Ipswich Town
Wes Burns,wls WAL,MF,26,39,36,3142.0,34.9,13.0,6.0,19.0,13.0,0.0,0.0,8.0,0.0,0.37,0.17,0.54,0.37,0.54,Matches,2021-2022,Ipswich Town
George Edmundson,eng ENG,DF,23,34,34,3030.0,33.7,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2021-2022,Ipswich Town
Macauley Bonne,zw ZIM,FW,25,46,32,3005.0,33.4,12.0,3.0,15.0,12.0,0.0,0.0,3.0,0.0,0.36,0.09,0.45,0.36,0.45,Matches,2021-2022,Ipswich Town
Luke Woolfenden,eng ENG,DF,22,34,32,2920.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Ipswich Town
Conor Chaplin,eng ENG,"MF,FW",24,43,26,2424.0,26.9,10.0,3.0,13.0,9.0,1.0,1.0,4.0,0.0,0.37,0.11,0.48,0.33,0.45,Matches,2021-2022,Ipswich Town
Lee Evans,wls WAL,MF,27,28,27,2388.0,26.5,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.11,0.08,0.19,0.11,0.19,Matches,2021-2022,Ipswich Town
Bersant Celina,xk KVX,MF,24,33,24,2221.0,24.7,6.0,5.0,11.0,6.0,0.0,0.0,6.0,0.0,0.24,0.2,0.45,0.24,0.45,Matches,2021-2022,Ipswich Town
Cameron Burgess,au AUS,DF,25,25,21,1974.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Ipswich Town
Matt Penney,eng ENG,"DF,MF",23,24,19,1733.0,19.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2021-2022,Ipswich Town
Sone Aluko,ng NGA,MF,32,35,21,1731.0,19.2,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,2021-2022,Ipswich Town
Scott Fraser,sct SCO,MF,26,19,17,1458.0,16.2,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.06,0.12,0.19,0.06,0.19,Matches,2021-2022,Ipswich Town
Dominic Thompson,eng ENG,MF,21,17,15,1364.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Ipswich Town
Tyreeq Bakinson,eng ENG,MF,22,17,14,1294.0,14.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2021-2022,Ipswich Town
James Norwood,eng ENG,FW,30,25,13,1163.0,12.9,6.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,0.46,0.15,0.62,0.46,0.62,Matches,2021-2022,Ipswich Town
Kane Vincent-Young,gd GRN,"DF,MF",25,18,13,1130.0,12.6,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.32,0.32,0.0,0.32,Matches,2021-2022,Ipswich Town
