Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Václav Hladký,cz CZE,GK,32.0,47,47,4229.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Ipswich Town
Sam Morsy,eg EGY,MF,31.0,44,44,3928.0,43.6,3.0,6.0,9.0,3.0,0.0,0.0,14.0,0.0,1.7,1.7,3.7,5.4,50.0,282.0,42.0,0.07,0.14,0.21,0.07,0.21,0.04,0.09,0.13,0.04,0.13,Matches,2023-2024,Ipswich Town
Leif Davis,eng ENG,DF,23.0,44,43,3815.0,42.4,2.0,18.0,20.0,2.0,0.0,0.0,5.0,0.0,2.1,2.1,11.2,13.2,101.0,144.0,281.0,0.05,0.42,0.47,0.05,0.47,0.05,0.27,0.32,0.05,0.32,Matches,2023-2024,Ipswich Town
Luke Woolfenden,eng ENG,DF,24.0,42,41,3702.0,41.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,13.0,98.0,2.0,0.02,0.02,0.05,0.02,0.05,0.02,0.01,0.02,0.02,0.02,Matches,2023-2024,Ipswich Town
Cameron Burgess,au AUS,DF,27.0,40,39,3480.0,38.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,1.5,3.5,16.0,151.0,4.0,0.05,0.03,0.08,0.05,0.08,0.05,0.04,0.09,0.05,0.09,Matches,2023-2024,Ipswich Town
Conor Chaplin,eng ENG,MF,26.0,47,42,3437.0,38.2,13.0,8.0,21.0,13.0,0.0,0.0,7.0,0.0,12.0,12.0,5.4,17.4,42.0,207.0,186.0,0.34,0.21,0.55,0.34,0.55,0.32,0.15,0.47,0.32,0.47,Matches,2023-2024,Ipswich Town
Massimo Luongo,au AUS,MF,30.0,44,37,3168.0,35.2,3.0,0.0,3.0,3.0,0.0,0.0,11.0,0.0,2.6,2.6,2.5,5.1,62.0,231.0,73.0,0.09,0.0,0.09,0.09,0.09,0.07,0.07,0.15,0.07,0.15,Matches,2023-2024,Ipswich Town
Omari Hutchinson,eng ENG,"FW,MF",19.0,50,25,2574.0,28.6,11.0,4.0,15.0,11.0,0.0,0.0,4.0,0.0,5.2,5.2,4.8,10.0,146.0,85.0,273.0,0.38,0.14,0.52,0.38,0.52,0.21,0.2,0.41,0.21,0.41,Matches,2023-2024,Ipswich Town
Harry Clarke,eng ENG,DF,22.0,39,26,2564.0,28.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.1,1.1,1.3,2.4,42.0,181.0,47.0,0.04,0.04,0.07,0.04,0.07,0.04,0.05,0.09,0.04,0.09,Matches,2023-2024,Ipswich Town
