Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Michele Di Gregorio,it ITA,GK,27-303,43,43,3868.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2024-2025,Juventus
Manuel Locatelli,it ITA,"MF,DF",27-138,48,43,3734.0,41.5,2.0,2.0,4.0,1.0,1.0,1.0,10.0,0.0,1.9,1.1,3.1,4.2,36.0,356.0,39.0,0.05,0.05,0.1,0.02,0.07,0.05,0.08,0.13,0.03,0.11,Matches,2024-2025,Juventus
Kenan Yıldız,tr TUR,"FW,MF",20-022,48,38,3289.0,36.5,9.0,6.0,15.0,9.0,0.0,0.0,3.0,1.0,4.9,4.9,5.4,10.3,143.0,146.0,280.0,0.25,0.16,0.41,0.25,0.41,0.15,0.16,0.31,0.15,0.31,Matches,2024-2025,Juventus
Federico Gatti,it ITA,DF,26-336,42,36,3239.0,36.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.7,2.7,0.5,3.2,35.0,109.0,8.0,0.03,0.03,0.06,0.03,0.06,0.08,0.02,0.1,0.08,0.1,Matches,2024-2025,Juventus
Pierre Kalulu,fr FRA,DF,24-355,39,35,3162.0,35.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.8,0.8,0.5,1.3,57.0,144.0,24.0,0.03,0.0,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Juventus
Weston McKennie,us USA,"MF,DF",26-271,44,36,3160.0,35.1,5.0,4.0,9.0,5.0,0.0,0.0,4.0,0.0,4.2,4.2,4.4,8.6,34.0,139.0,182.0,0.14,0.11,0.26,0.14,0.26,0.13,0.14,0.27,0.13,0.27,Matches,2024-2025,Juventus
Khéphren Thuram,fr FRA,MF,24-061,47,34,3099.0,34.4,5.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,3.8,3.8,3.7,7.5,84.0,142.0,59.0,0.15,0.15,0.29,0.15,0.29,0.12,0.12,0.24,0.12,0.24,Matches,2024-2025,Juventus
Andrea Cambiaso,it ITA,DF,25-095,42,31,2895.0,32.2,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.8,0.8,2.8,3.6,99.0,140.0,144.0,0.06,0.12,0.19,0.06,0.19,0.03,0.09,0.12,0.03,0.12,Matches,2024-2025,Juventus
Teun Koopmeiners,nl NED,MF,27-087,40,33,2848.0,31.6,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,5.1,5.1,4.5,9.6,45.0,105.0,160.0,0.13,0.09,0.22,0.13,0.22,0.17,0.15,0.33,0.17,0.33,Matches,2024-2025,Juventus
Dušan Vlahović,rs SRB,FW,25-118,41,30,2596.0,28.8,15.0,5.0,20.0,10.0,5.0,5.0,4.0,0.0,15.5,11.6,2.4,13.9,33.0,33.0,146.0,0.52,0.17,0.69,0.35,0.52,0.61,0.09,0.7,0.45,0.54,Matches,2024-2025,Juventus
Timothy Weah,us USA,"DF,FW",25-093,42,24,2331.0,25.9,6.0,4.0,10.0,6.0,0.0,0.0,5.0,0.0,3.5,3.5,2.8,6.3,66.0,76.0,157.0,0.23,0.15,0.39,0.23,0.39,0.15,0.12,0.26,0.15,0.26,Matches,2024-2025,Juventus
Nicolò Savona,it ITA,DF,22-068,37,26,2330.0,25.9,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.8,0.8,1.2,2.0,43.0,70.0,56.0,0.08,0.04,0.12,0.08,0.12,0.03,0.05,0.08,0.03,0.08,Matches,2024-2025,Juventus
Nicolás González,ar ARG,FW,27-050,35,29,2221.0,24.7,5.0,4.0,9.0,5.0,0.0,0.0,3.0,0.0,5.3,5.3,1.5,6.8,42.0,82.0,158.0,0.2,0.16,0.36,0.2,0.36,0.23,0.07,0.29,0.23,0.29,Matches,2024-2025,Juventus
Francisco Conceição,pt POR,FW,22-163,37,19,2086.0,23.2,5.0,4.0,9.0,5.0,0.0,0.0,7.0,1.0,2.9,2.9,4.8,7.7,145.0,55.0,210.0,0.22,0.17,0.39,0.22,0.39,0.13,0.22,0.36,0.13,0.36,Matches,2024-2025,Juventus
Randal Kolo Muani,fr FRA,FW,26-172,19,16,1445.0,16.1,8.0,2.0,10.0,7.0,1.0,1.0,0.0,0.0,5.6,4.9,1.6,6.4,21.0,20.0,109.0,0.5,0.12,0.62,0.44,0.56,0.38,0.11,0.49,0.33,0.44,Matches,2024-2025,Juventus
Lloyd Kelly,eng ENG,DF,26-232,15,14,1276.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,11.0,42.0,27.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2024-2025,Juventus
Renato Veiga,pt POR,DF,21-301,15,14,1194.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.1,11.0,50.0,1.0,0.0,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.08,0.08,Matches,2024-2025,Juventus
