Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Sergi Cardona,es ESP,DF,22,37,35,3067.0,34.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2021-2022,Las Palmas
Álvaro Lemos,es ESP,DF,28,36,36,3034.0,33.7,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches,2021-2022,Las Palmas
Jesé,es ESP,"FW,MF",28,39,36,2963.0,32.9,11.0,6.0,17.0,6.0,5.0,5.0,4.0,0.0,0.33,0.18,0.52,0.18,0.36,Matches,2021-2022,Las Palmas
Raúl Navas,es ESP,DF,33,35,31,2929.0,32.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches,2021-2022,Las Palmas
Eric Curbelo,es ESP,DF,27,33,31,2748.0,30.5,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,2021-2022,Las Palmas
Jonathan Viera,es ESP,"MF,FW",31,32,32,2667.0,29.6,14.0,5.0,19.0,10.0,4.0,5.0,4.0,0.0,0.47,0.17,0.64,0.34,0.51,Matches,2021-2022,Las Palmas
Raúl Fernández,es ESP,GK,33,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Kirian Rodríguez,es ESP,"MF,FW",25,33,27,2405.0,26.7,5.0,4.0,9.0,5.0,0.0,0.0,2.0,1.0,0.19,0.15,0.34,0.19,0.34,Matches,2021-2022,Las Palmas
Omenuke Mfulu,cd COD,MF,27,28,27,2139.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Alberto Moleiro,es ESP,"MF,FW",17,36,23,1995.0,22.2,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.14,0.05,0.18,0.14,0.18,Matches,2021-2022,Las Palmas
Fabio González,es ESP,MF,24,30,16,1625.0,18.1,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2021-2022,Las Palmas
Benito Ramírez,es ESP,"DF,MF",26,32,16,1600.0,17.8,4.0,3.0,7.0,4.0,0.0,0.0,3.0,1.0,0.23,0.17,0.39,0.23,0.39,Matches,2021-2022,Las Palmas
Enzo Loiodice,fr FRA,MF,20,24,22,1540.0,17.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2021-2022,Las Palmas
Álvaro Vallés,es ESP,GK,24,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Erick Ferigra,ec ECU,DF,22,17,13,1227.0,13.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2021-2022,Las Palmas
Armando Sadiku,al ALB,FW,30,26,14,1100.0,12.2,6.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.49,0.0,0.49,0.49,0.49,Matches,2021-2022,Las Palmas
Óscar Clemente,es ESP,MF,22,23,11,1003.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,2021-2022,Las Palmas
Saúl Coco,gq EQG,DF,22,12,10,874.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
ALex Salomón,es ESP,DF,25,14,8,834.0,9.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,2021-2022,Las Palmas
Roberto González,es ESP,"MF,FW",20,18,8,779.0,8.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches,2021-2022,Las Palmas
Adalberto Peñaranda,ve VEN,"MF,FW",24,19,5,779.0,8.7,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.23,0.12,0.35,0.23,0.35,Matches,2021-2022,Las Palmas
Maikel Mesa,es ESP,MF,30,20,5,727.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2021-2022,Las Palmas
Pejiño,es ESP,MF,25,14,11,715.0,7.9,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.63,0.13,0.76,0.63,0.76,Matches,2021-2022,Las Palmas
Óscar Pinchi,es ESP,MF,25,18,4,688.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Rafa Mújica,es ESP,FW,22,15,5,557.0,6.2,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.16,0.0,0.16,0.16,0.16,Matches,2021-2022,Las Palmas
Álex Suárez,es ESP,DF,28,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Sergio Ruiz,es ESP,MF,26,6,5,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Pedro Alejandro García Mejías,es ESP,MF,18,6,1,170.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,Matches,2021-2022,Las Palmas
Unai Veiga,es ESP,MF,22,4,2,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Claudio Mendes,gw GNB,FW,20,8,0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Hernâni Fortes,pt POR,"FW,MF",29,5,0,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Pol,es ESP,MF,20,3,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Las Palmas
Cendón,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2021-2022,Las Palmas
Alfonso,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2021-2022,Las Palmas
David Vicente,es ESP,MF,22,0,0,,,,,,,,,,,,,,,,Matches,2021-2022,Las Palmas
Isaac,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,Matches,2021-2022,Las Palmas
Juan Satoca,es ESP,MF,22,0,0,,,,,,,,,,,,,,,,Matches,2021-2022,Las Palmas
