Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Javier Muñoz,es ESP,"MF,DF",29.0,38,29,2769.0,30.8,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,2.5,3.7,36.0,108.0,91.0,0.03,0.1,0.13,0.03,0.13,0.04,0.09,0.13,0.04,0.13,Matches,2024-2025,Las Palmas
Alberto Moleiro,es ESP,"FW,MF",20.0,36,32,2759.0,30.7,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,5.6,5.6,3.3,8.9,97.0,116.0,179.0,0.2,0.03,0.23,0.2,0.23,0.19,0.11,0.3,0.19,0.3,Matches,2024-2025,Las Palmas
Mika Mármol,es ESP,DF,23.0,33,29,2624.0,29.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.5,1.9,33.0,106.0,62.0,0.0,0.03,0.03,0.0,0.03,0.02,0.06,0.07,0.02,0.07,Matches,2024-2025,Las Palmas
Scott McKenna,sct SCO,DF,27.0,31,29,2562.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.1,1.1,0.7,1.8,11.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,2024-2025,Las Palmas
Álex Suárez,es ESP,DF,31.0,30,30,2460.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.5,0.5,0.1,0.6,6.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2024-2025,Las Palmas
Jasper Cillessen,nl NED,GK,35.0,27,27,2335.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Las Palmas
Sandro Ramírez,es ESP,"FW,MF",29.0,32,26,2108.0,23.4,9.0,4.0,13.0,8.0,1.0,1.0,6.0,0.0,4.1,3.3,3.4,6.7,52.0,52.0,121.0,0.38,0.17,0.56,0.34,0.51,0.18,0.15,0.33,0.15,0.29,Matches,2024-2025,Las Palmas
Viti,es ESP,DF,26.0,30,23,2010.0,22.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,1.4,1.4,43.0,44.0,65.0,0.0,0.09,0.09,0.0,0.09,0.0,0.06,0.06,0.0,0.06,Matches,2024-2025,Las Palmas
Fábio Silva,pt POR,FW,22.0,25,23,1941.0,21.6,10.0,3.0,13.0,8.0,2.0,3.0,7.0,0.0,8.8,6.4,2.0,8.4,30.0,26.0,119.0,0.46,0.14,0.6,0.37,0.51,0.42,0.1,0.52,0.31,0.41,Matches,2024-2025,Las Palmas
