Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Mattéo Guendouzi,fr FRA,MF,25,48,46,4144.0,46.0,1.0,5.0,6.0,1.0,0.0,0.0,9.0,0.0,1.5,1.5,4.2,5.7,118.0,394.0,85.0,0.02,0.11,0.13,0.02,0.13,0.03,0.09,0.13,0.03,0.13,Matches,2024-2025,Lazio
Alessio Romagnoli,it ITA,DF,29,43,41,3578.0,39.8,5.0,1.0,6.0,5.0,0.0,0.0,6.0,2.0,4.2,4.2,0.8,5.0,10.0,125.0,4.0,0.13,0.03,0.15,0.13,0.15,0.11,0.02,0.13,0.11,0.13,Matches,2024-2025,Lazio
Nicolò Rovella,it ITA,MF,22,44,38,3454.0,38.4,0.0,4.0,4.0,0.0,0.0,0.0,17.0,1.0,1.7,1.7,3.1,4.7,54.0,203.0,47.0,0.0,0.1,0.1,0.0,0.1,0.05,0.08,0.13,0.05,0.13,Matches,2024-2025,Lazio
Mattia Zaccagni,it ITA,FW,29,46,41,3375.0,37.5,10.0,9.0,19.0,7.0,3.0,4.0,15.0,0.0,8.4,6.0,5.6,11.6,116.0,147.0,334.0,0.27,0.24,0.51,0.19,0.43,0.23,0.15,0.39,0.17,0.32,Matches,2024-2025,Lazio
Adam Marušić,me MNE,DF,31,48,37,3337.0,37.1,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,1.4,3.8,33.0,144.0,165.0,0.11,0.0,0.11,0.11,0.11,0.06,0.04,0.1,0.06,0.1,Matches,2024-2025,Lazio
Mario Gila,es ESP,DF,23,43,36,3315.0,36.8,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.5,1.5,1.3,2.9,51.0,180.0,14.0,0.05,0.0,0.05,0.05,0.05,0.04,0.04,0.08,0.04,0.08,Matches,2024-2025,Lazio
Valentín Castellanos,ar ARG,FW,25,40,35,3069.0,34.1,14.0,5.0,19.0,12.0,2.0,3.0,10.0,1.0,16.1,13.9,3.9,17.9,44.0,82.0,195.0,0.41,0.15,0.56,0.35,0.5,0.48,0.12,0.59,0.41,0.53,Matches,2024-2025,Lazio
Ivan Provedel,it ITA,GK,30,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2024-2025,Lazio
Gustav Isaksen,dk DEN,FW,23,49,35,2855.0,31.7,6.0,5.0,11.0,6.0,0.0,0.0,7.0,0.0,7.5,7.5,4.1,11.6,124.0,55.0,306.0,0.19,0.16,0.35,0.19,0.35,0.25,0.13,0.38,0.25,0.38,Matches,2024-2025,Lazio
Boulaye Dia,sn SEN,"MF,FW",27,48,35,2850.0,31.7,12.0,3.0,15.0,12.0,0.0,0.0,3.0,0.0,9.0,9.0,5.0,14.0,31.0,59.0,150.0,0.38,0.09,0.47,0.38,0.47,0.3,0.17,0.46,0.3,0.46,Matches,2024-2025,Lazio
Pedro,es ESP,"FW,MF",37,44,18,2097.0,23.3,14.0,5.0,19.0,12.0,2.0,2.0,2.0,0.0,8.1,6.5,3.6,10.1,88.0,118.0,148.0,0.6,0.21,0.82,0.52,0.73,0.36,0.16,0.53,0.29,0.45,Matches,2024-2025,Lazio
Nuno Tavares,pt POR,DF,24,30,26,2014.0,22.4,0.0,9.0,9.0,0.0,0.0,0.0,4.0,1.0,1.2,1.2,5.0,6.2,112.0,130.0,119.0,0.0,0.4,0.4,0.0,0.4,0.05,0.23,0.28,0.05,0.28,Matches,2024-2025,Lazio
Manuel Lazzari,it ITA,DF,30,34,20,1914.0,21.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.8,95.0,77.0,114.0,0.0,0.05,0.05,0.0,0.05,0.02,0.08,0.09,0.02,0.09,Matches,2024-2025,Lazio
Christos Mandas,gr GRE,GK,22,20,20,1830.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Lazio
