Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Dénys Bain,fr FRA,DF,25,40,40,3600.0,40.0,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,0.12,0.02,0.15,0.12,0.15,Matches,2018-2019,Le Havre
Zinedine Ferhat,dz ALG,MF,25,43,36,3315.0,36.8,5.0,10.0,15.0,4.0,1.0,1.0,4.0,1.0,0.14,0.27,0.41,0.11,0.38,Matches,2018-2019,Le Havre
Victor Lekhal,dz ALG,MF,24,35,35,3155.0,35.1,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019,Le Havre
Barnabás Bese,hu HUN,DF,24,37,35,3097.0,34.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019,Le Havre
Jean-Pascal Fontaine,fr FRA,MF,29,39,34,3087.0,34.3,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,0.15,0.12,0.26,0.15,0.26,Matches,2018-2019,Le Havre
Yohann Thuram-Ulien,fr FRA,GK,29,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Le Havre
Samba Camara,ml MLI,DF,25,32,30,2786.0,31.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2018-2019,Le Havre
Alimani Gory,ml MLI,"MF,FW",21,40,28,2422.0,26.9,11.0,3.0,14.0,11.0,0.0,0.0,4.0,0.0,0.41,0.11,0.52,0.41,0.52,Matches,2018-2019,Le Havre
Alexandre Bonnet,fr FRA,MF,31,34,27,2343.0,26.0,6.0,2.0,8.0,5.0,1.0,1.0,4.0,0.0,0.23,0.08,0.31,0.19,0.27,Matches,2018-2019,Le Havre
Yacouba Coulibaly,bf BFA,DF,23,26,24,2166.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Le Havre
Amos Youga,cf CTA,MF,25,28,23,1944.0,21.6,2.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.09,0.0,0.09,0.09,0.09,Matches,2018-2019,Le Havre
Tino Kadewere,zw ZIM,FW,22,27,20,1792.0,19.9,7.0,5.0,12.0,6.0,1.0,1.0,2.0,0.0,0.35,0.25,0.6,0.3,0.55,Matches,2018-2019,Le Havre
Romain Basque,fr FRA,MF,23,28,19,1754.0,19.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,2018-2019,Le Havre
Harold Moukoudi,cm CMR,DF,20,19,19,1710.0,19.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2018-2019,Le Havre
Fernand Mayembo,cg CGO,DF,22,20,18,1655.0,18.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2018-2019,Le Havre
