Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Victor Lekhal,dz ALG,MF,28,38,37,3317.0,36.9,6.0,0.0,6.0,2.0,4.0,6.0,6.0,0.0,0.16,0.0,0.16,0.05,0.05,Matches,2022-2023,Le Havre
Christopher Operi,ci CIV,DF,25,35,35,3150.0,35.0,2.0,2.0,4.0,2.0,0.0,0.0,10.0,0.0,0.06,0.06,0.11,0.06,0.11,Matches,2022-2023,Le Havre
Arouna Sangante,sn SEN,DF,20,35,35,3125.0,34.7,3.0,1.0,4.0,3.0,0.0,0.0,11.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,2022-2023,Le Havre
Oualid El Hajjam,ma MAR,DF,31,36,36,3079.0,34.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2022-2023,Le Havre
Arthur Desmas,fr FRA,GK,28,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Gautier Lloris,fr FRA,DF,27,27,27,2430.0,27.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,2022-2023,Le Havre
Amir Richardson,ma MAR,MF,20,34,29,2387.0,26.5,3.0,4.0,7.0,3.0,0.0,0.0,6.0,1.0,0.11,0.15,0.26,0.11,0.26,Matches,2022-2023,Le Havre
Josué Casimir,fr FRA,"FW,MF",20,35,30,2367.0,26.3,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.08,0.08,0.15,0.08,0.15,Matches,2022-2023,Le Havre
Yassine Kechta,ma MAR,MF,20,29,26,2017.0,22.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.04,0.13,0.18,0.04,0.18,Matches,2022-2023,Le Havre
Nabil Alioui,fr FRA,FW,23,29,21,1857.0,20.6,6.0,3.0,9.0,5.0,1.0,1.0,2.0,0.0,0.29,0.15,0.44,0.24,0.39,Matches,2022-2023,Le Havre
Quentin Cornette,fr FRA,"FW,MF",28,32,18,1591.0,17.7,5.0,2.0,7.0,5.0,0.0,0.0,7.0,1.0,0.28,0.11,0.4,0.28,0.4,Matches,2022-2023,Le Havre
Nolan Mbemba,cg CGO,"MF,DF",27,30,14,1428.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Yann Kitala,,FW,24,32,16,1350.0,15.0,2.0,4.0,6.0,2.0,0.0,1.0,3.0,0.0,0.13,0.27,0.4,0.13,0.4,Matches,2022-2023,Le Havre
Jamal Thiaré,sn SEN,FW,29,24,10,1146.0,12.7,4.0,3.0,7.0,4.0,0.0,0.0,8.0,1.0,0.31,0.24,0.55,0.31,0.55,Matches,2022-2023,Le Havre
Terence Kongolo,nl NED,DF,28,15,11,1034.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Elies Mahmoud,fr FRA,"FW,MF",21,32,9,983.0,10.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.09,0.18,0.27,0.09,0.27,Matches,2022-2023,Le Havre
Samuel Grandsir,fr FRA,"FW,MF",25,14,11,909.0,10.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2022-2023,Le Havre
Mathieu Gorgelin,fr FRA,GK,31,8,8,750.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Oussama Targhalline,ma MAR,MF,20,12,7,684.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2022-2023,Le Havre
Antoine Joujou,fr FRA,FW,19,17,4,520.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.17,0.17,0.35,0.17,0.35,Matches,2022-2023,Le Havre
Oumar Diakité,fr FRA,MF,19,12,3,354.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches,2022-2023,Le Havre
Alois Confais,fr FRA,MF,25,12,2,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Abdoullah Ba,fr FRA,MF,19,5,2,244.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches,2022-2023,Le Havre
Etienne Youte Kinkoue,fr FRA,DF,20,5,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Zakaria Diallo,fr FRA,DF,35,4,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Le Havre
Ylan Gomes,fr FRA,FW,20,6,1,171.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.53,0.0,0.53,0.53,0.53,Matches,2022-2023,Le Havre
Sael Kumbedi,fr FRA,DF,17,4,1,126.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.71,Matches,2022-2023,Le Havre
