Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Gautier Lloris,fr FRA,DF,29-313,31,31,2768.0,30.8,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.2,1.2,0.9,2.0,13.0,99.0,7.0,0.07,0.03,0.1,0.07,0.1,0.04,0.03,0.07,0.04,0.07,Matches,2024-2025,Le Havre
Loïc Nego,hu HUN,"DF,FW",34-132,32,29,2549.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.7,1.4,64.0,102.0,123.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,2024-2025,Le Havre
Abdoulaye Touré,gn GUI,MF,31-085,28,26,2324.0,25.8,10.0,1.0,11.0,2.0,8.0,9.0,5.0,0.0,9.4,2.2,0.4,2.6,17.0,109.0,28.0,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.1,Matches,2024-2025,Le Havre
Etienne Youte Kinkoue,fr FRA,DF,23-133,28,26,2320.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.3,1.3,0.2,1.5,12.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2024-2025,Le Havre
Yassine Kechta,ma MAR,"MF,FW",23-091,31,25,2096.0,23.3,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,1.2,3.7,44.0,97.0,85.0,0.09,0.0,0.09,0.09,0.09,0.11,0.05,0.16,0.11,0.16,Matches,2024-2025,Le Havre
Josué Casimir,fr FRA,"FW,MF",23-245,27,23,1997.0,22.2,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,3.3,3.3,3.4,6.7,71.0,41.0,151.0,0.18,0.18,0.36,0.18,0.36,0.15,0.15,0.3,0.15,0.3,Matches,2024-2025,Le Havre
Issa Soumaré,sn SEN,"FW,MF",24-229,29,21,1902.0,21.1,5.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,3.8,3.8,3.1,6.9,61.0,45.0,144.0,0.24,0.19,0.43,0.24,0.43,0.18,0.15,0.33,0.18,0.33,Matches,2024-2025,Le Havre
Arthur Desmas,fr FRA,GK,31-050,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Le Havre
André Ayew,gh GHA,FW,35-161,28,16,1543.0,17.1,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,0.2,4.6,5.0,18.0,43.0,0.23,0.06,0.29,0.23,0.29,0.27,0.02,0.28,0.27,0.28,Matches,2024-2025,Le Havre
Mathieu Gorgelin,fr FRA,GK,34-295,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Le Havre
Christopher Operi,ci CIV,"DF,FW",28-028,14,14,1259.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,2.2,2.5,28.0,52.0,65.0,0.0,0.14,0.14,0.0,0.14,0.02,0.17,0.19,0.02,0.19,Matches,2024-2025,Le Havre
Arouna Sangante,sn SEN,DF,23-045,16,16,1244.0,13.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,1.0,1.0,0.1,1.1,11.0,48.0,3.0,0.22,0.0,0.22,0.22,0.22,0.07,0.01,0.08,0.07,0.08,Matches,2024-2025,Le Havre
Timothee Pembele,fr FRA,DF,22-260,21,13,1203.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.3,1.3,0.1,1.4,27.0,43.0,44.0,0.07,0.0,0.07,0.07,0.07,0.1,0.01,0.11,0.1,0.11,Matches,2024-2025,Le Havre
Rassoul Ndiaye,sn SEN,MF,23-167,28,12,1125.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.6,2.4,6.0,46.0,30.0,0.08,0.0,0.08,0.08,0.08,0.15,0.05,0.2,0.15,0.2,Matches,2024-2025,Le Havre
Yanis Zouaoui,dz ALG,"DF,FW",30-321,18,10,1066.0,11.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,2.9,3.1,33.0,32.0,33.0,0.0,0.17,0.17,0.0,0.17,0.01,0.27,0.28,0.01,0.28,Matches,2024-2025,Le Havre
Antoine Joujou,fr FRA,"MF,FW",22-076,27,10,1033.0,11.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,3.0,3.7,44.0,18.0,85.0,0.0,0.17,0.17,0.0,0.17,0.06,0.29,0.35,0.06,0.35,Matches,2024-2025,Le Havre
Oussama Targhalline,ma MAR,MF,23-007,14,12,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.9,25.0,66.0,34.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches,2024-2025,Le Havre
Junior Mwanga,fr FRA,MF,22-016,11,11,952.0,10.6,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.3,1.3,1.0,2.3,15.0,42.0,15.0,0.09,0.19,0.28,0.09,0.28,0.12,0.1,0.22,0.12,0.22,Matches,2024-2025,Le Havre
Koka,eg EGY,FW,32-083,16,10,851.0,9.5,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,4.9,4.2,0.6,4.8,0.0,12.0,20.0,0.32,0.11,0.42,0.21,0.32,0.52,0.07,0.59,0.44,0.51,Matches,2024-2025,Le Havre
Yoann Salmier,gf GUF,DF,32-187,13,9,797.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.1,7.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches,2024-2025,Le Havre
Emmanuel Sabbi,us USA,"FW,MF",27-154,16,7,679.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9,1.9,0.6,2.5,11.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,0.27,0.08,0.35,0.27,0.35,Matches,2024-2025,Le Havre
Daler Kuzyaev,ru RUS,MF,32-132,13,7,647.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,4.0,32.0,9.0,0.14,0.0,0.14,0.14,0.14,0.03,0.09,0.12,0.03,0.12,Matches,2024-2025,Le Havre
Fodé Ballo-Touré,sn SEN,"DF,MF",28-144,10,9,589.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,15.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2024-2025,Le Havre
Mahamadou Diawara,fr FRA,MF,20-099,15,6,582.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,9.0,16.0,6.0,0.0,0.15,0.15,0.0,0.15,0.06,0.06,0.12,0.06,0.12,Matches,2024-2025,Le Havre
Steve Ngoura,fr FRA,FW,20-094,8,2,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.4,1.7,3.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4,0.14,0.54,0.4,0.54,Matches,2024-2025,Le Havre
Ilyes Housni,fr FRA,"FW,MF",20-013,13,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,8.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,Matches,2024-2025,Le Havre
Samuel Grandsir,fr FRA,"MF,FW",28-286,7,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.67,Matches,2024-2025,Le Havre
Mathéo Bodmer,fr FRA,MF,21-021,2,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Le Havre
Alois Confais,fr FRA,MF,28-262,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Le Havre
Elysée Logbo,fr FRA,FW,21-021,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61,Matches,2024-2025,Le Havre
Kandet Diawara,gn GUI,FW,25-106,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Le Havre
Yann Kitala,,FW,27-048,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Oualid El Hajjam,ma MAR,DF,34-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Ismaïl Bouneb,fr FRA,MF,18-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Hernani Mendes,pt POR,MF,20-252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Alex Teixeira,fr FRA,GK,18-091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Gabriel Guri,al ALB,GK,19-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Enzo Kana-Biyik,fr FRA,FW,18-139,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Stephan Zagadou,fr FRA,DF,16-215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Daren Mosengo,fr FRA,MF,18-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
Guy Zohouri,fr FRA,MF,18-115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Le Havre
