Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Iván Cuéllar,es ESP,GK,34,36,36,3235.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Leganes
Dimitris Siovas,gr GRE,DF,29,37,37,3232.0,35.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.9,1.9,1.1,3.0,22.0,112.0,10.0,0.03,0.03,0.06,0.03,0.06,0.06,0.03,0.09,0.06,0.09,Matches,2018-2019,Leganes
Jonathan Silva,ar ARG,"DF,FW",24,33,31,2851.0,31.7,3.0,6.0,9.0,3.0,0.0,0.0,9.0,0.0,1.6,1.6,5.3,7.0,48.0,98.0,122.0,0.09,0.19,0.28,0.09,0.28,0.05,0.18,0.23,0.05,0.23,Matches,2018-2019,Leganes
Kenneth Omeruo,ng NGA,DF,24,31,30,2703.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.1,0.2,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2018-2019,Leganes
Rubén Pérez,es ESP,MF,29,32,28,2564.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.3,0.3,1.2,1.6,10.0,140.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,2018-2019,Leganes
Óscar Rodríguez Arnaiz,es ESP,MF,20,32,29,2530.0,28.1,4.0,3.0,7.0,4.0,0.0,0.0,6.0,0.0,4.0,4.0,4.7,8.6,58.0,114.0,131.0,0.14,0.11,0.25,0.14,0.25,0.14,0.17,0.31,0.14,0.31,Matches,2018-2019,Leganes
Unai Bustinza,es ESP,DF,26,28,27,2272.0,25.2,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.3,0.3,0.7,1.0,26.0,89.0,15.0,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,Matches,2018-2019,Leganes
Youssef En-Nesyri,ma MAR,FW,21,34,23,2219.0,24.7,11.0,2.0,13.0,11.0,0.0,0.0,7.0,0.0,7.1,7.1,2.3,9.4,38.0,28.0,143.0,0.45,0.08,0.53,0.45,0.53,0.3,0.1,0.4,0.3,0.4,Matches,2018-2019,Leganes
Mikel Vesga,es ESP,MF,25,28,24,2176.0,24.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.1,2.0,29.0,70.0,62.0,0.04,0.08,0.12,0.04,0.12,0.04,0.05,0.09,0.04,0.09,Matches,2018-2019,Leganes
