Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jonathan Silva,ar ARG,DF,25,35,34,2931.0,32.6,2.0,2.0,4.0,2.0,0.0,0.0,13.0,1.0,1.3,1.3,2.7,4.0,50.0,100.0,133.0,0.06,0.06,0.12,0.06,0.12,0.04,0.09,0.13,0.04,0.13,Matches,2019-2020,Leganes
Unai Bustinza,es ESP,DF,27,34,32,2774.0,30.8,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,1.8,2.3,22.0,109.0,33.0,0.0,0.03,0.03,0.0,0.03,0.02,0.06,0.08,0.02,0.08,Matches,2019-2020,Leganes
Iván Cuéllar,es ESP,GK,35,28,28,2519.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Leganes
Rubén Pérez,es ESP,MF,30,28,27,2374.0,26.4,1.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,1.3,0.5,0.4,1.0,8.0,119.0,7.0,0.04,0.04,0.08,0.0,0.04,0.05,0.02,0.07,0.02,0.04,Matches,2019-2020,Leganes
Martin Braithwaite,dk DEN,"FW,MF",28,26,23,2094.0,23.3,6.0,1.0,7.0,6.0,0.0,1.0,3.0,0.0,7.1,6.3,2.2,8.5,28.0,47.0,80.0,0.26,0.04,0.3,0.26,0.3,0.33,0.1,0.43,0.29,0.39,Matches,2019-2020,Leganes
Chidozie Awaziem,ng NGA,DF,22,27,22,2087.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.8,0.8,0.3,1.2,12.0,59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2019-2020,Leganes
Roque Mesa,es ESP,MF,30,30,23,2068.0,23.0,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,1.4,1.4,2.6,4.0,43.0,129.0,55.0,0.04,0.13,0.17,0.04,0.17,0.06,0.12,0.18,0.06,0.18,Matches,2019-2020,Leganes
Roberto Rosales,ve VEN,DF,30,27,23,2051.0,22.8,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,3.7,4.1,29.0,60.0,101.0,0.0,0.04,0.04,0.0,0.04,0.02,0.18,0.2,0.02,0.2,Matches,2019-2020,Leganes
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",21,32,23,2036.0,22.6,9.0,2.0,11.0,7.0,2.0,2.0,6.0,1.0,4.8,3.2,2.9,6.2,65.0,97.0,111.0,0.4,0.09,0.49,0.31,0.4,0.23,0.14,0.36,0.15,0.29,Matches,2019-2020,Leganes
Dimitris Siovas,gr GRE,DF,30,25,24,2008.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,0.1,1.2,12.0,59.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2019-2020,Leganes
Kévin Rodrigues,pt POR,"DF,MF",25,27,22,1965.0,21.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.2,1.2,2.8,3.9,27.0,50.0,106.0,0.05,0.09,0.14,0.05,0.14,0.05,0.13,0.18,0.05,0.18,Matches,2019-2020,Leganes
Kenneth Omeruo,ng NGA,DF,25,23,22,1874.0,20.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.5,0.8,0.0,43.0,2.0,0.05,0.0,0.05,0.05,0.05,0.01,0.03,0.04,0.01,0.04,Matches,2019-2020,Leganes
Recio,es ESP,MF,28,25,18,1570.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.1,1.1,0.4,1.5,21.0,92.0,26.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,2019-2020,Leganes
