Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Jorge Miramón,es ESP,"DF,MF",33,40,39,3448.0,38.3,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,2022-2023,Leganes
Jorge Sáenz,es ESP,DF,25,38,36,3323.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
José Arnaiz,es ESP,"FW,MF",27,39,37,3215.0,35.7,9.0,2.0,11.0,8.0,1.0,2.0,6.0,0.0,0.25,0.06,0.31,0.22,0.28,Matches,2022-2023,Leganes
Asier Riesgo,es ESP,GK,38,34,33,3029.0,33.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2022-2023,Leganes
Allan Nyom,cm CMR,DF,34,37,32,2872.0,31.9,1.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2022-2023,Leganes
Sergi,es ESP,DF,30,33,31,2748.0,30.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,2022-2023,Leganes
Iker Undabarrena,es ESP,MF,27,34,33,2645.0,29.4,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2022-2023,Leganes
Seydouba Cissé,gn GUI,MF,21,34,27,2398.0,26.6,4.0,2.0,6.0,4.0,0.0,0.0,10.0,0.0,0.15,0.08,0.23,0.15,0.23,Matches,2022-2023,Leganes
Rubén Pardo,es ESP,MF,29,35,21,1983.0,22.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.05,0.14,0.18,0.05,0.18,Matches,2022-2023,Leganes
Juan Muñoz,es ESP,FW,26,32,22,1786.0,19.8,7.0,1.0,8.0,6.0,1.0,1.0,6.0,1.0,0.35,0.05,0.4,0.3,0.35,Matches,2022-2023,Leganes
Fede Vico,es ESP,"MF,FW",28,41,16,1765.0,19.6,1.0,2.0,3.0,0.0,1.0,1.0,5.0,1.0,0.05,0.1,0.15,0.0,0.1,Matches,2022-2023,Leganes
Gaku Shibasaki,jp JPN,MF,30,30,18,1745.0,19.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.05,0.05,0.0,0.05,Matches,2022-2023,Leganes
Dani Raba,es ESP,"FW,MF",26,32,20,1719.0,19.1,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0,0.21,0.16,0.37,0.21,0.37,Matches,2022-2023,Leganes
Kenneth Omeruo,ng NGA,DF,28,22,19,1560.0,17.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2022-2023,Leganes
Josema,es ESP,DF,26,26,18,1536.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2022-2023,Leganes
Jon Karrikaburu,es ESP,"FW,MF",19,19,11,1069.0,11.9,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches,2022-2023,Leganes
Yvan Neyou,cm CMR,MF,25,21,10,981.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.09,0.09,0.0,0.09,Matches,2022-2023,Leganes
Enric Franquesa,es ESP,"MF,DF",25,13,10,924.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Dani Jiménez,es ESP,GK,32,10,10,871.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Yacine Qasmi,ma MAR,FW,31,30,6,647.0,7.2,2.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,0.28,0.0,0.28,0.14,0.14,Matches,2022-2023,Leganes
Riza Durmisi,dk DEN,"DF,MF",28,11,5,610.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Juanjo Narváez,co COL,"MF,FW",27,12,6,542.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Naim García,es ESP,"MF,FW",20,16,6,541.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,2022-2023,Leganes
Piotr Parzyszek,pl POL,FW,28,10,3,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Lalo Aguilar,es ESP,DF,20,3,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Vasyl Kravets,ua UKR,DF,24,2,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Luis Perea,es ESP,MF,24,1,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Javier Avilés,es ESP,FW,24,4,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Sergio Navarro,es ESP,FW,21,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Manu Garrido,es ESP,FW,22,3,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Dorian Hanza,gq EQG,FW,21,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leganes
Rodrigo Abajas,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Carlos Arauz,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Álex Gil,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Sergio Camacho,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Javier Rentero,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Javi Garrido,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Caio Lopes,br BRA,MF,21,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Ismael Armenteros,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
Christian Gómez,es ESP,GK,22,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
José Javier Belman Calvo,es ESP,GK,23,0,0,,,,,,,,,,,,,,,,Matches,2022-2023,Leganes
