Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Sergi,es ESP,DF,31,42,41,3695.0,41.1,6.0,1.0,7.0,6.0,0.0,0.0,7.0,0.0,0.15,0.02,0.17,0.15,0.17,Matches,2023-2024,Leganes
Enric Franquesa,es ESP,DF,26,41,41,3646.0,40.5,2.0,5.0,7.0,2.0,0.0,0.0,6.0,0.0,0.05,0.12,0.17,0.05,0.17,Matches,2023-2024,Leganes
Diego Conde,es ESP,GK,24,40,39,3519.0,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Leganes
Jorge Sáenz,es ESP,DF,26,37,36,3225.0,35.8,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.06,0.03,0.08,0.06,0.08,Matches,2023-2024,Leganes
Diego,es ESP,FW,23,44,31,2836.0,31.5,12.0,1.0,13.0,10.0,2.0,2.0,3.0,0.0,0.38,0.03,0.41,0.32,0.35,Matches,2023-2024,Leganes
Yvan Neyou,cm CMR,MF,26,36,31,2633.0,29.3,1.0,0.0,1.0,0.0,1.0,1.0,12.0,1.0,0.03,0.0,0.03,0.0,0.0,Matches,2023-2024,Leganes
Francisco Portillo,es ESP,MF,33,34,28,2469.0,27.4,1.0,7.0,8.0,1.0,0.0,0.0,2.0,0.0,0.04,0.26,0.29,0.04,0.29,Matches,2023-2024,Leganes
Iker Undabarrena,es ESP,MF,28,33,26,2268.0,25.2,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,2023-2024,Leganes
Miguel,es ESP,FW,23,35,25,2233.0,24.8,13.0,0.0,13.0,12.0,1.0,1.0,10.0,0.0,0.52,0.0,0.52,0.48,0.48,Matches,2023-2024,Leganes
