Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Harry Maguire,eng ENG,DF,24,44,44,4010.0,44.6,2.0,4.0,6.0,2.0,0.0,0.0,9.0,0.0,2.8,2.8,4.1,6.9,58.0,178.0,18.0,0.04,0.09,0.13,0.04,0.13,0.07,0.11,0.18,0.07,0.18,Matches,2017-2018,Leicester City
Jamie Vardy,eng ENG,FW,30,42,39,3534.0,39.3,23.0,1.0,24.0,17.0,6.0,7.0,3.0,0.0,16.1,11.3,3.0,14.3,51.0,31.0,211.0,0.59,0.03,0.61,0.43,0.46,0.45,0.08,0.53,0.31,0.4,Matches,2017-2018,Leicester City
Riyad Mahrez,dz ALG,"MF,FW",26,41,37,3329.0,37.0,13.0,12.0,25.0,13.0,0.0,0.0,2.0,0.0,6.5,6.5,7.2,13.8,121.0,190.0,191.0,0.35,0.32,0.68,0.35,0.68,0.2,0.22,0.42,0.2,0.42,Matches,2017-2018,Leicester City
Wilfred Ndidi,ng NGA,MF,20,38,37,3292.0,36.6,1.0,3.0,4.0,1.0,0.0,0.0,10.0,4.0,2.1,2.1,0.6,2.6,30.0,136.0,48.0,0.03,0.08,0.11,0.03,0.11,0.06,0.02,0.08,0.06,0.08,Matches,2017-2018,Leicester City
Kasper Schmeichel,dk DEN,GK,30,35,35,3175.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Leicester City
Wes Morgan,jm JAM,DF,33,35,35,3117.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.6,1.6,0.4,2.0,13.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,2017-2018,Leicester City
Marc Albrighton,eng ENG,"MF,FW",27,42,34,2964.0,32.9,2.0,7.0,9.0,2.0,0.0,0.0,5.0,1.0,1.6,1.6,5.7,7.3,64.0,114.0,162.0,0.06,0.21,0.27,0.06,0.27,0.06,0.2,0.26,0.06,0.26,Matches,2017-2018,Leicester City
Danny Simpson,eng ENG,DF,30,31,30,2590.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,11.0,54.0,47.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,2017-2018,Leicester City
Ben Chilwell,eng ENG,DF,20,32,27,2504.0,27.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,2.4,2.6,85.0,78.0,121.0,0.0,0.07,0.07,0.0,0.07,0.01,0.12,0.13,0.01,0.13,Matches,2017-2018,Leicester City
