Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Timothy Castagne,be BEL,DF,26,42,39,3590.0,39.9,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,2.6,4.8,39.0,106.0,149.0,0.05,0.1,0.15,0.05,0.15,0.06,0.07,0.13,0.06,0.13,Matches,2022-2023,Leicester City
Harvey Barnes,eng ENG,"FW,MF",24,40,38,3269.0,36.3,13.0,3.0,16.0,13.0,0.0,0.0,3.0,0.0,8.9,8.9,3.1,12.0,100.0,79.0,257.0,0.36,0.08,0.44,0.36,0.44,0.3,0.1,0.4,0.3,0.4,Matches,2022-2023,Leicester City
Wout Faes,be BEL,DF,24,36,36,3222.0,35.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.2,1.2,0.6,1.8,11.0,74.0,2.0,0.03,0.06,0.08,0.03,0.08,0.04,0.02,0.06,0.04,0.06,Matches,2022-2023,Leicester City
Youri Tielemans,be BEL,MF,25,37,32,2853.0,31.7,4.0,2.0,6.0,3.0,1.0,3.0,4.0,0.0,2.5,0.9,4.7,5.6,35.0,181.0,56.0,0.13,0.06,0.19,0.09,0.16,0.1,0.18,0.28,0.04,0.21,Matches,2022-2023,Leicester City
James Maddison,eng ENG,"MF,FW",25,32,29,2603.0,28.9,10.0,9.0,19.0,9.0,1.0,2.0,11.0,0.0,8.7,6.6,9.3,15.9,77.0,151.0,155.0,0.35,0.31,0.66,0.31,0.62,0.31,0.34,0.65,0.24,0.58,Matches,2022-2023,Leicester City
Kiernan Dewsbury-Hall,eng ENG,MF,23,34,30,2535.0,28.2,2.0,2.0,4.0,2.0,0.0,0.0,5.0,1.0,2.4,2.4,3.3,5.6,68.0,132.0,91.0,0.07,0.07,0.14,0.07,0.14,0.09,0.13,0.22,0.09,0.22,Matches,2022-2023,Leicester City
Danny Ward,wls WAL,GK,29,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leicester City
Jamie Vardy,eng ENG,FW,35,42,23,2210.0,24.6,6.0,5.0,11.0,6.0,0.0,1.0,1.0,0.0,6.7,5.9,1.4,7.3,16.0,14.0,101.0,0.24,0.2,0.45,0.24,0.45,0.32,0.07,0.39,0.29,0.35,Matches,2022-2023,Leicester City
Daniel Amartey,gh GHA,DF,27,24,22,1970.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.6,23.0,66.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,2022-2023,Leicester City
Boubakary Soumaré,fr FRA,MF,23,29,23,1853.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.4,0.4,17.0,73.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2022-2023,Leicester City
Wilfred Ndidi,ng NGA,MF,25,30,21,1852.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.3,11.0,51.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2022-2023,Leicester City
Daniel Iversen,dk DEN,GK,25,17,17,1560.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leicester City
Luke Thomas,eng ENG,DF,21,24,17,1555.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.7,0.8,10.0,48.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,Matches,2022-2023,Leicester City
Kelechi Iheanacho,ng NGA,"FW,MF",25,35,13,1478.0,16.4,8.0,5.0,13.0,7.0,1.0,1.0,1.0,0.0,7.1,6.3,4.0,10.4,33.0,27.0,99.0,0.49,0.3,0.79,0.43,0.73,0.57,0.32,0.89,0.51,0.83,Matches,2022-2023,Leicester City
Patson Daka,zm ZAM,FW,23,36,16,1422.0,15.8,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,3.5,3.5,2.8,6.3,18.0,17.0,82.0,0.25,0.25,0.51,0.25,0.51,0.27,0.21,0.48,0.27,0.48,Matches,2022-2023,Leicester City
James Justin,eng ENG,DF,24,15,15,1313.0,14.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,20.0,47.0,50.0,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.05,0.02,0.05,Matches,2022-2023,Leicester City
Jonny Evans,nir NIR,DF,34,14,13,1141.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2022-2023,Leicester City
Nampalys Mendy,sn SEN,MF,30,24,10,1011.0,11.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.2,2.0,28.0,4.0,0.09,0.09,0.18,0.09,0.18,0.02,0.0,0.02,0.02,0.02,Matches,2022-2023,Leicester City
Harry Souttar,au AUS,DF,23,12,11,992.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.2,1.6,6.0,29.0,4.0,0.0,0.09,0.09,0.0,0.09,0.13,0.02,0.15,0.13,0.15,Matches,2022-2023,Leicester City
Dennis Praet,be BEL,"MF,FW",28,27,10,985.0,10.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,15.0,17.0,42.0,0.09,0.09,0.18,0.09,0.18,0.14,0.06,0.21,0.14,0.21,Matches,2022-2023,Leicester City
Victor Bernth Kristiansen,dk DEN,DF,19,14,11,954.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.8,0.9,17.0,31.0,24.0,0.0,0.09,0.09,0.0,0.09,0.01,0.08,0.09,0.01,0.09,Matches,2022-2023,Leicester City
Tetê,br BRA,FW,22,14,10,807.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.4,2.2,22.0,26.0,55.0,0.11,0.0,0.11,0.11,0.11,0.22,0.05,0.27,0.22,0.27,Matches,2022-2023,Leicester City
Çağlar Söyüncü,tr TUR,DF,26,9,8,739.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,5.0,12.0,0.0,0.12,0.0,0.12,0.12,0.12,0.07,0.01,0.08,0.07,0.08,Matches,2022-2023,Leicester City
Ayoze Pérez,es ESP,"MF,FW",29,13,7,731.0,8.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.5,2.6,17.0,20.0,43.0,0.12,0.12,0.25,0.12,0.25,0.27,0.35,0.62,0.27,0.62,Matches,2022-2023,Leicester City
Marc Albrighton,eng ENG,"FW,MF",32,11,4,529.0,5.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,4.0,7.0,18.0,0.17,0.17,0.34,0.17,0.34,0.13,0.34,0.48,0.13,0.48,Matches,2022-2023,Leicester City
Ricardo Pereira,pt POR,"DF,MF",28,11,6,526.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,5.0,27.0,14.0,0.17,0.17,0.34,0.17,0.34,0.02,0.12,0.14,0.02,0.14,Matches,2022-2023,Leicester City
Jannik Vestergaard,dk DEN,DF,29,3,2,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Leicester City
Wesley Fofana,fr FRA,DF,21,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2022-2023,Leicester City
Lewis Brunt,eng ENG,DF,21,2,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Leicester City
Kasey McAteer,ie IRL,"FW,MF",20,2,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Leicester City
Sammy Braybrooke,eng ENG,MF,18,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Leicester City
Will Alves,eng ENG,MF,17,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2022-2023,Leicester City
Joe Wormleighton,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Leicester City
Wanya Marcal-Madivadua,pt POR,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Leicester City
Alex Smithies,eng ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Leicester City
