Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Yannick Gomis,sn SEN,"FW,MF",26,40,38,3432.0,38.1,16.0,7.0,23.0,10.0,6.0,6.0,1.0,0.0,0.42,0.18,0.6,0.26,0.45,Matches,2018-2019,Lens
Jean-Louis Leca,fr FRA,GK,32,38,38,3350.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Lens
Fabien Centonze,fr FRA,DF,22,38,37,3267.0,36.3,0.0,3.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches,2018-2019,Lens
Walid Mesloub,dz ALG,MF,32,39,33,3019.0,33.5,2.0,7.0,9.0,1.0,1.0,1.0,9.0,1.0,0.06,0.21,0.27,0.03,0.24,Matches,2018-2019,Lens
Massadio Haïdara,ml MLI,DF,25,34,34,2961.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Lens
Thierry Ambrose,gp GLP,"MF,FW",21,37,26,2273.0,25.3,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,0.16,0.28,0.44,0.16,0.44,Matches,2018-2019,Lens
Cheick Doucouré,ml MLI,MF,18,31,26,2222.0,24.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,2018-2019,Lens
El-Hadji Ba,mr MTN,MF,25,30,25,2209.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,2018-2019,Lens
Mehdi Tahrat,dz ALG,DF,28,24,23,2148.0,23.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2018-2019,Lens
Guillaume Gillet,be BEL,MF,34,24,21,1834.0,20.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2018-2019,Lens
Souleymane Diarra,ml MLI,"MF,FW",23,33,20,1753.0,19.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2018-2019,Lens
Mounir Chouiar,fr FRA,"MF,FW",19,30,17,1616.0,18.0,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,0.28,0.06,0.33,0.28,0.33,Matches,2018-2019,Lens
Aleksandar Radovanović,rs SRB,DF,24,17,17,1455.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Lens
Jean-Ricner Bellegarde,fr FRA,MF,20,26,16,1444.0,16.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,2018-2019,Lens
Steven Fortes,cv CPV,DF,26,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Lens
Achraf Bencharki,ma MAR,"FW,MF",23,26,13,1213.0,13.5,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.3,0.07,0.37,0.3,0.37,Matches,2018-2019,Lens
Arial Mendy,sn SEN,"DF,MF",23,17,12,1191.0,13.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.08,0.23,0.3,0.08,0.3,Matches,2018-2019,Lens
