Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Adrien Thomasson,fr FRA,MF,31-168,34,32,2703.0,30.0,3.0,7.0,10.0,3.0,0.0,0.0,7.0,0.0,5.9,5.9,6.0,11.9,30.0,149.0,138.0,0.1,0.23,0.33,0.1,0.33,0.2,0.21,0.41,0.2,0.41,Matches,2024-2025,Lens
Facundo Medina,ar ARG,DF,25-364,30,30,2663.0,29.6,0.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,1.8,1.8,2.0,3.8,46.0,174.0,42.0,0.0,0.03,0.03,0.0,0.03,0.06,0.07,0.13,0.06,0.13,Matches,2024-2025,Lens
Andy Diouf,fr FRA,MF,22-010,35,28,2345.0,26.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,2.8,5.7,82.0,116.0,94.0,0.04,0.08,0.12,0.04,0.12,0.12,0.11,0.23,0.12,0.23,Matches,2024-2025,Lens
Jonathan Gradit,fr FRA,DF,32-184,25,24,2112.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.7,1.5,18.0,127.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2024-2025,Lens
Deiver Machado,co COL,"DF,MF",31-267,28,21,1894.0,21.0,1.0,4.0,5.0,1.0,0.0,0.0,7.0,2.0,2.3,2.3,2.1,4.3,42.0,45.0,80.0,0.05,0.19,0.24,0.05,0.24,0.11,0.1,0.22,0.11,0.22,Matches,2024-2025,Lens
Florian Sotoca,fr FRA,"FW,MF",34-214,32,22,1826.0,20.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,4.6,4.6,1.5,6.1,44.0,105.0,170.0,0.05,0.05,0.1,0.05,0.1,0.23,0.07,0.31,0.23,0.31,Matches,2024-2025,Lens
Neil El Aynaoui,fr FRA,MF,23-329,25,18,1708.0,19.0,8.0,1.0,9.0,5.0,3.0,3.0,4.0,0.0,4.0,1.6,2.0,3.6,11.0,75.0,29.0,0.42,0.05,0.47,0.26,0.32,0.23,0.11,0.34,0.09,0.21,Matches,2024-2025,Lens
M'Bala Nzola,ao ANG,FW,28-282,22,17,1580.0,17.6,7.0,1.0,8.0,7.0,0.0,0.0,3.0,1.0,8.6,8.6,1.3,9.9,26.0,22.0,118.0,0.4,0.06,0.46,0.4,0.46,0.53,0.08,0.61,0.53,0.61,Matches,2024-2025,Lens
Przemysław Frankowski,pl POL,DF,30-045,19,17,1507.0,16.7,4.0,2.0,6.0,2.0,2.0,2.0,3.0,0.0,2.3,0.7,2.5,3.2,33.0,117.0,95.0,0.24,0.12,0.36,0.12,0.24,0.15,0.16,0.31,0.05,0.21,Matches,2024-2025,Lens
Malang Sarr,fr FRA,DF,26-124,22,15,1416.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,4.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2024-2025,Lens
Anass Zaroury,ma MAR,"FW,MF",24-201,28,16,1405.0,15.6,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,1.7,1.7,2.9,4.6,49.0,65.0,107.0,0.13,0.13,0.26,0.13,0.26,0.11,0.18,0.29,0.11,0.29,Matches,2024-2025,Lens
Brice Samba,fr FRA,GK,31-032,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Lens
Mathew Ryan,au AUS,GK,33-049,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Lens
