Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Lukáš Hrádecký,fi FIN,GK,30,37,37,3315.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Leverkusen
Edmond Tapsoba,bf BFA,DF,21,39,35,3312.0,36.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,1.0,2.5,27.0,184.0,9.0,0.05,0.0,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021,Leverkusen
Moussa Diaby,fr FRA,"FW,MF",21,43,33,3076.0,34.2,10.0,14.0,24.0,10.0,0.0,0.0,5.0,0.0,7.0,7.0,8.1,15.1,164.0,76.0,321.0,0.29,0.41,0.7,0.29,0.7,0.22,0.26,0.47,0.22,0.47,Matches,2020-2021,Leverkusen
Leon Bailey,jm JAM,"FW,MF",22,40,33,2852.0,31.7,15.0,10.0,25.0,15.0,0.0,0.0,7.0,0.0,10.6,10.6,7.3,17.9,135.0,79.0,312.0,0.47,0.32,0.79,0.47,0.79,0.36,0.25,0.61,0.36,0.61,Matches,2020-2021,Leverkusen
Jonathan Tah,de GER,DF,24,35,31,2841.0,31.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.1,1.1,0.1,1.2,17.0,175.0,12.0,0.03,0.03,0.06,0.03,0.06,0.04,0.0,0.04,0.04,0.04,Matches,2020-2021,Leverkusen
Florian Wirtz,de GER,MF,17,38,31,2826.0,31.4,8.0,8.0,16.0,8.0,0.0,0.0,1.0,0.0,5.0,5.0,4.8,9.9,65.0,135.0,188.0,0.25,0.25,0.51,0.25,0.51,0.17,0.16,0.33,0.17,0.33,Matches,2020-2021,Leverkusen
Nadiem Amiri,de GER,"MF,FW",23,39,28,2505.0,27.8,5.0,9.0,14.0,5.0,0.0,0.0,5.0,0.0,3.8,3.8,4.4,8.2,62.0,134.0,105.0,0.18,0.32,0.5,0.18,0.5,0.14,0.17,0.31,0.14,0.31,Matches,2020-2021,Leverkusen
Kerem Demirbay,de GER,MF,27,37,28,2489.0,27.7,5.0,9.0,14.0,5.0,0.0,0.0,3.0,0.0,4.7,4.7,5.5,10.2,48.0,176.0,92.0,0.18,0.33,0.51,0.18,0.51,0.19,0.22,0.42,0.19,0.42,Matches,2020-2021,Leverkusen
Patrik Schick,cz CZE,FW,24,36,26,2293.0,25.5,13.0,2.0,15.0,13.0,0.0,0.0,5.0,0.0,12.1,12.1,3.6,15.6,23.0,24.0,161.0,0.51,0.08,0.59,0.51,0.59,0.49,0.15,0.64,0.49,0.64,Matches,2020-2021,Leverkusen
