Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Mike Maignan,fr FRA,GK,23,42,42,3780.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Lille
Nicolas Pépé,ci CIV,"FW,MF",23,41,39,3530.0,39.2,23.0,12.0,35.0,14.0,9.0,10.0,1.0,0.0,21.1,13.3,9.6,22.8,139.0,116.0,293.0,0.59,0.31,0.89,0.36,0.66,0.57,0.26,0.83,0.36,0.62,Matches,2018-2019,Lille
Jonathan Bamba,ci CIV,"FW,MF",22,41,38,3273.0,36.4,14.0,4.0,18.0,13.0,1.0,1.0,4.0,0.0,8.4,7.6,5.3,13.0,112.0,125.0,265.0,0.38,0.11,0.49,0.36,0.47,0.25,0.16,0.41,0.23,0.39,Matches,2018-2019,Lille
José Fonte,pt POR,DF,34,38,38,3269.0,36.3,3.0,1.0,4.0,3.0,0.0,0.0,5.0,1.0,4.6,4.6,0.4,5.0,39.0,159.0,12.0,0.08,0.03,0.11,0.08,0.11,0.13,0.01,0.15,0.13,0.15,Matches,2018-2019,Lille
Thiago Mendes,br BRA,MF,26,37,36,3171.0,35.2,0.0,5.0,5.0,0.0,0.0,0.0,10.0,0.0,1.5,1.5,4.8,6.3,39.0,231.0,44.0,0.0,0.14,0.14,0.0,0.14,0.04,0.14,0.18,0.04,0.18,Matches,2018-2019,Lille
Zeki Çelik,tr TUR,DF,21,36,36,3151.0,35.0,1.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,2.7,3.9,58.0,117.0,181.0,0.03,0.14,0.17,0.03,0.17,0.03,0.08,0.12,0.03,0.12,Matches,2018-2019,Lille
Jonathan Ikone,fr FRA,"MF,FW",20,41,36,2987.0,33.2,3.0,10.0,13.0,3.0,0.0,0.0,3.0,0.0,5.1,5.1,6.2,11.2,112.0,96.0,199.0,0.09,0.3,0.39,0.09,0.39,0.16,0.2,0.36,0.16,0.36,Matches,2018-2019,Lille
Xeka,pt POR,MF,23,30,29,2488.0,27.6,2.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,1.7,1.7,0.8,2.5,40.0,113.0,19.0,0.07,0.0,0.07,0.07,0.07,0.07,0.03,0.1,0.07,0.1,Matches,2018-2019,Lille
Youssouf Koné,ml MLI,DF,23,23,22,1979.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.9,1.0,49.0,95.0,76.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.05,0.01,0.05,Matches,2018-2019,Lille
Adama Soumaoro,fr FRA,DF,26,22,22,1820.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.5,0.5,0.3,0.8,9.0,25.0,1.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04,Matches,2018-2019,Lille
Fodé Ballo-Touré,sn SEN,DF,21,18,18,1593.0,17.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.0,1.4,36.0,65.0,63.0,0.0,0.06,0.06,0.0,0.06,0.02,0.06,0.08,0.02,0.08,Matches,2018-2019,Lille
Loïc Rémy,fr FRA,FW,31,29,16,1397.0,15.5,7.0,2.0,9.0,6.0,1.0,2.0,3.0,0.0,6.4,4.9,0.7,5.6,18.0,18.0,60.0,0.45,0.13,0.58,0.39,0.52,0.48,0.06,0.53,0.37,0.42,Matches,2018-2019,Lille
Rafael Leão,pt POR,FW,19,26,18,1370.0,15.2,8.0,3.0,11.0,8.0,0.0,0.0,3.0,0.0,4.3,4.3,1.7,6.0,17.0,17.0,76.0,0.53,0.2,0.72,0.53,0.72,0.3,0.12,0.42,0.3,0.42,Matches,2018-2019,Lille
