Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Lucas Chevalier,fr FRA,GK,23-202,44,44,3960.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2024-2025,Lille
Bafodé Diakité,fr FRA,DF,24-141,44,43,3921.0,43.6,4.0,1.0,5.0,4.0,0.0,0.0,10.0,1.0,2.3,2.3,0.2,2.6,16.0,109.0,3.0,0.09,0.02,0.11,0.09,0.11,0.06,0.01,0.06,0.06,0.06,Matches,2024-2025,Lille
Alexsandro Ribeiro,br BRA,DF,25-291,43,42,3827.0,42.5,1.0,2.0,3.0,1.0,0.0,0.0,12.0,0.0,2.1,2.1,0.7,2.8,26.0,205.0,11.0,0.02,0.05,0.07,0.02,0.07,0.05,0.02,0.07,0.05,0.07,Matches,2024-2025,Lille
Benjamin André,fr FRA,MF,34-297,41,41,3712.0,41.2,0.0,3.0,3.0,0.0,0.0,0.0,15.0,0.0,1.7,1.7,2.1,3.8,33.0,250.0,84.0,0.0,0.07,0.07,0.0,0.07,0.04,0.05,0.1,0.04,0.1,Matches,2024-2025,Lille
Jonathan David,ca CAN,FW,25-133,45,39,3566.0,39.6,23.0,10.0,33.0,15.0,8.0,9.0,6.0,0.0,20.8,13.7,5.7,19.4,48.0,81.0,236.0,0.58,0.25,0.83,0.38,0.63,0.57,0.15,0.72,0.37,0.53,Matches,2024-2025,Lille
Thomas Meunier,be BEL,DF,33-257,42,31,2827.0,31.4,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.3,2.3,1.2,3.6,76.0,173.0,175.0,0.06,0.03,0.1,0.06,0.1,0.08,0.04,0.13,0.08,0.13,Matches,2024-2025,Lille
Gabriel Gudmundsson,se SWE,DF,26-028,41,26,2307.0,25.6,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,1.9,3.0,87.0,110.0,136.0,0.08,0.04,0.12,0.08,0.12,0.04,0.08,0.12,0.04,0.12,Matches,2024-2025,Lille
Hákon Arnar Haraldsson,is ISL,"FW,MF",22-047,34,26,2287.0,25.4,8.0,3.0,11.0,8.0,0.0,0.0,4.0,0.0,4.7,4.7,3.4,8.1,62.0,119.0,167.0,0.31,0.12,0.43,0.31,0.43,0.2,0.15,0.35,0.2,0.35,Matches,2024-2025,Lille
Aïssa Mandi,dz ALG,DF,33-217,30,25,2142.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.3,0.3,0.5,0.9,14.0,87.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,2024-2025,Lille
Ngal'Ayel Mukau,cd COD,MF,20-178,33,23,2002.0,22.2,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,0.8,2.3,26.0,73.0,54.0,0.09,0.04,0.13,0.09,0.13,0.08,0.04,0.12,0.08,0.12,Matches,2024-2025,Lille
Ayyoub Bouaddi,fr FRA,MF,17-237,36,19,1895.0,21.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,15.0,59.0,34.0,0.0,0.09,0.09,0.0,0.09,0.01,0.06,0.07,0.01,0.07,Matches,2024-2025,Lille
Osame Sahraoui,ma MAR,"FW,MF",23-350,42,17,1888.0,21.0,5.0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,3.7,3.7,4.1,7.8,95.0,122.0,203.0,0.24,0.19,0.43,0.24,0.43,0.19,0.21,0.4,0.19,0.4,Matches,2024-2025,Lille
Mitchel Bakker,nl NED,"FW,DF",24-341,35,22,1842.0,20.5,4.0,3.0,7.0,4.0,0.0,0.0,6.0,1.0,3.5,3.5,3.1,6.6,52.0,82.0,146.0,0.2,0.15,0.34,0.2,0.34,0.2,0.18,0.38,0.2,0.38,Matches,2024-2025,Lille
Rémy Cabella,fr FRA,"MF,FW",35-080,33,21,1636.0,18.2,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,5.2,5.2,2.9,8.1,62.0,100.0,160.0,0.11,0.17,0.28,0.11,0.28,0.34,0.19,0.52,0.34,0.52,Matches,2024-2025,Lille
André Gomes,pt POR,MF,31-301,24,16,1352.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.7,1.3,18.0,105.0,29.0,0.07,0.0,0.07,0.07,0.07,0.04,0.05,0.09,0.04,0.09,Matches,2024-2025,Lille
Edon Zhegrova,xk KVX,"FW,MF",26-057,17,15,1341.0,14.9,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,2.7,2.7,3.0,5.6,51.0,63.0,112.0,0.34,0.13,0.47,0.34,0.47,0.18,0.2,0.38,0.18,0.38,Matches,2024-2025,Lille
Matias Fernandez-Pardo,be BEL,"FW,MF",20-113,30,14,1340.0,14.9,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,3.1,3.1,3.3,6.4,61.0,33.0,95.0,0.27,0.2,0.47,0.27,0.47,0.21,0.22,0.43,0.21,0.43,Matches,2024-2025,Lille
Ismaily,br BRA,DF,35-136,22,14,1275.0,14.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.3,2.3,20.0,62.0,67.0,0.07,0.14,0.21,0.07,0.21,0.08,0.1,0.18,0.08,0.18,Matches,2024-2025,Lille
Angel Gomes,eng ENG,MF,24-269,18,13,895.0,9.9,2.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,1.7,0.9,2.4,3.3,15.0,54.0,52.0,0.2,0.1,0.3,0.2,0.3,0.17,0.24,0.41,0.09,0.33,Matches,2024-2025,Lille
Chuba Akpom,eng ENG,FW,29-230,16,6,721.0,8.0,3.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,5.2,3.6,0.5,4.1,7.0,7.0,41.0,0.37,0.12,0.5,0.25,0.37,0.7,0.07,0.78,0.49,0.56,Matches,2024-2025,Lille
Tiago Santos,pt POR,DF,22-308,9,5,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,1.0,28.0,22.0,47.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.18,0.07,0.18,Matches,2024-2025,Lille
Mohamed Lamine Bayo,gn GUI,FW,26-357,15,6,446.0,5.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,0.6,2.9,6.0,7.0,30.0,0.4,0.2,0.61,0.4,0.61,0.47,0.12,0.58,0.47,0.58,Matches,2024-2025,Lille
