Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Mohamed Salah,eg EGY,FW,32-345,52,50,4490.0,49.9,34.0,23.0,57.0,23.0,11.0,12.0,1.0,0.0,30.2,21.6,17.7,39.3,190.0,184.0,602.0,0.68,0.46,1.14,0.46,0.92,0.66,0.38,1.04,0.47,0.85,Matches,2024-2025,Liverpool
Virgil van Dijk,nl NED,DF,33-322,49,49,4436.0,49.3,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,2.9,2.9,0.8,3.7,23.0,234.0,6.0,0.1,0.02,0.12,0.1,0.12,0.06,0.02,0.08,0.06,0.08,Matches,2024-2025,Liverpool
Ryan Gravenberch,nl NED,MF,23-010,49,49,4196.0,46.6,0.0,4.0,4.0,0.0,0.0,0.0,7.0,1.0,1.1,1.1,3.8,4.9,87.0,232.0,72.0,0.0,0.09,0.09,0.0,0.09,0.03,0.09,0.11,0.03,0.11,Matches,2024-2025,Liverpool
Alexis Mac Allister,ar ARG,MF,26-153,49,40,3558.0,39.5,7.0,6.0,13.0,7.0,0.0,0.0,11.0,0.0,4.3,4.3,7.0,11.3,44.0,221.0,92.0,0.18,0.15,0.33,0.18,0.33,0.12,0.19,0.31,0.12,0.31,Matches,2024-2025,Liverpool
Dominik Szoboszlai,hu HUN,MF,24-213,49,40,3422.0,38.0,8.0,8.0,16.0,8.0,0.0,0.0,6.0,0.0,8.4,8.4,8.1,16.5,84.0,169.0,158.0,0.21,0.21,0.42,0.21,0.42,0.24,0.23,0.47,0.24,0.47,Matches,2024-2025,Liverpool
Ibrahima Konaté,fr FRA,DF,26-001,42,39,3366.0,37.4,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,1.0,3.2,27.0,134.0,3.0,0.05,0.05,0.11,0.05,0.11,0.06,0.03,0.09,0.06,0.09,Matches,2024-2025,Liverpool
Luis Díaz,co COL,FW,28-133,50,38,3323.0,36.9,17.0,5.0,22.0,17.0,0.0,0.0,3.0,0.0,14.5,14.5,6.2,20.7,134.0,133.0,371.0,0.46,0.14,0.6,0.46,0.6,0.43,0.18,0.61,0.43,0.61,Matches,2024-2025,Liverpool
Andrew Robertson,sct SCO,DF,31-076,45,38,3311.0,36.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.6,1.6,5.3,6.9,76.0,214.0,127.0,0.0,0.05,0.05,0.0,0.05,0.05,0.16,0.21,0.05,0.21,Matches,2024-2025,Liverpool
Alisson,br BRA,GK,32-236,35,35,3168.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2024-2025,Liverpool
Trent Alexander-Arnold,eng ENG,DF,26-231,44,37,3073.0,34.1,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,2.3,2.3,7.8,10.2,56.0,278.0,110.0,0.12,0.21,0.32,0.12,0.32,0.07,0.24,0.31,0.07,0.31,Matches,2024-2025,Liverpool
Cody Gakpo,nl NED,FW,26-019,49,32,2690.0,29.9,18.0,6.0,24.0,17.0,1.0,1.0,5.0,0.0,9.7,8.9,5.8,14.7,80.0,68.0,327.0,0.6,0.2,0.8,0.57,0.77,0.38,0.23,0.61,0.35,0.58,Matches,2024-2025,Liverpool
Curtis Jones,eng ENG,MF,24-116,46,27,2437.0,27.1,3.0,6.0,9.0,3.0,0.0,0.0,3.0,1.0,4.7,4.7,3.0,7.7,44.0,135.0,103.0,0.11,0.22,0.33,0.11,0.33,0.21,0.14,0.34,0.21,0.34,Matches,2024-2025,Liverpool
Darwin Núñez,uy URU,FW,25-336,47,17,2058.0,22.9,7.0,5.0,12.0,7.0,0.0,0.0,9.0,0.0,8.6,8.6,1.8,10.5,35.0,39.0,114.0,0.31,0.22,0.52,0.31,0.52,0.5,0.1,0.6,0.5,0.6,Matches,2024-2025,Liverpool
Diogo Jota,pt POR,FW,28-173,37,22,1830.0,20.3,9.0,3.0,12.0,9.0,0.0,0.0,2.0,0.0,8.9,8.9,2.0,10.8,39.0,45.0,99.0,0.44,0.15,0.59,0.44,0.59,0.56,0.12,0.68,0.56,0.68,Matches,2024-2025,Liverpool
Caoimhín Kelleher,ie IRL,GK,26-184,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Liverpool
Kostas Tsimikas,gr GRE,DF,29-014,29,18,1676.0,18.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,3.1,3.8,20.0,99.0,58.0,0.0,0.11,0.11,0.0,0.11,0.04,0.22,0.26,0.04,0.26,Matches,2024-2025,Liverpool
Conor Bradley,nir NIR,DF,21-321,29,14,1391.0,15.5,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.7,2.7,44.0,44.0,54.0,0.0,0.26,0.26,0.0,0.26,0.09,0.15,0.24,0.09,0.24,Matches,2024-2025,Liverpool
Jarell Quansah,eng ENG,DF,22-117,25,13,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,Matches,2024-2025,Liverpool
Wataru Endo,jp JPN,"MF,DF",32-106,32,7,879.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2024-2025,Liverpool
Joe Gomez,eng ENG,DF,28-003,17,11,876.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,7.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,2024-2025,Liverpool
Harvey Elliott,eng ENG,"MF,FW",22-052,28,6,838.0,9.3,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,2.4,2.4,1.1,3.6,13.0,53.0,40.0,0.54,0.32,0.86,0.54,0.86,0.42,0.19,0.61,0.42,0.61,Matches,2024-2025,Liverpool
Federico Chiesa,it ITA,FW,27-213,14,4,470.0,5.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,7.0,7.0,20.0,0.38,0.19,0.57,0.38,0.57,0.21,0.07,0.28,0.21,0.28,Matches,2024-2025,Liverpool
Tyler Morton,eng ENG,MF,22-207,5,3,260.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,0.08,0.0,0.08,0.08,0.08,Matches,2024-2025,Liverpool
James McConnell,eng ENG,MF,20-255,4,2,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Liverpool
Trey Nyoni,eng ENG,"MF,FW",17-330,5,2,226.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Liverpool
Jayden Danns,eng ENG,FW,19-130,4,1,117.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,0.0,0.77,0.0,0.77,0.77,0.77,0.07,0.0,0.07,0.07,0.07,Matches,2024-2025,Liverpool
Vitezslav Jaros,cz CZE,GK,23-307,2,1,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Liverpool
Rio Ngumoha,eng ENG,FW,16-270,1,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Liverpool
Isaac Mabaya,eng ENG,MF,20-246,1,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Liverpool
Trent Doherty,ie IRL,MF,18-330,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Liverpool
Amara Nallo,eng ENG,DF,18-189,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Liverpool
James Norris,eng ENG,DF,22-052,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Liverpool
Harvey Davies,eng ENG,GK,21-265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Liverpool
Kieran Morrison,nir NIR,MF,18-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Liverpool
Ranel Young,eng ENG,MF,19-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Liverpool
