Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Castello Lukeba,fr FRA,DF,19,38,36,3314.0,36.8,2.0,0.0,2.0,2.0,0.0,0.0,9.0,1.0,1.2,1.2,0.3,1.4,24.0,166.0,9.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches,2022-2023,Lyon
Anthony Lopes,pt POR,GK,31,37,37,3266.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Lyon
Nicolás Tagliafico,ar ARG,DF,29,38,37,3219.0,35.8,1.0,5.0,6.0,1.0,0.0,0.0,6.0,0.0,2.4,1.9,4.2,6.1,38.0,156.0,171.0,0.03,0.14,0.17,0.03,0.17,0.07,0.13,0.2,0.06,0.18,Matches,2022-2023,Lyon
Alexandre Lacazette,fr FRA,FW,31,39,37,3192.0,35.5,31.0,6.0,37.0,25.0,6.0,8.0,3.0,0.0,24.2,17.9,5.4,23.2,40.0,108.0,227.0,0.87,0.17,1.04,0.7,0.87,0.74,0.16,0.91,0.55,0.71,Matches,2022-2023,Lyon
Maxence Caqueret,fr FRA,MF,22,40,35,3044.0,33.8,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,2.6,2.6,5.1,7.7,46.0,183.0,114.0,0.12,0.21,0.33,0.12,0.33,0.09,0.16,0.25,0.09,0.25,Matches,2022-2023,Lyon
Sinaly Diomande,ci CIV,DF,21,29,27,2371.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.8,0.8,0.2,1.0,10.0,108.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,2022-2023,Lyon
Rayan Cherki,fr FRA,"MF,FW",18,39,26,2311.0,25.7,5.0,6.0,11.0,5.0,0.0,0.0,3.0,0.0,4.9,4.9,7.2,12.1,133.0,144.0,260.0,0.19,0.23,0.43,0.19,0.43,0.24,0.34,0.58,0.24,0.58,Matches,2022-2023,Lyon
Corentin Tolisso,fr FRA,MF,27,34,28,2293.0,25.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,4.4,6.2,32.0,230.0,52.0,0.04,0.08,0.12,0.04,0.12,0.08,0.2,0.27,0.08,0.27,Matches,2022-2023,Lyon
Thiago Mendes,br BRA,"MF,DF",30,34,25,2282.0,25.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,1.4,10.0,170.0,20.0,0.04,0.04,0.08,0.04,0.08,0.03,0.03,0.06,0.03,0.06,Matches,2022-2023,Lyon
Johann Lepenant,fr FRA,MF,19,34,23,2143.0,23.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.2,2.0,20.0,125.0,44.0,0.04,0.08,0.13,0.04,0.13,0.04,0.05,0.09,0.04,0.09,Matches,2022-2023,Lyon
Dejan Lovren,hr CRO,DF,33,21,21,1819.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.5,1.3,12.0,64.0,1.0,0.05,0.0,0.05,0.05,0.05,0.05,0.03,0.08,0.05,0.08,Matches,2022-2023,Lyon
Bradley Barcola,fr FRA,"FW,MF",19,31,20,1788.0,19.9,7.0,9.0,16.0,7.0,0.0,0.0,4.0,0.0,3.4,3.4,3.9,7.4,51.0,39.0,156.0,0.35,0.45,0.81,0.35,0.81,0.22,0.25,0.46,0.22,0.46,Matches,2022-2023,Lyon
Malo Gusto,fr FRA,DF,19,22,20,1627.0,18.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,3.1,3.5,66.0,82.0,147.0,0.0,0.06,0.06,0.0,0.06,0.02,0.18,0.2,0.02,0.2,Matches,2022-2023,Lyon
Sael Kumbedi,fr FRA,DF,17,23,17,1590.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,1.2,1.7,16.0,40.0,84.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.11,0.03,0.11,Matches,2022-2023,Lyon
Karl Toko Ekambi,cm CMR,"FW,MF",29,19,15,1353.0,15.0,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.4,4.4,3.0,7.4,58.0,36.0,188.0,0.27,0.13,0.4,0.27,0.4,0.3,0.2,0.49,0.3,0.49,Matches,2022-2023,Lyon
Tetê,br BRA,"FW,MF",22,19,16,1287.0,14.3,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,4.2,4.2,1.3,5.5,49.0,52.0,130.0,0.42,0.28,0.7,0.42,0.7,0.35,0.1,0.45,0.35,0.45,Matches,2022-2023,Lyon
