Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Moussa Niakhate,sn SEN,DF,23,34,34,3060.0,34.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,1.1,2.1,37.0,129.0,14.0,0.03,0.06,0.09,0.03,0.09,0.03,0.03,0.06,0.03,0.06,Matches,2019-2020,Mainz 05
Robin Quaison,se SWE,"FW,MF",25,33,32,2692.0,29.9,13.0,2.0,15.0,12.0,1.0,1.0,2.0,0.0,11.4,10.6,3.0,13.6,36.0,61.0,155.0,0.43,0.07,0.5,0.4,0.47,0.39,0.1,0.5,0.37,0.47,Matches,2019-2020,Mainz 05
Ridle Baku,de GER,"DF,MF",21,31,27,2425.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,3.4,4.5,42.0,109.0,118.0,0.04,0.11,0.15,0.04,0.15,0.04,0.13,0.17,0.04,0.17,Matches,2019-2020,Mainz 05
Jean-Paul Boëtius,nl NED,MF,25,29,27,2356.0,26.2,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,3.7,3.7,3.5,7.2,56.0,128.0,100.0,0.15,0.19,0.34,0.15,0.34,0.15,0.14,0.29,0.15,0.29,Matches,2019-2020,Mainz 05
Jerry St. Juste,nl NED,DF,22,26,24,2137.0,23.7,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,1.2,1.9,12.0,56.0,5.0,0.08,0.08,0.17,0.08,0.17,0.03,0.05,0.08,0.03,0.08,Matches,2019-2020,Mainz 05
Robin Zentner,de GER,GK,24,22,22,1935.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Mainz 05
Aarón Martín,es ESP,DF,22,23,22,1882.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.9,3.2,40.0,44.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.16,0.02,0.16,Matches,2019-2020,Mainz 05
Pierre Kunde,cm CMR,MF,24,28,22,1866.0,20.7,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,3.2,3.2,1.2,4.4,52.0,118.0,35.0,0.19,0.0,0.19,0.19,0.19,0.16,0.06,0.21,0.16,0.21,Matches,2019-2020,Mainz 05
Karim Onisiwo,at AUT,FW,27,33,17,1818.0,20.2,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,5.0,5.0,4.9,9.9,41.0,29.0,123.0,0.2,0.3,0.5,0.2,0.5,0.26,0.25,0.51,0.26,0.51,Matches,2019-2020,Mainz 05
Daniel Brosinski,de GER,DF,31,27,17,1799.0,20.0,2.0,4.0,6.0,1.0,1.0,1.0,3.0,0.0,2.0,1.2,6.0,7.2,43.0,77.0,88.0,0.1,0.2,0.3,0.05,0.25,0.1,0.32,0.42,0.06,0.38,Matches,2019-2020,Mainz 05
Levin Öztunalı,de GER,"MF,FW",23,27,19,1778.0,19.8,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,2.5,2.5,2.8,5.3,65.0,76.0,118.0,0.2,0.15,0.35,0.2,0.35,0.12,0.14,0.27,0.12,0.27,Matches,2019-2020,Mainz 05
Edimilson Fernandes,ch SUI,"MF,DF",23,25,19,1574.0,17.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,0.3,1.2,12.0,61.0,29.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Matches,2019-2020,Mainz 05
Danny Latza,de GER,MF,29,24,16,1435.0,15.9,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,2.1,3.3,12.0,72.0,24.0,0.0,0.13,0.13,0.0,0.13,0.07,0.14,0.21,0.07,0.21,Matches,2019-2020,Mainz 05
Florian Müller,de GER,GK,21,14,13,1215.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Mainz 05
Ádám Szalai,hu HUN,FW,31,27,12,1147.0,12.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.5,4.5,1.3,5.8,10.0,23.0,69.0,0.08,0.08,0.16,0.08,0.16,0.36,0.1,0.45,0.36,0.45,Matches,2019-2020,Mainz 05
Jean-Philippe Mateta,fr FRA,FW,22,18,12,1053.0,11.7,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,5.9,5.2,1.2,6.4,11.0,10.0,63.0,0.26,0.09,0.34,0.17,0.26,0.51,0.1,0.61,0.44,0.54,Matches,2019-2020,Mainz 05
Leandro Barreiro Martins,lu LUX,MF,19,18,11,938.0,10.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.3,0.7,6.0,41.0,13.0,0.0,0.19,0.19,0.0,0.19,0.04,0.03,0.07,0.04,0.07,Matches,2019-2020,Mainz 05
Alexander Hack,de GER,DF,25,14,9,805.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,0.8,9.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,2019-2020,Mainz 05
Jeffrey Bruma,nl NED,DF,27,8,8,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.6,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2019-2020,Mainz 05
Ronaël Pierre-Gabriel,fr FRA,DF,21,8,8,574.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.5,6.0,27.0,9.0,0.0,0.16,0.16,0.0,0.16,0.01,0.08,0.09,0.01,0.09,Matches,2019-2020,Mainz 05
Taiwo Awoniyi,ng NGA,"FW,MF",21,12,5,483.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.2,3.2,0.8,4.0,12.0,7.0,43.0,0.19,0.0,0.19,0.19,0.19,0.59,0.15,0.74,0.59,0.74,Matches,2019-2020,Mainz 05
Phillipp Mwene,at AUT,DF,25,4,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2019-2020,Mainz 05
Jonathan Burkardt,de GER,"FW,MF",19,9,3,269.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,5.0,3.0,11.0,0.33,0.0,0.33,0.33,0.33,0.27,0.03,0.3,0.27,0.3,Matches,2019-2020,Mainz 05
Alexandru Maxim,ro ROU,"MF,DF",29,6,0,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,6.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.53,0.62,0.09,0.62,Matches,2019-2020,Mainz 05
Ji Dong-won,kr KOR,"FW,MF",28,4,1,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Mainz 05
