Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Jerry St. Juste,nl NED,DF,23,34,34,3090.0,34.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.9,1.9,0.3,2.2,36.0,99.0,13.0,0.0,0.03,0.03,0.0,0.03,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021,Mainz 05
Moussa Niakhate,sn SEN,DF,24,34,34,3076.0,34.2,3.0,1.0,4.0,2.0,1.0,1.0,10.0,1.0,2.3,1.5,2.1,3.7,47.0,117.0,18.0,0.09,0.03,0.12,0.06,0.09,0.07,0.07,0.14,0.05,0.12,Matches,2020-2021,Mainz 05
Robin Zentner,de GER,GK,25,33,33,3000.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,2020-2021,Mainz 05
Leandro Barreiro Martins,lu LUX,MF,20,31,28,2390.0,26.6,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,4.5,4.5,2.7,7.1,11.0,76.0,42.0,0.08,0.08,0.15,0.08,0.15,0.17,0.1,0.28,0.17,0.28,Matches,2020-2021,Mainz 05
Jean-Paul Boëtius,nl NED,"MF,FW",26,33,25,2269.0,25.2,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,2.6,2.6,6.1,8.7,33.0,109.0,96.0,0.12,0.2,0.32,0.12,0.32,0.11,0.27,0.38,0.11,0.38,Matches,2020-2021,Mainz 05
Danny Latza,de GER,MF,30,31,23,1971.0,21.9,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,2.1,2.1,2.2,4.3,10.0,67.0,42.0,0.05,0.09,0.14,0.05,0.14,0.11,0.11,0.22,0.11,0.22,Matches,2020-2021,Mainz 05
Karim Onisiwo,at AUT,"FW,MF",28,32,20,1963.0,21.8,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,6.2,6.2,1.8,8.0,54.0,36.0,153.0,0.18,0.0,0.18,0.18,0.18,0.3,0.09,0.39,0.3,0.39,Matches,2020-2021,Mainz 05
Phillipp Mwene,at AUT,"DF,MF",26,20,19,1674.0,18.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,1.6,2.1,24.0,39.0,72.0,0.05,0.11,0.16,0.05,0.16,0.03,0.09,0.11,0.03,0.11,Matches,2020-2021,Mainz 05
Robin Quaison,se SWE,"FW,MF",26,30,19,1570.0,17.4,7.0,4.0,11.0,6.0,1.0,1.0,1.0,0.0,6.2,5.4,2.6,8.0,14.0,40.0,68.0,0.4,0.23,0.63,0.34,0.57,0.38,0.16,0.53,0.33,0.49,Matches,2020-2021,Mainz 05
