Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Manolo Reina,es ESP,GK,35,39,39,3510.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Antonio Raillo,es ESP,DF,28,36,36,3099.0,34.4,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2020-2021,Mallorca
Dani Rodríguez,es ESP,"MF,FW",32,38,35,3065.0,34.1,8.0,5.0,13.0,6.0,2.0,3.0,8.0,0.0,0.23,0.15,0.38,0.18,0.32,Matches,2020-2021,Mallorca
Martin Valjent,sk SVK,DF,24,34,33,2965.0,32.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2020-2021,Mallorca
Salva Sevilla,es ESP,MF,36,39,33,2843.0,31.6,7.0,4.0,11.0,6.0,1.0,2.0,5.0,0.0,0.22,0.13,0.35,0.19,0.32,Matches,2020-2021,Mallorca
Joan Sastre Vanrell,es ESP,DF,23,32,31,2609.0,29.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.03,0.1,0.14,0.03,0.14,Matches,2020-2021,Mallorca
Brian Oliván,es ESP,DF,26,31,27,2329.0,25.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2020-2021,Mallorca
Amath,sn SEN,"MF,FW",24,31,26,2288.0,25.4,9.0,1.0,10.0,9.0,0.0,0.0,4.0,0.0,0.35,0.04,0.39,0.35,0.39,Matches,2020-2021,Mallorca
Antonio Sánchez,es ESP,MF,23,37,24,2133.0,23.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches,2020-2021,Mallorca
Braian Cufré,ar ARG,"DF,MF",23,31,21,1897.0,21.1,1.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,0.05,0.09,0.14,0.05,0.14,Matches,2020-2021,Mallorca
Abdón Prats,es ESP,FW,27,33,22,1877.0,20.9,12.0,3.0,15.0,10.0,2.0,2.0,4.0,0.0,0.58,0.14,0.72,0.48,0.62,Matches,2020-2021,Mallorca
Iñigo Ruiz de Galarreta,es ESP,MF,26,30,22,1858.0,20.6,0.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,2020-2021,Mallorca
Iddrisu Baba,gh GHA,MF,24,26,19,1668.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Franco Russo,ar ARG,DF,25,20,15,1529.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Jordi Mboula,es ESP,"MF,FW",21,29,14,1294.0,14.4,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.07,0.21,0.28,0.07,0.28,Matches,2020-2021,Mallorca
Aleix Febas,es ESP,MF,24,36,12,1267.0,14.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,2020-2021,Mallorca
Fran Gámez,es ESP,DF,29,21,12,1227.0,13.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2020-2021,Mallorca
Lago Junior,ci CIV,"MF,FW",29,26,13,1224.0,13.6,4.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,0.29,0.15,0.44,0.22,0.37,Matches,2020-2021,Mallorca
Aleksandar Sedlar,rs SRB,"MF,DF",28,17,11,969.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Murilo Costa,br BRA,MF,25,16,7,735.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Álvaro Giménez,es ESP,FW,29,14,5,588.0,6.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,Matches,2020-2021,Mallorca
Marc Cardona,es ESP,FW,25,13,5,548.0,6.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.33,0.16,0.49,0.33,0.49,Matches,2020-2021,Mallorca
Álex Alegría,es ESP,FW,27,15,5,487.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Miquel Parera,es ESP,GK,24,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
