Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Martin Valjent,sk SVK,DF,25,39,38,3388.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,25.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,2021-2022,Mallorca
Dani Rodríguez,es ESP,"MF,FW",33,40,35,3105.0,34.5,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,3.2,3.2,2.8,6.0,65.0,94.0,130.0,0.09,0.09,0.17,0.09,0.17,0.1,0.09,0.19,0.1,0.19,Matches,2021-2022,Mallorca
Pablo Maffeo,es ESP,DF,24,36,36,3035.0,33.7,1.0,4.0,5.0,1.0,0.0,0.0,11.0,0.0,1.7,1.7,2.1,3.8,72.0,53.0,108.0,0.03,0.12,0.15,0.03,0.15,0.05,0.06,0.12,0.05,0.12,Matches,2021-2022,Mallorca
Brian Oliván,es ESP,DF,27,32,28,2534.0,28.2,1.0,1.0,2.0,1.0,0.0,1.0,7.0,0.0,1.8,1.0,2.2,3.2,31.0,65.0,91.0,0.04,0.04,0.07,0.04,0.07,0.07,0.09,0.16,0.04,0.13,Matches,2021-2022,Mallorca
Jaume Costa,es ESP,DF,33,28,23,2053.0,22.8,0.0,5.0,5.0,0.0,0.0,0.0,6.0,1.0,0.8,0.8,2.4,3.2,39.0,68.0,108.0,0.0,0.22,0.22,0.0,0.22,0.04,0.12,0.16,0.04,0.16,Matches,2021-2022,Mallorca
Iddrisu Baba,gh GHA,MF,25,26,23,1934.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.4,1.4,0.6,2.0,14.0,73.0,6.0,0.05,0.0,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,Matches,2021-2022,Mallorca
Manolo Reina,es ESP,GK,36,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2021-2022,Mallorca
Antonio Sánchez,es ESP,"MF,FW",24,33,22,1849.0,20.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.4,1.4,0.4,1.8,24.0,66.0,50.0,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.1,0.08,0.1,Matches,2021-2022,Mallorca
Takefusa Kubo,jp JPN,"FW,MF",20,31,19,1766.0,19.6,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.8,2.8,3.0,5.7,65.0,68.0,107.0,0.1,0.1,0.2,0.1,0.2,0.15,0.17,0.32,0.15,0.32,Matches,2021-2022,Mallorca
Ángel Rodríguez,es ESP,"FW,MF",34,33,20,1706.0,19.0,8.0,3.0,11.0,8.0,0.0,0.0,5.0,0.0,3.9,3.9,0.9,4.8,23.0,27.0,85.0,0.42,0.16,0.58,0.42,0.58,0.23,0.06,0.28,0.23,0.28,Matches,2021-2022,Mallorca
Franco Russo,ar ARG,DF,26,22,20,1689.0,18.8,1.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.2,0.2,0.2,0.4,4.0,41.0,3.0,0.05,0.0,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0.02,Matches,2021-2022,Mallorca
Salva Sevilla,es ESP,MF,37,32,19,1674.0,18.6,5.0,4.0,9.0,1.0,4.0,4.0,2.0,0.0,4.8,1.7,2.8,4.5,30.0,132.0,14.0,0.27,0.22,0.48,0.05,0.27,0.29,0.17,0.46,0.1,0.27,Matches,2021-2022,Mallorca
Iñigo Ruiz de Galarreta,es ESP,MF,27,26,19,1581.0,17.6,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.6,1.0,14.0,105.0,16.0,0.0,0.06,0.06,0.0,0.06,0.03,0.04,0.06,0.03,0.06,Matches,2021-2022,Mallorca
Lee Kang-in,kr KOR,"MF,FW",20,34,16,1550.0,17.2,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,1.5,1.5,2.1,3.6,32.0,48.0,64.0,0.06,0.17,0.23,0.06,0.23,0.09,0.13,0.23,0.09,0.23,Matches,2021-2022,Mallorca
